"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"1-Excelente",0.199,0.235,0.164,0.319,0.158,0.126,0.171,0.334,0.147,0.148,0.289,0.23,0,0.282,0.165,0,0,0
"2",0.07,0.095,0.046,0,0.101,0.111,0.066,0.167,0.026,0.042,0.077,0.084,0,0.08,0.078,0,0,0
"3",0.072,0.099,0.045,0,0.129,0.077,0.052,0.122,0.064,0.036,0.057,0.086,0,0.033,0.087,0,0,0
"4",0.029,0.028,0.03,0,0.014,0.042,0.127,0,0.033,0.051,0.03,0.026,0.017,0.033,0.021,0,0,0
"5",0.109,0.153,0.066,0.176,0.108,0.05,0.05,0.045,0.138,0.125,0.121,0.058,0.748,0.104,0.142,0,0,0
"6",0.038,0.025,0.05,0.041,0.019,0.051,0.065,0,0.031,0.083,0.067,0.018,0.157,0.078,0.029,0,0,0
"7",0.021,0.033,0.01,0,0.047,0.015,0,0,0.032,0.024,0.047,0.004,0,0.018,0.016,0,0,0
"8",0.054,0.073,0.036,0.082,0.043,0.037,0.052,0,0.08,0.067,0.043,0.035,0.031,0.062,0.067,0,0,0
"9-Pésimo",0.322,0.179,0.46,0.382,0.275,0.275,0.414,0.21,0.369,0.361,0.157,0.355,0.017,0.289,0.3,0,0,0
"No sabe",0.086,0.08,0.093,0,0.106,0.216,0.003,0.122,0.08,0.063,0.112,0.104,0.03,0.021,0.095,0,0,0
