"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.206,0.157,0.253,0.126,0.2,0.236,0.345,0.093,0.241,0.251,0.077,0.297,0,0.01,0.342,0,0,0,6
"Buena",0.287,0.354,0.223,0.436,0.259,0.135,0.319,0.439,0.284,0.168,0.309,0.36,0.031,0.152,0.375,0,0,0,6
"Ni buena ni mala",0.159,0.208,0.112,0.15,0.225,0.074,0.108,0.104,0.205,0.143,0.11,0.179,0,0.18,0.129,0,0,0,6
"Mala",0.157,0.159,0.155,0,0.202,0.257,0.177,0.235,0.124,0.138,0.278,0.017,0.151,0.292,0.017,0,0,0,6
"Muy mala",0.191,0.122,0.257,0.288,0.114,0.298,0.051,0.129,0.146,0.3,0.226,0.147,0.818,0.366,0.137,0,0,0,6
"No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Positiva",0.493,0.511,0.476,0.562,0.459,0.371,0.664,0.532,0.525,0.419,0.386,0.657,0.031,0.162,0.717,0,0,0,4
"Neutra",0.159,0.208,0.112,0.15,0.225,0.074,0.108,0.104,0.205,0.143,0.11,0.179,0,0.18,0.129,0,0,0,4
"Negativa",0.348,0.281,0.412,0.288,0.316,0.555,0.228,0.364,0.27,0.438,0.504,0.164,0.969,0.658,0.154,0,0,0,4
"No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
