"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Inseguridad y narcotráfico",0.389,0.353,0.424,0.485,0.244,0.63,0.227,0.491,0.359,0.344,0.272,0.361,0.779,0.504,0.353,0,0,0
"Altos impuestos y tarifas",0.162,0.194,0.131,0.127,0.152,0.141,0.304,0.182,0.122,0.198,0.361,0.084,0,0.145,0.177,0,0,0
"Educación y estado de las escuelas",0.145,0.22,0.071,0.2,0.136,0.048,0.221,0.092,0.214,0.095,0.118,0.143,0.163,0.163,0.125,0,0,0
"Inflación",0.126,0.146,0.107,0.037,0.25,0.054,0.048,0.129,0.122,0.13,0.15,0.166,0.058,0.072,0.115,0,0,0
"Estado de la salud",0.115,0.017,0.21,0.127,0.145,0.046,0.114,0.054,0.137,0.137,0.077,0.152,0,0.055,0.165,0,0,0
"Corrupción",0.056,0.058,0.055,0.024,0.058,0.081,0.077,0.052,0.046,0.074,0.018,0.081,0,0.057,0.053,0,0,0
"Pobreza",0.001,0,0.002,0,0,0,0.009,0,0,0.003,0.004,0,0,0.004,0,0,0,0
"Medio ambiente, incendios y contaminación",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Falta de trabajo",0.006,0.012,0,0,0.015,0,0,0,0,0.019,0,0.013,0,0,0.012,0,0,0
"No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
