"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Juan Schiaretti","Muy buena",0.132,0.185,0.081,0.262,0.124,0.003,0.097,0.296,0.056,0.1,0.162,0.171,0,0.153,0.162,0,0,0
"Juan Schiaretti","Buena",0.164,0.216,0.112,0.132,0.11,0.245,0.263,0.054,0.174,0.238,0.029,0.242,0,0.076,0.193,0,0,0
"Juan Schiaretti","Ni buena ni mala",0.454,0.368,0.538,0.39,0.507,0.439,0.449,0.415,0.557,0.349,0.457,0.454,0.816,0.259,0.558,0,0,0
"Juan Schiaretti","Mala",0.083,0.057,0.109,0.028,0.131,0.08,0.055,0,0.059,0.183,0.134,0.034,0.086,0.124,0.036,0,0,0
"Juan Schiaretti","Muy mala",0.107,0.147,0.068,0.094,0.074,0.233,0.024,0.129,0.076,0.13,0.142,0.048,0.098,0.235,0.051,0,0,0
"Juan Schiaretti","No sabe",0.06,0.027,0.092,0.094,0.054,0,0.112,0.106,0.078,0,0.076,0.051,0,0.153,0,0,0,0
"Victoria Villarruel","Muy buena",0.356,0.353,0.358,0.412,0.383,0.28,0.274,0.295,0.385,0.365,0.106,0.557,0.031,0.18,0.555,0,0,0
"Victoria Villarruel","Buena",0.205,0.231,0.181,0.233,0.191,0.149,0.29,0.235,0.259,0.111,0.277,0.181,0,0.11,0.243,0,0,0
"Victoria Villarruel","Ni buena ni mala",0.137,0.151,0.123,0,0.171,0.257,0.111,0.233,0.098,0.11,0.197,0.142,0,0.122,0.097,0,0,0
"Victoria Villarruel","Mala",0.141,0.111,0.171,0.056,0.157,0.196,0.182,0.183,0.064,0.21,0.205,0.028,0.151,0.308,0.017,0,0,0
"Victoria Villarruel","Muy mala",0.122,0.154,0.091,0.205,0.098,0.118,0.031,0,0.135,0.204,0.167,0.041,0.818,0.198,0.088,0,0,0
"Victoria Villarruel","No sabe",0.039,0,0.076,0.094,0,0,0.112,0.054,0.059,0,0.048,0.051,0,0.082,0,0,0,0
"Aníbal Tortoriello","Muy buena",0.25,0.193,0.304,0.262,0.197,0.339,0.24,0.311,0.182,0.289,0.264,0.349,0,0.11,0.395,0,0,0
"Aníbal Tortoriello","Buena",0.181,0.194,0.167,0.229,0.141,0.176,0.211,0.039,0.249,0.205,0.118,0.249,0.652,0.178,0.231,0,0,0
"Aníbal Tortoriello","Ni buena ni mala",0.194,0.209,0.18,0.276,0.188,0.122,0.165,0.128,0.256,0.167,0.191,0.159,0.031,0.161,0.148,0,0,0
"Aníbal Tortoriello","Mala",0.221,0.212,0.23,0.028,0.386,0.129,0.257,0.287,0.176,0.226,0.357,0.14,0.264,0.245,0.151,0,0,0
"Aníbal Tortoriello","Muy mala",0.116,0.165,0.07,0.111,0.054,0.234,0.127,0.183,0.078,0.113,0.07,0.052,0.053,0.179,0.075,0,0,0
"Aníbal Tortoriello","No sabe",0.038,0.027,0.049,0.094,0.034,0,0,0.052,0.059,0,0,0.051,0,0.127,0,0,0,0
"Patricia Bullrich","Muy buena",0.206,0.157,0.253,0.126,0.2,0.236,0.345,0.093,0.241,0.251,0.077,0.297,0,0.01,0.342,0,0,0
"Patricia Bullrich","Buena",0.287,0.354,0.223,0.436,0.259,0.135,0.319,0.439,0.284,0.168,0.309,0.36,0.031,0.152,0.375,0,0,0
"Patricia Bullrich","Ni buena ni mala",0.159,0.208,0.112,0.15,0.225,0.074,0.108,0.104,0.205,0.143,0.11,0.179,0,0.18,0.129,0,0,0
"Patricia Bullrich","Mala",0.157,0.159,0.155,0,0.202,0.257,0.177,0.235,0.124,0.138,0.278,0.017,0.151,0.292,0.017,0,0,0
"Patricia Bullrich","Muy mala",0.191,0.122,0.257,0.288,0.114,0.298,0.051,0.129,0.146,0.3,0.226,0.147,0.818,0.366,0.137,0,0,0
"Patricia Bullrich","No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alberto Weretilneck","Muy buena",0.123,0.036,0.207,0.181,0.072,0.105,0.196,0.107,0.121,0.139,0.258,0.094,0.068,0.184,0.089,0,0,0
"Alberto Weretilneck","Buena",0.202,0.265,0.142,0.192,0.233,0.122,0.262,0.183,0.303,0.085,0.35,0.197,0.113,0.299,0.077,0,0,0
"Alberto Weretilneck","Ni buena ni mala",0.23,0.279,0.184,0.359,0.229,0.135,0.125,0.256,0.23,0.211,0.332,0.19,0.739,0.222,0.292,0,0,0
"Alberto Weretilneck","Mala",0.186,0.185,0.186,0.035,0.273,0.098,0.369,0.198,0.103,0.284,0.041,0.22,0.08,0.158,0.162,0,0,0
"Alberto Weretilneck","Muy mala",0.229,0.175,0.281,0.15,0.174,0.54,0.048,0.256,0.191,0.258,0.019,0.299,0,0.137,0.337,0,0,0
"Alberto Weretilneck","No sabe",0.03,0.06,0,0.083,0.019,0,0,0,0.052,0.023,0,0,0,0,0.043,0,0,0
"María Emilia Soria","Muy buena",0.067,0.028,0.106,0,0.038,0.117,0.223,0.107,0.042,0.07,0.206,0.005,0.031,0.137,0.037,0,0,0
"María Emilia Soria","Buena",0.097,0.074,0.12,0.111,0.109,0.068,0.08,0,0.152,0.104,0.123,0.044,0.854,0.159,0.057,0,0,0
"María Emilia Soria","Ni buena ni mala",0.36,0.369,0.35,0.46,0.367,0.326,0.179,0.491,0.401,0.199,0.448,0.365,0.031,0.331,0.356,0,0,0
"María Emilia Soria","Mala",0.169,0.212,0.127,0.136,0.198,0.122,0.223,0.219,0.144,0.16,0.17,0.219,0.084,0.154,0.216,0,0,0
"María Emilia Soria","Muy mala",0.25,0.257,0.243,0.116,0.263,0.367,0.295,0.183,0.15,0.436,0.044,0.316,0,0.128,0.291,0,0,0
"María Emilia Soria","No sabe",0.057,0.06,0.054,0.177,0.025,0,0,0,0.111,0.031,0.009,0.051,0,0.091,0.043,0,0,0
"Javier Milei","Muy buena",0.376,0.326,0.424,0.394,0.345,0.456,0.302,0.349,0.411,0.351,0.162,0.515,0.062,0.021,0.66,0,0,0
"Javier Milei","Buena",0.074,0.132,0.019,0.067,0.098,0.049,0.058,0,0.126,0.066,0.114,0.085,0,0.033,0.077,0,0,0
"Javier Milei","Ni buena ni mala",0.115,0.164,0.067,0,0.157,0.136,0.185,0.157,0.135,0.054,0.16,0.107,0,0.176,0.05,0,0,0
"Javier Milei","Mala",0.175,0.154,0.195,0.209,0.197,0.043,0.255,0.183,0.17,0.175,0.161,0.145,0.74,0.29,0.063,0,0,0
"Javier Milei","Muy mala",0.26,0.224,0.295,0.33,0.203,0.316,0.2,0.311,0.158,0.354,0.403,0.148,0.198,0.48,0.15,0,0,0
"Javier Milei","No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mauricio Macri","Muy buena",0.105,0.048,0.161,0.126,0.104,0.093,0.088,0,0.183,0.088,0.112,0.074,0.049,0.013,0.184,0,0,0
"Mauricio Macri","Buena",0.148,0.14,0.155,0.025,0.201,0.146,0.241,0.052,0.18,0.182,0.1,0.245,0,0.108,0.202,0,0,0
"Mauricio Macri","Ni buena ni mala",0.227,0.221,0.233,0.519,0.096,0.138,0.177,0.183,0.318,0.142,0.032,0.365,0,0.231,0.253,0,0,0
