"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.376,0.326,0.424,0.394,0.345,0.456,0.302,0.349,0.411,0.351,0.162,0.515,0.062,0.021,0.66,0,0,0,6
"Buena",0.074,0.132,0.019,0.067,0.098,0.049,0.058,0,0.126,0.066,0.114,0.085,0,0.033,0.077,0,0,0,6
"Ni buena ni mala",0.115,0.164,0.067,0,0.157,0.136,0.185,0.157,0.135,0.054,0.16,0.107,0,0.176,0.05,0,0,0,6
"Mala",0.175,0.154,0.195,0.209,0.197,0.043,0.255,0.183,0.17,0.175,0.161,0.145,0.74,0.29,0.063,0,0,0,6
"Muy mala",0.26,0.224,0.295,0.33,0.203,0.316,0.2,0.311,0.158,0.354,0.403,0.148,0.198,0.48,0.15,0,0,0,6
"No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Positiva",0.45,0.458,0.443,0.461,0.443,0.505,0.36,0.349,0.537,0.417,0.276,0.6,0.062,0.054,0.737,0,0,0,4
"Neutra",0.115,0.164,0.067,0,0.157,0.136,0.185,0.157,0.135,0.054,0.16,0.107,0,0.176,0.05,0,0,0,4
"Negativa",0.435,0.378,0.49,0.539,0.4,0.359,0.455,0.494,0.328,0.529,0.564,0.293,0.938,0.77,0.213,0,0,0,4
"No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
