"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.017,0.024,0.01,0,0.025,0.009,0.041,0,0.024,0.022,0.046,0.004,0,0.014,0.011,0,0,0,6
"Buena",0.089,0.126,0.053,0.15,0.059,0.024,0.161,0.167,0.067,0.054,0.21,0.055,0.031,0.027,0.146,0,0,0,6
"Ni buena ni mala",0.247,0.225,0.267,0.153,0.24,0.317,0.346,0.311,0.285,0.143,0.339,0.265,0.18,0.27,0.14,0,0,0,6
"Mala",0.322,0.273,0.37,0.275,0.376,0.338,0.226,0.287,0.298,0.383,0.294,0.277,0.771,0.367,0.332,0,0,0,6
"Muy mala",0.233,0.253,0.214,0.245,0.231,0.298,0.106,0.129,0.215,0.342,0.108,0.309,0.018,0.195,0.315,0,0,0,6
"No sabe",0.092,0.099,0.086,0.177,0.069,0.014,0.12,0.106,0.111,0.056,0.003,0.09,0,0.127,0.056,0,0,0,6
"Positiva",0.106,0.15,0.063,0.15,0.084,0.033,0.202,0.167,0.091,0.076,0.256,0.059,0.031,0.041,0.157,0,0,0,4
"Neutra",0.247,0.225,0.267,0.153,0.24,0.317,0.346,0.311,0.285,0.143,0.339,0.265,0.18,0.27,0.14,0,0,0,4
"Negativa",0.555,0.526,0.584,0.52,0.607,0.636,0.332,0.416,0.513,0.725,0.402,0.586,0.789,0.562,0.647,0,0,0,4
"No sabe",0.092,0.099,0.086,0.177,0.069,0.014,0.12,0.106,0.111,0.056,0.003,0.09,0,0.127,0.056,0,0,0,4
