"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.053,0.047,0.058,0,0.048,0.078,0.136,0.104,0.036,0.036,0.156,0.002,0,0.127,0.017,0,0,0,6
"Buena",0.147,0.159,0.135,0.154,0.105,0.142,0.271,0.186,0.113,0.166,0.242,0.108,0.676,0.211,0.13,0,0,0,6
"Ni buena ni mala",0.342,0.362,0.323,0.491,0.306,0.272,0.265,0.334,0.391,0.277,0.33,0.35,0.271,0.322,0.281,0,0,0,6
"Mala",0.26,0.238,0.282,0.209,0.288,0.308,0.196,0.182,0.294,0.272,0.088,0.332,0.053,0.166,0.3,0,0,0,6
"Muy mala",0.192,0.184,0.199,0.146,0.244,0.2,0.107,0.194,0.161,0.235,0.179,0.203,0,0.167,0.267,0,0,0,6
"No sabe",0.006,0.01,0.003,0,0.009,0,0.025,0,0.005,0.014,0.005,0.005,0,0.007,0.005,0,0,0,6
"Positiva",0.2,0.206,0.193,0.154,0.153,0.22,0.407,0.29,0.149,0.202,0.398,0.11,0.676,0.338,0.147,0,0,0,4
"Neutra",0.342,0.362,0.323,0.491,0.306,0.272,0.265,0.334,0.391,0.277,0.33,0.35,0.271,0.322,0.281,0,0,0,4
"Negativa",0.452,0.422,0.481,0.355,0.532,0.508,0.303,0.376,0.455,0.507,0.267,0.535,0.053,0.333,0.567,0,0,0,4
"No sabe",0.006,0.01,0.003,0,0.009,0,0.025,0,0.005,0.014,0.005,0.005,0,0.007,0.005,0,0,0,4
