"var","categoria","Que continúe el intendente Julio Zamora","Que continúe Julio Zamora pero con mejoras","Que cambie Julio Zamora pero que se mantengan los avances","Que cambie el intendente Julio Zamora"
"P07","Al candidato del Frente de Todos",0.654,0.575,0.219,0.07
"P07","Al candidato de Juntos por el Cambio",0.118,0.158,0.388,0.514
"P07","Al candidato de los liberales - libertarios",0.065,0.048,0.105,0.245
"P07","Al candidato de la Izquierda",0.004,0.034,0.073,0.078
"P07","A otro candidato",0.038,0.026,0.113,0.053
"P07","No sabe",0.121,0.159,0.102,0.04
"P08","A Julio Zamora por el Frente de Todos",0.742,0.484,0.216,0.018
"P08","A Malena Galmarini por el Frente de Todos",0.085,0.159,0.185,0.108
"P08","A Segundo Cernadas por Cambiemos",0.079,0.124,0.258,0.368
"P08","A Nicolás Massot por Cambiemos",0.011,0.01,0.124,0.156
"P08","Al candidato de los liberales libertarios",0.041,0.104,0.046,0.237
"P08","A Paula Akerfeld por el Frente de Izquierda",0.012,0.039,0.064,0.054
"P08","No sabe",0.03,0.08,0.107,0.059
"P10","A Julio Zamora por el Frente de Todos",0.719,0.53,0.297,0.066
"P10","A Segundo Cernadas por Cambiemos",0.149,0.132,0.262,0.409
"P10","Al candidato de los liberales libertarios",0.091,0.067,0.154,0.316
"P10","A Paula Akerfeld por el Frente de Izquierda",0.003,0.019,0.063,0.062
"P10","No sabe",0.038,0.252,0.224,0.147
"P12","A Malena Galmarini por el Frente de Todos",0.544,0.421,0.282,0.096
"P12","A Segundo Cernadas por Cambiemos",0.133,0.27,0.368,0.448
"P12","Al candidato de los liberales libertarios",0.075,0.04,0.071,0.3
"P12","A Paula Akerfeld por el Frente de Izquierda",0.035,0.053,0.077,0.04
"P12","No sabe",0.213,0.216,0.202,0.116
"P14","Muy buena",0.256,0.121,0.165,0.069
"P14","Buena",0.267,0.231,0.048,0.044
"P14","Ni buena ni mala",0.254,0.263,0.336,0.079
"P14","Mala",0.054,0.12,0.109,0.192
"P14","Muy mala",0.077,0.217,0.269,0.527
"P14","No sabe",0.092,0.048,0.073,0.089
"P15","Muy buena",0.637,0.21,0.133,0.044
"P15","Buena",0.246,0.448,0.183,0.073
"P15","Ni buena ni mala",0.066,0.305,0.436,0.196
"P15","Mala",0.003,0.012,0.118,0.319
"P15","Muy mala",0.038,0.016,0.06,0.346
"P15","No sabe",0.01,0.009,0.07,0.022
