"var","categoria","Son lo mismo aunque estén en espacios politoca diferentes","Son aliados tácticos pero lo ocultan","Son adversarios políticos","No sabe"
"P07","Al candidato del Frente de Todos",0.279,0.22,0.418,0.384
"P07","Al candidato de Juntos por el Cambio",0.199,0.327,0.402,0.242
"P07","Al candidato de los liberales - libertarios",0.269,0.275,0.054,0.085
"P07","Al candidato de la Izquierda",0.03,0.024,0.085,0.026
"P07","A otro candidato",0.114,0.031,0.011,0.085
"P07","No sabe",0.109,0.123,0.03,0.178
"P08","A Julio Zamora por el Frente de Todos",0.239,0.183,0.37,0.399
"P08","A Malena Galmarini por el Frente de Todos",0.117,0.197,0.081,0.136
"P08","A Segundo Cernadas por Cambiemos",0.096,0.186,0.313,0.153
"P08","A Nicolás Massot por Cambiemos",0.095,0.188,0.076,0.06
"P08","Al candidato de los liberales libertarios",0.28,0.196,0.063,0.137
"P08","A Paula Akerfeld por el Frente de Izquierda",0.095,0.021,0.044,0.022
"P08","No sabe",0.078,0.029,0.053,0.093
"P10","A Julio Zamora por el Frente de Todos",0.227,0.181,0.42,0.429
"P10","A Segundo Cernadas por Cambiemos",0.254,0.226,0.316,0.188
"P10","Al candidato de los liberales libertarios",0.262,0.34,0.146,0.114
"P10","A Paula Akerfeld por el Frente de Izquierda",0.043,0.049,0.037,0.026
"P10","No sabe",0.214,0.204,0.081,0.243
"P12","A Malena Galmarini por el Frente de Todos",0.11,0.224,0.412,0.367
"P12","A Segundo Cernadas por Cambiemos",0.344,0.252,0.366,0.246
"P12","Al candidato de los liberales libertarios",0.244,0.354,0.062,0.109
"P12","A Paula Akerfeld por el Frente de Izquierda",0.067,0.024,0.04,0.064
"P12","No sabe",0.235,0.146,0.12,0.214
"P14","Muy buena",0.121,0.102,0.178,0.132
"P14","Buena",0.087,0.093,0.156,0.195
"P14","Ni buena ni mala",0.158,0.108,0.177,0.271
"P14","Mala",0.072,0.155,0.141,0.14
"P14","Muy mala",0.496,0.467,0.311,0.141
"P14","No sabe",0.066,0.075,0.037,0.121
"P15","Muy buena",0.196,0.224,0.212,0.24
"P15","Buena",0.113,0.206,0.264,0.238
"P15","Ni buena ni mala",0.305,0.173,0.188,0.29
"P15","Mala",0.123,0.21,0.173,0.099
"P15","Muy mala",0.257,0.187,0.147,0.086
"P15","No sabe",0.006,0,0.016,0.047
"P16","Muy buena",0.145,0.023,0.272,0.064
"P16","Buena",0.118,0.273,0.139,0.148
"P16","Ni buena ni mala",0.423,0.282,0.185,0.439
"P16","Mala",0.103,0.13,0.116,0.11
"P16","Muy mala",0.201,0.21,0.151,0.073
"P16","No sabe",0.01,0.082,0.137,0.166
"P17","Muy buena",0.113,0.158,0.09,0.041
"P17","Buena",0.035,0.025,0.038,0.064
"P17","Ni buena ni mala",0.43,0.182,0.267,0.402
"P17","Mala",0.077,0.145,0.085,0.049
"P17","Muy mala",0.144,0.116,0.055,0.007
"P17","No sabe",0.201,0.374,0.465,0.437
"P18","Muy buena",0.212,0.101,0.135,0.028
"P18","Buena",0.034,0.146,0.106,0.066
"P18","Ni buena ni mala",0.386,0.384,0.314,0.493
"P18","Mala",0.048,0.102,0.112,0.076
"P18","Muy mala",0.185,0.117,0.13,0.08
"P18","No sabe",0.135,0.15,0.203,0.257
"P19","Muy buena",0.188,0.072,0.232,0.265
"P19","Buena",0.248,0.187,0.217,0.187
"P19","Ni buena ni mala",0.212,0.256,0.182,0.327
"P19","Mala",0.146,0.158,0.26,0.068
"P19","Muy mala",0.2,0.281,0.097,0.074
"P19","No sabe",0.006,0.046,0.012,0.079
"P20","Que continúe el intendente Julio Zamora",0.207,0.069,0.199,0.212
"P20","Que continúe Julio Zamora pero con mejoras",0.229,0.2,0.262,0.385
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.155,0.226,0.135,0.142
"P20","Que cambie el intendente Julio Zamora",0.409,0.505,0.404,0.261
"P21","Es kirchnerista",0.29,0.069,0.153,0.101
"P21","Forma parte del Frente de Todos",0.127,0.321,0.254,0.261
"P21","Es un hombre de Massa",0.114,0.111,0.287,0.12
"P21","Es un peronista independiente de centro",0.146,0.196,0.093,0.143
"P21","Es un oportunista y está donde le conviene",0.25,0.219,0.158,0.134
"P21","No sabe",0.073,0.084,0.055,0.241
"P23","Son lo mismo, ambos son de Massa",0.346,0.33,0.257,0.15
"P23","Son aliados en el Frente de Todos pero compiten",0.375,0.401,0.467,0.164
"P23","Son enemigos porque Zamora traicionó a Massa",0.207,0.219,0.191,0.069
"P23","No sabe",0.072,0.05,0.085,0.617
"P24","La seguridad",0.312,0.387,0.252,0.285
"P24","El tránsito",0.047,0.089,0.125,0.084
"P24","El arreglo de las calles",0.146,0.049,0.072,0.115
"P24","El estado de las escuelas y la educación",0.113,0.046,0.015,0.012
"P24","El sistema de salud",0.023,0.089,0.04,0.085
"P24","El deporte y la cultura",0.055,0.075,0.178,0.126
"P24","La obra pública",0.015,0.008,0.034,0.024
"P24","La luminaria",0.037,0.09,0.141,0.044
"P24","No sabe",0.252,0.167,0.143,0.225
"P25","La seguridad",0.18,0.109,0.173,0.171
"P25","El tránsito",0.147,0.045,0.096,0.119
"P25","El arreglo de las calles",0.196,0.272,0.235,0.223
"P25","El estado de las escuelas y la educación",0.158,0.14,0.072,0.108
"P25","El sistema de salud",0.154,0.268,0.208,0.118
"P25","El deporte y la cultura",0,0.047,0.064,0.063
"P25","La obra pública",0.027,0.058,0.039,0.02
"P25","La luminaria",0,0.009,0.049,0.013
"P25","No sabe",0.138,0.052,0.064,0.165
"P26","Agua corriente y cloacas",0.483,0.219,0.509,0.342
"P26","Energía eléctrica",0.069,0.29,0.117,0.133
"P26","Red de gas natural",0.009,0.052,0.136,0.067
"P26","Recolección de residuos",0.141,0.226,0.073,0.158
"P26","Ninguno",0.298,0.213,0.165,0.3
"P27","Los robos",0.315,0.133,0.25,0.319
"P27","El narcotráfico",0.182,0.38,0.342,0.173
"P27","La ausencia de patrulleros y personal policial",0.151,0.228,0.154,0.141
"P27","Otro",0.14,0.062,0.133,0.222
"P27","Ninguno",0.212,0.197,0.121,0.145
"P28","Frente de Todos y el peronismo",0.192,0.231,0.422,0.346
"P28","Cambiemos",0.118,0.18,0.366,0.203
"P28","Liberales Libertarios",0.429,0.505,0.11,0.152
"P28","Izquierda",0.045,0.02,0.049,0.069
"P28","No sabe",0.216,0.064,0.053,0.23
"P30","A Alberto Fernández",0.135,0.18,0.357,0.049
"P30","A Sergio Massa",0.254,0.128,0.151,0.473
"P30","A algún candidato del peronismo",0.311,0.596,0.281,0.383
"P30","A algún candidato del kirchnerismo",0.3,0.096,0.211,0.095
"P31","A Alberto Fernández",0.403,0.246,0.227,0.273
"P31","A Sergio Massa",0.263,0.149,0.161,0.378
"P31","A algún candidato del peronismo",0.314,0.43,0.314,0.171
"P31","A Cristina Fernández de Kirchner",0.02,0.175,0.298,0.178
"P32","A Horacio Rodriguez Larreta",0.21,0.208,0.255,0.295
"P32","A Mauricio Macri",0.237,0.188,0.259,0.077
"P32","A Patricia Bullrich",0.471,0.321,0.225,0.202
"P32","A Facundo Manes",0.06,0.28,0.18,0.229
"P32","A Gerardo Morales",0.022,0.003,0.081,0.197
"P33","Seguro lo votaria",0.456,0.307,0.249,0.067
"P33","Quizás lo votaría",0.317,0.282,0.176,0.25
"P33","Nunca lo votaría",0.227,0.411,0.575,0.683
"P34","Muy buena",0.059,0.051,0.143,0.143
"P34","Buena",0.186,0.099,0.157,0.131
"P34","Ni buena ni mala",0.083,0.22,0.19,0.308
"P34","Mala",0.149,0.121,0.146,0.061
"P34","Muy mala",0.523,0.509,0.364,0.325
"P34","No sabe",0,0,0,0.032
"P35","Muy buena",0.06,0.358,0.23,0.06
"P35","Buena",0.319,0.124,0.162,0.101
"P35","Ni buena ni mala",0.217,0.069,0.135,0.238
"P35","Mala",0.077,0.18,0.148,0.221
"P35","Muy mala",0.327,0.262,0.322,0.337
"P35","No sabe",0,0.007,0.003,0.043
"P36","Muy buena",0.176,0.266,0.28,0.278
"P36","Buena",0.129,0.088,0.127,0.048
"P36","Ni buena ni mala",0.039,0.066,0.103,0.179
"P36","Mala",0.047,0.061,0.028,0.054
"P36","Muy mala",0.609,0.515,0.462,0.4
"P36","No sabe",0,0.004,0,0.041
"P37","Muy buena",0.08,0.041,0.128,0.137
"P37","Buena",0.151,0.106,0.268,0.137
"P37","Ni buena ni mala",0.294,0.238,0.217,0.271
"P37","Mala",0.083,0.133,0.118,0.154
"P37","Muy mala",0.389,0.474,0.239,0.199
"P37","No sabe",0.003,0.008,0.03,0.102
"P38","Muy buena",0.077,0.088,0.1,0.147
"P38","Buena",0.024,0.088,0.182,0.185
"P38","Ni buena ni mala",0.277,0.166,0.216,0.243
"P38","Mala",0.112,0.141,0.15,0.137
"P38","Muy mala",0.51,0.514,0.35,0.255
"P38","No sabe",0,0.003,0.002,0.033
"P39","Muy buena",0.206,0.369,0.254,0.149
"P39","Buena",0.077,0.191,0.168,0.132
"P39","Ni buena ni mala",0.352,0.093,0.177,0.188
"P39","Mala",0.025,0.095,0.055,0.204
"P39","Muy mala",0.34,0.249,0.342,0.238
"P39","No sabe",0,0.003,0.004,0.089
"P40","Muy buena",0.412,0.378,0.146,0.084
"P40","Buena",0.119,0.19,0.104,0.139
"P40","Ni buena ni mala",0.302,0.144,0.18,0.242
"P40","Mala",0.005,0.08,0.221,0.131
"P40","Muy mala",0.162,0.195,0.311,0.344
"P40","No sabe",0,0.013,0.038,0.06
