"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.507,0.386,0.477
"P04","Realizo changas o trabajos de vez en cuando",0.168,0.21,0.215
"P04","No tengo trabajo",0.151,0.19,0.169
"P04","Soy jubilado o pensionado",0.174,0.214,0.139
"P05","1",0.253,0.373,0.223
"P05","2",0.046,0.106,0.077
"P05","3",0.016,0.07,0.022
"P05","4",0.041,0.109,0.11
"P05","5",0.137,0.211,0.211
"P05","6",0.057,0.032,0.056
"P05","7",0.126,0.036,0.092
"P05","8",0.102,0.023,0.046
"P05","9",0.222,0.04,0.163
"P06","1",0.468,0.117,0.289
"P06","2",0.074,0.032,0.049
"P06","3",0.083,0.022,0.037
"P06","4",0.036,0.042,0.039
"P06","5",0.138,0.215,0.243
"P06","6",0.022,0.06,0.053
"P06","7",0.029,0.074,0.046
"P06","8",0.03,0.102,0.072
"P06","9",0.12,0.336,0.172
"P07","1",0.583,0.208,0.352
"P07","2",0.045,0.035,0.02
"P07","3",0.05,0.046,0.029
"P07","4",0.019,0.011,0.028
"P07","5",0.045,0.127,0.127
"P07","6",0.006,0.037,0.033
"P07","7",0.011,0.051,0.02
"P07","8",0.019,0.054,0.056
"P07","9",0.222,0.431,0.335
"P09","Del Frente de Todos y el peronismo",0.82,0.032,0.265
"P09","De Juntos por el cambio",0.047,0.666,0.143
"P09","De los Liberales libertarios",0.024,0.226,0.256
"P09","De la Izquierda",0.031,0.006,0.037
"P09","No sabe",0.078,0.07,0.299
"P10","A Alberto Fernández",0.117,0,0.098
"P10","A Sergio Massa",0.343,0.056,0.102
"P10","A algún candidato del peronismo",0.091,0.741,0.128
"P10","A algún candidato del kirchnerismo",0.449,0.203,0.672
"P11","A Alberto Fernández",0.118,0,0.083
"P11","A Sergio Massa",0.197,0.083,0.044
"P11","A algún candidato del peronismo",0.047,0.686,0.11
"P11","A Cristina Fernández de Kirchner",0.638,0.231,0.763
"P12","A Horacio Rodriguez Larreta",0.247,0.188,0.252
"P12","A Mauricio Macri",0.034,0.34,0.232
"P12","A Patricia Bullrich",0.011,0.421,0.267
"P12","A Facundo Manes",0.319,0.043,0.187
"P12","A Gerardo Morales",0.389,0.008,0.062
"P13","Seguro lo votaria",0.151,0.174,0.277
"P13","Quizás lo votaría",0.15,0.367,0.22
"P13","Nunca lo votaría",0.699,0.459,0.503
"P14","Lo votaría",0.047,0.429,0.051
"P14","Puede que lo vote",0.034,0.335,0.141
"P14","Nunca lo votaría",0.851,0.163,0.677
"P14","No sabe",0.068,0.073,0.131
"P15","Lo votaría",0.318,0.028,0.008
"P15","Puede que lo vote",0.437,0.085,0.133
"P15","Nunca lo votaría",0.201,0.862,0.711
"P15","No sabe",0.044,0.025,0.148
"P16","Lo votaría",0.267,0.003,0.058
"P16","Puede que lo vote",0.486,0.014,0.136
"P16","Nunca lo votaría",0.186,0.973,0.668
"P16","No sabe",0.061,0.01,0.138
"P17","La votaría",0.718,0.013,0.224
"P17","Puede que la vote",0.165,0.005,0.066
"P17","Nunca la votaría",0.089,0.974,0.597
"P17","No sabe",0.028,0.008,0.113
"P18","Lo votaría",0.118,0.224,0.062
"P18","Puede que lo vote",0.063,0.4,0.263
"P18","Nunca lo votaría",0.803,0.316,0.565
"P18","No sabe",0.016,0.06,0.11
"P19","Lo votaría",0.045,0.084,0.117
"P19","Puede que lo vote",0.157,0.366,0.184
"P19","Nunca lo votaría",0.662,0.476,0.536
"P19","No sabe",0.136,0.074,0.163
"P20","La votaría",0.02,0.544,0.078
