"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.466,0.416,0.465
"P04","Realizo changas o trabajos de vez en cuando",0.176,0.205,0.234
"P04","No tengo trabajo",0.169,0.161,0.175
"P04","Soy jubilado o pensionado",0.189,0.218,0.126
"P05","1",0.232,0.392,0.244
"P05","2",0.063,0.098,0.084
"P05","3",0.016,0.063,0.041
"P05","4",0.065,0.109,0.091
"P05","5",0.119,0.177,0.296
"P05","6",0.055,0.033,0.047
"P05","7",0.124,0.049,0.049
"P05","8",0.101,0.021,0.031
"P05","9",0.225,0.058,0.117
"P06","1",0.467,0.14,0.207
"P06","2",0.06,0.038,0.05
"P06","3",0.084,0.025,0.016
"P06","4",0.037,0.033,0.051
"P06","5",0.138,0.185,0.295
"P06","6",0.034,0.059,0.042
"P06","7",0.028,0.082,0.034
"P06","8",0.038,0.097,0.076
"P06","9",0.114,0.341,0.229
"P07","1",0.561,0.234,0.287
"P07","2",0.032,0.034,0.05
"P07","3",0.035,0.048,0.043
"P07","4",0.016,0.02,0.014
"P07","5",0.07,0.128,0.104
"P07","6",0.011,0.03,0.041
"P07","7",0.019,0.043,0.023
"P07","8",0.03,0.04,0.067
"P07","9",0.226,0.423,0.371
"P09","Del Frente de Todos y el peronismo",0.749,0.114,0.086
"P09","De Juntos por el cambio",0.112,0.612,0.246
"P09","De los Liberales libertarios",0.03,0.213,0.318
"P09","De la Izquierda",0.029,0.001,0.045
"P09","No sabe",0.08,0.06,0.305
"P10","A Alberto Fernández",0.126,0.054,0.185
"P10","A Sergio Massa",0.245,0.393,0.45
"P10","A algún candidato del peronismo",0.103,0.238,0.202
"P10","A algún candidato del kirchnerismo",0.526,0.315,0.163
"P11","A Alberto Fernández",0.116,0.09,0.208
"P11","A Sergio Massa",0.141,0.181,0.357
"P11","A algún candidato del peronismo",0.058,0.207,0.213
"P11","A Cristina Fernández de Kirchner",0.685,0.522,0.222
"P12","A Horacio Rodriguez Larreta",0.243,0.188,0.279
"P12","A Mauricio Macri",0.196,0.368,0.143
"P12","A Patricia Bullrich",0.248,0.404,0.366
"P12","A Facundo Manes",0.158,0.034,0.16
"P12","A Gerardo Morales",0.155,0.006,0.052
"P13","Seguro lo votaria",0.073,0.17,0.278
"P13","Quizás lo votaría",0.266,0.378,0.296
"P13","Nunca lo votaría",0.661,0.452,0.426
"P14","Lo votaría",0.071,0.448,0.063
"P14","Puede que lo vote",0.045,0.321,0.192
"P14","Nunca lo votaría",0.839,0.174,0.55
