"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"1-Excelente",0.145,0.156,0.135,0.126,0.153,0.151,0.151,0.259,0.08,0.138,0.138,0.203,0.022,0.152,0.145,0,0,0
"2",0.083,0.132,0.035,0,0.122,0.054,0.179,0.162,0.058,0.051,0.158,0.049,0.056,0.116,0.068,0,0,0
"3",0.06,0.074,0.046,0,0.094,0.081,0.037,0.091,0.049,0.048,0.01,0.078,0,0.021,0.076,0,0,0
"4",0.085,0.104,0.067,0.208,0.022,0.038,0.122,0.148,0.07,0.053,0.124,0.045,0.062,0.071,0.092,0,0,0
"5",0.122,0.163,0.082,0.2,0.103,0.093,0.077,0,0.192,0.131,0.139,0.09,0.613,0.083,0.179,0,0,0
"6",0.046,0.054,0.038,0.055,0.057,0.04,0,0.044,0.016,0.086,0.05,0.005,0.175,0.11,0.023,0,0,0
"7",0.026,0.025,0.027,0,0.032,0.031,0.049,0,0.029,0.042,0.079,0.007,0,0.031,0.019,0,0,0
"8",0.046,0.051,0.04,0,0.054,0.067,0.073,0.049,0.035,0.057,0.06,0.039,0,0.063,0.038,0,0,0
"9-Pésimo",0.254,0.139,0.367,0.332,0.247,0.242,0.14,0.073,0.319,0.319,0.112,0.3,0.036,0.235,0.252,0,0,0
"No sabe",0.133,0.102,0.163,0.079,0.116,0.203,0.172,0.174,0.152,0.075,0.13,0.184,0.036,0.118,0.108,0,0,0
