"var","categoria","Tengo trabajo estable","Realizo changas o trabajos de vez en cuando","No tengo trabajo","Soy jubilado o pensionado"
"P05","Derecha",0.291,0.179,0.089,0.112
"P05","Centro derecha",0.154,0.203,0.113,0.186
"P05","Centro izquierda",0.202,0.101,0.223,0.156
"P05","Izquierda",0.076,0.076,0.087,0.241
"P05","No sabe",0.277,0.441,0.488,0.305
"P06","Muy importante",0.685,0.62,0.583,0.645
"P06","Algo importante",0.169,0.143,0.157,0.177
"P06","Nada importante",0.115,0.159,0.16,0.094
"P06","No sabe",0.031,0.078,0.1,0.084
"P07","Estoy de acuerdo",0.482,0.429,0.393,0.392
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.35,0.388,0.342,0.393
"P07","No estoy de acuerdo",0.118,0.126,0.226,0.162
"P07","No sabe",0.05,0.057,0.039,0.053
"P08","Frente de Todos y el peronismo",0.39,0.284,0.329,0.342
"P08","Cambiemos",0.27,0.263,0.235,0.384
"P08","Liberales y Javier Milei",0.242,0.268,0.295,0.123
"P08","Izquierda",0.033,0.042,0.023,0.038
"P08","No sabe",0.065,0.143,0.118,0.113
"P10","Lo votaría",0.29,0.235,0.236,0.278
"P10","Puede que lo vote",0.389,0.344,0.351,0.373
"P10","Nunca lo votaría",0.23,0.357,0.319,0.208
"P10","No sabe",0.091,0.064,0.094,0.141
"P11","Lo votaría",0.369,0.452,0.367,0.509
"P11","Puede que lo vote",0.367,0.314,0.293,0.288
"P11","Nunca lo votaría",0.212,0.179,0.187,0.123
"P11","No sabe",0.052,0.055,0.153,0.08
"P12","Lo votaría",0.444,0.415,0.425,0.425
"P12","Puede que lo vote",0.414,0.409,0.339,0.407
"P12","Nunca lo votaría",0.09,0.108,0.155,0.103
"P12","No sabe",0.052,0.068,0.081,0.065
"P13","Lo votaría",0.289,0.209,0.218,0.229
"P13","Puede que lo vote",0.397,0.198,0.404,0.387
"P13","Nunca lo votaría",0.257,0.417,0.33,0.315
"P13","No sabe",0.057,0.176,0.048,0.069
"P14","La votaría",0.526,0.547,0.639,0.63
"P14","Puede que la vote",0.321,0.216,0.212,0.212
"P14","Nunca la votaría",0.12,0.169,0.149,0.107
"P14","No sabe",0.033,0.068,0,0.051
"P15","Lo votaría",0.228,0.143,0.176,0.108
"P15","Puede que lo vote",0.26,0.316,0.234,0.228
"P15","Nunca lo votaría",0.483,0.478,0.568,0.603
"P15","No sabe",0.029,0.063,0.022,0.061
"P16","Sí, lo votaría",0.307,0.323,0.326,0.318
"P16","Puede que lo vote",0.115,0.133,0.135,0.134
"P16","Nunca lo votaría",0.544,0.458,0.45,0.514
"P16","No sabe",0.034,0.086,0.089,0.034
"P17","Sí, la votaría",0.34,0.28,0.305,0.339
"P17","Puede que la vote",0.092,0.083,0.073,0.062
"P17","Nunca la votaría",0.55,0.585,0.556,0.581
"P17","No sabe",0.018,0.052,0.066,0.018
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.362,0.317,0.302,0.343
"P18","Mauricio Macri por Cambiemos",0.199,0.227,0.239,0.356
"P18","Javier Milei por los liberales",0.243,0.264,0.283,0.11
"P18","Nicolás del Caño por la izquierda",0.018,0.026,0.015,0.024
"P18","Otro candidato",0.178,0.166,0.161,0.167
"P19","Horacio Rodríguez Larreta por Cambiemos",0.241,0.272,0.292,0.315
"P19","Alberto Fernández por el Frente de Todos",0.29,0.245,0.238,0.313
"P19","Javier Milei por los liberales",0.245,0.254,0.257,0.114
"P19","Nicolás del Caño por la izquierda",0.033,0.034,0.018,0.035
"P19","Otro candidato",0.191,0.195,0.195,0.223
"P20","Mauricio Macri presidente Javier Milei vice",0.348,0.423,0.387,0.337
"P20","Sergio Massa presidente Gerardo Morales vice",0.178,0.124,0.172,0.149
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.076,0.06,0.063,0.066
"P20","No sabe",0.398,0.393,0.378,0.448
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.254,0.286,0.299,0.36
"P21","Alberto Fernández presidente Sergio Massa vice",0.164,0.159,0.153,0.18
"P21","Javier Milei presidente José Luis Espert vice",0.176,0.231,0.223,0.077
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.131,0.082,0.087,0.133
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.196,0.147,0.135,0.173
"P21","Otros candidatos",0.079,0.095,0.103,0.077
"P22","Muy buena",0.078,0.075,0.052,0.104
"P22","Buena",0.174,0.141,0.137,0.187
"P22","Ni buena ni mala",0.133,0.139,0.143,0.121
"P22","Mala",0.162,0.138,0.177,0.157
"P22","Muy mala",0.439,0.498,0.48,0.424
"P22","No sabe",0.014,0.009,0.011,0.007
"P23","Si",0.73,0.646,0.507,0.663
"P23","No",0.15,0.16,0.307,0.138
"P23","No sabe",0.12,0.194,0.186,0.199
"P24","El kirchnerismo",0.462,0.473,0.432,0.463
"P24","Cambiemos",0.196,0.154,0.159,0.199
"P24","Los medios de comunicación",0.193,0.152,0.164,0.163
"P24","Otros",0.068,0.087,0.136,0.06
"P24","No sabe",0.081,0.134,0.109,0.115
"P25","Sin deuda",0.345,0.2,0.212,0.368
"P25","Menos de 10%",0.16,0.142,0.149,0.222
"P25","Entre 10 y 20%",0.142,0.143,0.135,0.15
"P25","Entre 20 y 30%",0.095,0.135,0.114,0.088
"P25","Entre 30 y 40%",0.086,0.127,0.098,0.061
"P25","Mas del 40%",0.147,0.218,0.249,0.074
"P25","No sabe",0.025,0.035,0.043,0.037
"P26","Gran excedente habitual",0.006,0.002,0.009,0.003
