"var","categoria","Mauricio Macri presidente Javier Milei vice","Sergio Massa presidente Gerardo Morales vice","Nicolas del Caño presidente Myriam Bregman vice","No sabe"
"P04","Tengo trabajo estable",0.407,0.476,0.475,0.424
"P04","Realizo changas o trabajos de vez en cuando",0.227,0.152,0.173,0.192
"P04","No tengo trabajo",0.183,0.187,0.159,0.163
"P04","Soy jubilado o pensionado",0.183,0.185,0.193,0.221
"P05","Derecha",0.318,0.101,0.152,0.141
"P05","Centro derecha",0.284,0.118,0.043,0.108
"P05","Centro izquierda",0.059,0.323,0.305,0.213
"P05","Izquierda",0.072,0.12,0.331,0.113
"P05","No sabe",0.267,0.338,0.169,0.425
"P06","Muy importante",0.518,0.778,0.765,0.705
"P06","Algo importante",0.224,0.125,0.165,0.13
"P06","Nada importante",0.216,0.053,0.054,0.092
"P06","No sabe",0.042,0.044,0.016,0.073
"P07","Estoy de acuerdo",0.278,0.607,0.695,0.478
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.505,0.261,0.218,0.323
"P07","No estoy de acuerdo",0.178,0.075,0.053,0.156
"P07","No sabe",0.039,0.057,0.034,0.043
"P08","Frente de Todos y el peronismo",0.049,0.743,0.506,0.441
"P08","Cambiemos",0.512,0.079,0.063,0.221
"P08","Liberales y Javier Milei",0.402,0.084,0.12,0.16
"P08","Izquierda",0.006,0.031,0.253,0.018
"P08","No sabe",0.031,0.063,0.058,0.16
"P10","Lo votaría",0.164,0.516,0.136,0.142
"P10","Puede que lo vote",0.108,0.41,0.374,0.379
"P10","Nunca lo votaría",0.728,0.026,0.407,0.341
"P10","No sabe",0,0.048,0.083,0.138
"P11","Lo votaría",0.218,0.555,0.25,0.358
"P11","Puede que lo vote",0.27,0.264,0.406,0.364
"P11","Nunca lo votaría",0.495,0.095,0.316,0.195
"P11","No sabe",0.017,0.086,0.028,0.083
"P12","Lo votaría",0.468,0.175,0.162,0.41
"P12","Puede que lo vote",0.392,0.146,0.656,0.44
"P12","Nunca lo votaría",0.087,0.595,0,0.08
"P12","No sabe",0.053,0.084,0.182,0.07
"P13","Lo votaría",0.223,0.263,0.387,0.288
"P13","Puede que lo vote",0.383,0.089,0.246,0.361
"P13","Nunca lo votaría",0.319,0.559,0.23,0.252
"P13","No sabe",0.075,0.089,0.137,0.099
"P14","La votaría",0.672,0.306,0.171,0.43
"P14","Puede que la vote",0.226,0.068,0.195,0.358
"P14","Nunca la votaría",0.069,0.601,0.375,0.165
"P14","No sabe",0.033,0.025,0.259,0.047
"P15","Lo votaría",0.235,0.123,0.044,0.054
"P15","Puede que lo vote",0.331,0.098,0.142,0.146
"P15","Nunca lo votaría",0.397,0.779,0.718,0.743
"P15","No sabe",0.037,0,0.096,0.057
"P16","Sí, lo votaría",0.701,0.042,0.064,0.129
"P16","Puede que lo vote",0.189,0.042,0.036,0.119
"P16","Nunca lo votaría",0.083,0.9,0.855,0.678
"P16","No sabe",0.027,0.016,0.045,0.074
"P17","Sí, la votaría",0.129,0.576,0.453,0.389
"P17","Puede que la vote",0.041,0.142,0.143,0.082
"P17","Nunca la votaría",0.823,0.265,0.36,0.489
"P17","No sabe",0.007,0.017,0.044,0.04
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.042,0.743,0.54,0.427
"P18","Mauricio Macri por Cambiemos",0.502,0.019,0.035,0.134
"P18","Javier Milei por los liberales",0.388,0.075,0.107,0.157
"P18","Nicolás del Caño por la izquierda",0.002,0.004,0.218,0.007
"P18","Otro candidato",0.066,0.159,0.1,0.275
"P19","Horacio Rodríguez Larreta por Cambiemos",0.417,0.157,0.122,0.214
"P19","Alberto Fernández por el Frente de Todos",0.111,0.619,0.228,0.302
"P19","Javier Milei por los liberales",0.388,0.071,0.124,0.139
"P19","Nicolás del Caño por la izquierda",0.004,0.006,0.361,0.009
"P19","Otro candidato",0.08,0.147,0.165,0.336
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.643,0.031,0.027,0.113
"P21","Alberto Fernández presidente Sergio Massa vice",0.018,0.571,0.128,0.143
"P21","Javier Milei presidente José Luis Espert vice",0.257,0.048,0.23,0.141
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.051,0.038,0.078,0.208
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.009,0.246,0.379,0.255
