"var","categoria","Mejor","Igual","Peor","No sabe"
"P04","Tengo trabajo estable",0.513,0.502,0.375,0.35
"P04","Realizo changas o trabajos de vez en cuando",0.162,0.155,0.229,0.213
"P04","No tengo trabajo",0.114,0.158,0.195,0.263
"P04","Soy jubilado o pensionado",0.211,0.185,0.201,0.174
"P05","Derecha",0.138,0.17,0.228,0.167
"P05","Centro derecha",0.084,0.121,0.216,0.081
"P05","Centro izquierda",0.329,0.251,0.105,0.177
"P05","Izquierda",0.169,0.123,0.09,0.105
"P05","No sabe",0.28,0.335,0.361,0.47
"P06","Muy importante",0.796,0.723,0.566,0.699
"P06","Algo importante",0.102,0.158,0.188,0.128
"P06","Nada importante",0.041,0.06,0.189,0.066
"P06","No sabe",0.061,0.059,0.057,0.107
"P07","Estoy de acuerdo",0.664,0.552,0.337,0.389
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.19,0.282,0.443,0.383
"P07","No estoy de acuerdo",0.112,0.124,0.166,0.157
"P07","No sabe",0.034,0.042,0.054,0.071
"P08","Frente de Todos y el peronismo",0.778,0.516,0.136,0.51
"P08","Cambiemos",0.098,0.205,0.383,0.193
"P08","Liberales y Javier Milei",0.055,0.151,0.336,0.116
"P08","Izquierda",0.016,0.055,0.027,0.047
"P08","No sabe",0.053,0.073,0.118,0.134
"P10","Lo votaría",0.305,0.281,0.214,0.271
"P10","Puede que lo vote",0.412,0.394,0.309,0.318
"P10","Nunca lo votaría",0.211,0.205,0.423,0.253
"P10","No sabe",0.072,0.12,0.054,0.158
"P11","Lo votaría",0.546,0.339,0.315,0.389
"P11","Puede que lo vote",0.311,0.428,0.222,0.297
"P11","Nunca lo votaría",0.102,0.152,0.413,0.135
"P11","No sabe",0.041,0.081,0.05,0.179
"P12","Lo votaría",0.113,0.542,0.425,0.45
"P12","Puede que lo vote",0.35,0.275,0.437,0.331
"P12","Nunca lo votaría",0.424,0.099,0.084,0.151
"P12","No sabe",0.113,0.084,0.054,0.068
"P13","Lo votaría",0.089,0.317,0.238,0.289
"P13","Puede que lo vote",0.051,0.389,0.377,0.254
"P13","Nunca lo votaría",0.626,0.244,0.311,0.308
"P13","No sabe",0.234,0.05,0.074,0.149
"P14","La votaría",0.156,0.474,0.634,0.423
"P14","Puede que la vote",0.169,0.368,0.237,0.279
"P14","Nunca la votaría",0.45,0.11,0.111,0.182
"P14","No sabe",0.225,0.048,0.018,0.116
"P15","Lo votaría",0.235,0.203,0.179,0.049
"P15","Puede que lo vote",0.059,0.322,0.251,0.286
"P15","Nunca lo votaría",0.593,0.454,0.539,0.501
"P15","No sabe",0.113,0.021,0.031,0.164
"P16","Sí, lo votaría",0.071,0.191,0.457,0.158
"P16","Puede que lo vote",0.026,0.104,0.165,0.118
"P16","Nunca lo votaría",0.854,0.667,0.32,0.646
"P16","No sabe",0.049,0.038,0.058,0.078
"P17","Sí, la votaría",0.637,0.474,0.167,0.373
"P17","Puede que la vote",0.103,0.104,0.053,0.153
"P17","Nunca la votaría",0.238,0.396,0.745,0.415
"P17","No sabe",0.022,0.026,0.035,0.059
