"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","opciones"
"Muy buena",0.04,0.034,0.047,0.063,0.029,0.033,0.052,0.043,0.035,0.044,0.038,0.045,6
"Buena",0.146,0.151,0.142,0.107,0.129,0.166,0.2,0.107,0.148,0.192,0.145,0.149,6
"Ni buena ni mala",0.395,0.377,0.413,0.333,0.392,0.415,0.438,0.364,0.403,0.419,0.39,0.405,6
"Mala",0.294,0.305,0.283,0.368,0.299,0.28,0.228,0.308,0.318,0.24,0.297,0.289,6
"Muy mala",0.111,0.112,0.109,0.116,0.136,0.091,0.074,0.159,0.089,0.088,0.118,0.096,6
"No sabe",0.014,0.021,0.006,0.013,0.015,0.015,0.008,0.019,0.007,0.017,0.012,0.016,6
"Positiva",0.186,0.185,0.189,0.17,0.158,0.199,0.252,0.15,0.183,0.236,0.183,0.194,4
"Neutra",0.395,0.377,0.413,0.333,0.392,0.415,0.438,0.364,0.403,0.419,0.39,0.405,4
"Negativa",0.405,0.417,0.392,0.484,0.435,0.371,0.302,0.467,0.407,0.328,0.415,0.385,4
"No sabe",0.014,0.021,0.006,0.013,0.015,0.015,0.008,0.019,0.007,0.017,0.012,0.016,4
