"var","categoria","Frente de Todos y el peronismo","Cambiemos","Liberales y Javier Milei","Izquierda","No sabe"
"P04","Tengo trabajo estable",0.47,0.398,0.436,0.401,0.274
"P04","Realizo changas o trabajos de vez en cuando",0.165,0.187,0.232,0.254,0.29
"P04","No tengo trabajo",0.172,0.15,0.229,0.125,0.214
"P04","Soy jubilado o pensionado",0.193,0.265,0.103,0.22,0.222
"P05","Derecha",0.11,0.262,0.304,0.108,0.093
"P05","Centro derecha",0.065,0.302,0.192,0.066,0.082
"P05","Centro izquierda",0.337,0.104,0.063,0.156,0.104
"P05","Izquierda",0.154,0.067,0.091,0.405,0.057
"P05","No sabe",0.334,0.265,0.35,0.265,0.664
"P06","Muy importante",0.81,0.579,0.468,0.742,0.647
"P06","Algo importante",0.11,0.256,0.162,0.116,0.116
"P06","Nada importante",0.028,0.133,0.303,0.029,0.082
"P06","No sabe",0.052,0.032,0.067,0.113,0.155
"P07","Estoy de acuerdo",0.644,0.335,0.267,0.648,0.324
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.23,0.494,0.437,0.141,0.38
"P07","No estoy de acuerdo",0.086,0.139,0.239,0.092,0.202
"P07","No sabe",0.04,0.032,0.057,0.119,0.094
"P16","Sí, lo votaría",0.027,0.679,0.413,0.036,0.129
"P16","Puede que lo vote",0.029,0.163,0.235,0.031,0.131
"P16","Nunca lo votaría",0.922,0.142,0.28,0.887,0.509
"P16","No sabe",0.022,0.016,0.072,0.046,0.231
"P17","Sí, la votaría",0.704,0.124,0.087,0.324,0.121
"P17","Puede que la vote",0.116,0.04,0.046,0.189,0.125
"P17","Nunca la votaría",0.172,0.831,0.833,0.444,0.561
"P17","No sabe",0.008,0.005,0.034,0.043,0.193
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.84,0.055,0.021,0.358,0.162
"P18","Mauricio Macri por Cambiemos",0.018,0.725,0.067,0.019,0.09
"P18","Javier Milei por los liberales",0.027,0.054,0.828,0.016,0.069
"P18","Nicolás del Caño por la izquierda",0.008,0.008,0.004,0.403,0.015
"P18","Otro candidato",0.107,0.158,0.08,0.204,0.664
