"var","categoria","Derecha","Centro derecha","Centro izquierda","Izquierda","No sabe"
"P04","Tengo trabajo estable",0.62,0.394,0.477,0.286,0.326
"P04","Realizo changas o trabajos de vez en cuando",0.184,0.252,0.116,0.139,0.251
"P04","No tengo trabajo",0.083,0.128,0.232,0.144,0.253
"P04","Soy jubilado o pensionado",0.113,0.226,0.175,0.431,0.17
"P06","Muy importante",0.598,0.472,0.757,0.733,0.668
"P06","Algo importante",0.182,0.334,0.146,0.103,0.101
"P06","Nada importante",0.2,0.175,0.091,0.052,0.109
"P06","No sabe",0.02,0.019,0.006,0.112,0.122
"P07","Estoy de acuerdo",0.308,0.372,0.72,0.601,0.344
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.48,0.46,0.191,0.211,0.393
"P07","No estoy de acuerdo",0.171,0.128,0.067,0.149,0.186
"P07","No sabe",0.041,0.04,0.022,0.039,0.077
"P08","Frente de Todos y el peronismo",0.194,0.138,0.662,0.473,0.333
"P08","Cambiemos",0.378,0.524,0.167,0.168,0.216
"P08","Liberales y Javier Milei",0.362,0.274,0.083,0.187,0.234
"P08","Izquierda",0.019,0.014,0.03,0.122,0.026
"P08","No sabe",0.047,0.05,0.058,0.05,0.191
"P10","Lo votaría",0.344,0.338,0.273,0.24,0.244
"P10","Puede que lo vote",0.351,0.369,0.439,0.419,0.288
"P10","Nunca lo votaría",0.241,0.287,0.21,0.223,0.332
"P10","No sabe",0.064,0.006,0.078,0.118,0.136
"P11","Lo votaría",0.48,0.497,0.338,0.291,0.501
"P11","Puede que lo vote",0.261,0.281,0.397,0.439,0.243
"P11","Nunca lo votaría",0.234,0.215,0.201,0.132,0.173
"P11","No sabe",0.025,0.007,0.064,0.138,0.083
"P12","Lo votaría",0.433,0.413,0.312,0.445,0.494
"P12","Puede que lo vote",0.406,0.494,0.332,0.381,0.319
"P12","Nunca lo votaría",0.117,0.068,0.17,0.174,0.098
"P12","No sabe",0.044,0.025,0.186,0,0.089
"P13","Lo votaría",0.24,0.2,0.349,0.183,0.289
"P13","Puede que lo vote",0.358,0.396,0.331,0.311,0.331
"P13","Nunca lo votaría",0.312,0.357,0.288,0.412,0.251
"P13","No sabe",0.09,0.047,0.032,0.094,0.129
"P14","La votaría",0.603,0.618,0.431,0.451,0.565
"P14","Puede que la vote",0.251,0.236,0.245,0.208,0.311
"P14","Nunca la votaría",0.1,0.107,0.287,0.268,0.098
"P14","No sabe",0.046,0.039,0.037,0.073,0.026
"P15","Lo votaría",0.236,0.148,0.125,0.132,0.175
"P15","Puede que lo vote",0.298,0.276,0.205,0.161,0.248
"P15","Nunca lo votaría",0.427,0.549,0.653,0.628,0.514
"P15","No sabe",0.039,0.027,0.017,0.079,0.063
"P16","Sí, lo votaría",0.501,0.534,0.117,0.169,0.256
"P16","Puede que lo vote",0.129,0.168,0.071,0.099,0.141
"P16","Nunca lo votaría",0.338,0.258,0.794,0.725,0.496
"P16","No sabe",0.032,0.04,0.018,0.007,0.107
"P17","Sí, la votaría",0.198,0.135,0.615,0.498,0.274
