"var","categoria","Mejor","Igual","Peor","No sabe"
"P04","Tengo trabajo estable",0.539,0.477,0.369,0.458
"P04","Realizo changas o trabajos de vez en cuando",0.122,0.159,0.242,0.12
"P04","No tengo trabajo",0.119,0.17,0.19,0.322
"P04","Soy jubilado o pensionado",0.22,0.194,0.199,0.1
"P05","Derecha",0.204,0.167,0.212,0.157
"P05","Centro derecha",0.108,0.113,0.202,0.103
"P05","Centro izquierda",0.292,0.261,0.116,0.125
"P05","Izquierda",0.139,0.148,0.085,0.118
"P05","No sabe",0.257,0.311,0.385,0.497
"P06","Muy importante",0.719,0.748,0.583,0.634
"P06","Algo importante",0.158,0.138,0.183,0.074
"P06","Nada importante",0.088,0.057,0.165,0.198
"P06","No sabe",0.035,0.057,0.069,0.094
"P07","Estoy de acuerdo",0.547,0.597,0.336,0.439
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.289,0.227,0.452,0.326
"P07","No estoy de acuerdo",0.14,0.113,0.167,0.14
"P07","No sabe",0.024,0.063,0.045,0.095
"P08","Frente de Todos y el peronismo",0.673,0.604,0.161,0.303
"P08","Cambiemos",0.143,0.162,0.379,0.179
"P08","Liberales y Javier Milei",0.106,0.111,0.31,0.374
"P08","Izquierda",0.015,0.037,0.037,0.025
"P08","No sabe",0.063,0.086,0.113,0.119
"P10","Lo votaría",0.275,0.291,0.246,0.172
"P10","Puede que lo vote",0.362,0.423,0.315,0.098
"P10","Nunca lo votaría",0.224,0.202,0.362,0.607
"P10","No sabe",0.139,0.084,0.077,0.123
"P11","Lo votaría",0.527,0.369,0.408,0.229
"P11","Puede que lo vote",0.3,0.399,0.213,0.373
"P11","Nunca lo votaría",0.115,0.149,0.312,0.277
"P11","No sabe",0.058,0.083,0.067,0.121
"P12","Lo votaría",0.334,0.431,0.439,0.434
"P12","Puede que lo vote",0.394,0.313,0.413,0.536
"P12","Nunca lo votaría",0.272,0.175,0.083,0.03
"P12","No sabe",0,0.081,0.065,0
"P13","Lo votaría",0.21,0.287,0.241,0.291
"P13","Puede que lo vote",0.158,0.275,0.386,0.388
"P13","Nunca lo votaría",0.579,0.312,0.295,0.321
"P13","No sabe",0.053,0.126,0.078,0
"P14","La votaría",0.337,0.452,0.617,0.397
"P14","Puede que la vote",0.266,0.274,0.248,0.511
"P14","Nunca la votaría",0.335,0.161,0.113,0.032
"P14","No sabe",0.062,0.113,0.022,0.06
"P15","Lo votaría",0.272,0.121,0.183,0.141
"P15","Puede que lo vote",0.231,0.336,0.241,0.225
"P15","Nunca lo votaría",0.44,0.462,0.542,0.634
