"var","categoria","Muy importante","Algo importante","Nada importante","No sabe"
"P04","Tengo trabajo estable",0.444,0.432,0.376,0.203
"P04","Realizo changas o trabajos de vez en cuando",0.195,0.178,0.252,0.25
"P04","No tengo trabajo",0.164,0.175,0.227,0.287
"P04","Soy jubilado o pensionado",0.197,0.215,0.145,0.26
"P05","Derecha",0.181,0.217,0.305,0.063
"P05","Centro derecha",0.12,0.337,0.224,0.049
"P05","Centro izquierda",0.207,0.158,0.125,0.016
"P05","Izquierda",0.127,0.071,0.045,0.197
"P05","No sabe",0.365,0.217,0.301,0.675
"P07","Estoy de acuerdo",0.536,0.317,0.246,0.118
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.312,0.52,0.412,0.41
"P07","No estoy de acuerdo",0.117,0.102,0.318,0.251
"P07","No sabe",0.035,0.061,0.024,0.221
"P08","Frente de Todos y el peronismo",0.437,0.233,0.076,0.291
"P08","Cambiemos",0.255,0.442,0.297,0.145
"P08","Liberales y Javier Milei",0.169,0.23,0.555,0.252
"P08","Izquierda",0.039,0.024,0.008,0.062
"P08","No sabe",0.1,0.071,0.064,0.25
"P10","Lo votaría",0.276,0.324,0.191,0.111
"P10","Puede que lo vote",0.385,0.325,0.3,0.32
"P10","Nunca lo votaría",0.248,0.298,0.388,0.295
"P10","No sabe",0.091,0.053,0.121,0.274
"P11","Lo votaría",0.421,0.327,0.28,0.476
"P11","Puede que lo vote",0.337,0.278,0.355,0.344
"P11","Nunca lo votaría",0.176,0.273,0.293,0.079
"P11","No sabe",0.066,0.122,0.072,0.101
"P12","Lo votaría",0.451,0.39,0.42,0.456
"P12","Puede que lo vote",0.373,0.48,0.368,0.366
"P12","Nunca lo votaría",0.105,0.074,0.168,0.146
"P12","No sabe",0.071,0.056,0.044,0.032
"P13","Lo votaría",0.254,0.253,0.222,0.223
"P13","Puede que lo vote",0.37,0.387,0.28,0.177
"P13","Nunca lo votaría",0.272,0.324,0.444,0.418
"P13","No sabe",0.104,0.036,0.054,0.182
"P14","La votaría",0.546,0.571,0.648,0.701
"P14","Puede que la vote",0.284,0.255,0.171,0.215
"P14","Nunca la votaría",0.117,0.153,0.163,0.062
"P14","No sabe",0.053,0.021,0.018,0.022
"P15","Lo votaría",0.175,0.151,0.238,0.141
"P15","Puede que lo vote",0.267,0.301,0.189,0.077
"P15","Nunca lo votaría",0.507,0.514,0.551,0.761
"P15","No sabe",0.051,0.034,0.022,0.021
"P16","Sí, lo votaría",0.268,0.426,0.498,0.138
"P16","Puede que lo vote",0.1,0.185,0.149,0.191
"P16","Nunca lo votaría",0.588,0.358,0.299,0.451
"P16","No sabe",0.044,0.031,0.054,0.22
"P17","Sí, la votaría",0.388,0.189,0.182,0.276
"P17","Puede que la vote",0.095,0.081,0.022,0.056
"P17","Nunca la votaría",0.492,0.709,0.772,0.497
"P17","No sabe",0.025,0.021,0.024,0.171
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.438,0.167,0.077,0.308
"P18","Mauricio Macri por Cambiemos",0.209,0.361,0.302,0.151
"P18","Javier Milei por los liberales",0.167,0.235,0.517,0.244
"P18","Nicolás del Caño por la izquierda",0.022,0.023,0.007,0.017
"P18","Otro candidato",0.164,0.214,0.097,0.28
