"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","opciones"
"Muy buena",0.05,0.044,0.057,0.074,0.047,0.037,0.054,0.037,0.064,0.043,0.039,0.072,6
"Buena",0.146,0.132,0.161,0.148,0.142,0.145,0.157,0.151,0.133,0.162,0.15,0.139,6
"Ni buena ni mala",0.262,0.239,0.285,0.178,0.242,0.296,0.343,0.3,0.246,0.243,0.277,0.231,6
"Mala",0.265,0.286,0.242,0.205,0.269,0.29,0.275,0.241,0.267,0.288,0.262,0.269,6
"Muy mala",0.236,0.267,0.204,0.295,0.267,0.207,0.147,0.232,0.237,0.239,0.24,0.228,6
"No sabe",0.041,0.032,0.051,0.1,0.033,0.025,0.024,0.039,0.053,0.025,0.032,0.061,6
"Positiva",0.196,0.176,0.218,0.222,0.189,0.182,0.211,0.188,0.197,0.205,0.189,0.211,4
"Neutra",0.262,0.239,0.285,0.178,0.242,0.296,0.343,0.3,0.246,0.243,0.277,0.231,4
"Negativa",0.501,0.553,0.446,0.5,0.536,0.497,0.422,0.473,0.504,0.527,0.502,0.497,4
"No sabe",0.041,0.032,0.051,0.1,0.033,0.025,0.024,0.039,0.053,0.025,0.032,0.061,4
