"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","opciones"
"Muy buena",0.046,0.048,0.045,0.066,0.039,0.036,0.056,0.04,0.055,0.039,0.037,0.066,6
"Buena",0.069,0.065,0.072,0.056,0.057,0.082,0.088,0.074,0.071,0.058,0.068,0.069,6
"Ni buena ni mala",0.152,0.128,0.177,0.147,0.143,0.153,0.177,0.176,0.149,0.128,0.156,0.145,6
"Mala",0.281,0.286,0.275,0.278,0.3,0.242,0.294,0.303,0.284,0.248,0.291,0.26,6
"Muy mala",0.445,0.468,0.422,0.453,0.452,0.483,0.369,0.398,0.435,0.519,0.441,0.453,6
"No sabe",0.007,0.005,0.009,0,0.009,0.004,0.016,0.009,0.006,0.008,0.007,0.007,6
"Positiva",0.115,0.113,0.117,0.122,0.096,0.118,0.144,0.114,0.126,0.097,0.105,0.135,4
"Neutra",0.152,0.128,0.177,0.147,0.143,0.153,0.177,0.176,0.149,0.128,0.156,0.145,4
"Negativa",0.726,0.754,0.697,0.731,0.752,0.725,0.663,0.701,0.719,0.767,0.732,0.713,4
"No sabe",0.007,0.005,0.009,0,0.009,0.004,0.016,0.009,0.006,0.008,0.007,0.007,4
