"var","categoria","Si","No","No sabe"
"P04","Tengo trabajo estable",0.472,0.362,0.315
"P04","Realizo changas o trabajos de vez en cuando",0.196,0.181,0.24
"P04","No tengo trabajo",0.134,0.303,0.202
"P04","Soy jubilado o pensionado",0.198,0.154,0.243
"P05","Derecha",0.171,0.276,0.23
"P05","Centro derecha",0.159,0.192,0.197
"P05","Centro izquierda",0.22,0.093,0.108
"P05","Izquierda",0.124,0.095,0.095
"P05","No sabe",0.326,0.344,0.37
"P06","Muy importante",0.7,0.531,0.582
"P06","Algo importante",0.169,0.126,0.199
"P06","Nada importante",0.092,0.282,0.124
"P06","No sabe",0.039,0.061,0.095
"P07","Estoy de acuerdo",0.508,0.294,0.314
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.342,0.448,0.418
"P07","No estoy de acuerdo",0.11,0.221,0.202
"P07","No sabe",0.04,0.037,0.066
"P08","Frente de Todos y el peronismo",0.458,0.126,0.156
"P08","Cambiemos",0.245,0.357,0.424
"P08","Liberales y Javier Milei",0.177,0.414,0.274
"P08","Izquierda",0.039,0.009,0.026
"P08","No sabe",0.081,0.094,0.12
"P10","Lo votaría",0.264,0.185,0.387
"P10","Puede que lo vote",0.397,0.202,0.285
"P10","Nunca lo votaría",0.24,0.565,0.228
"P10","No sabe",0.099,0.048,0.1
"P11","Lo votaría",0.428,0.315,0.212
"P11","Puede que lo vote",0.341,0.329,0.186
"P11","Nunca lo votaría",0.16,0.308,0.436
"P11","No sabe",0.071,0.048,0.166
"P12","Lo votaría",0.415,0.448,0.456
"P12","Puede que lo vote",0.418,0.393,0.37
"P12","Nunca lo votaría",0.107,0.129,0.074
"P12","No sabe",0.06,0.03,0.1
"P13","Lo votaría",0.271,0.273,0.164
"P13","Puede que lo vote",0.362,0.353,0.373
"P13","Nunca lo votaría",0.274,0.359,0.334
"P13","No sabe",0.093,0.015,0.129
"P14","La votaría",0.5,0.682,0.644
"P14","Puede que la vote",0.297,0.22,0.212
"P14","Nunca la votaría",0.153,0.096,0.089
"P14","No sabe",0.05,0.002,0.055
"P15","Lo votaría",0.162,0.24,0.126
"P15","Puede que lo vote",0.265,0.226,0.29
"P15","Nunca lo votaría",0.536,0.517,0.502
"P15","No sabe",0.037,0.017,0.082
"P16","Sí, lo votaría",0.253,0.461,0.442
"P16","Puede que lo vote",0.109,0.156,0.167
"P16","Nunca lo votaría",0.601,0.334,0.313
"P16","No sabe",0.037,0.049,0.078
"P17","Sí, la votaría",0.427,0.12,0.15
"P17","Puede que la vote",0.099,0.033,0.056
"P17","Nunca la votaría",0.451,0.833,0.752
"P17","No sabe",0.023,0.014,0.042
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.459,0.101,0.144
"P18","Mauricio Macri por Cambiemos",0.189,0.328,0.378
"P18","Javier Milei por los liberales",0.179,0.383,0.251
"P18","Nicolás del Caño por la izquierda",0.021,0.008,0.014
"P18","Otro candidato",0.152,0.18,0.213
"P19","Horacio Rodríguez Larreta por Cambiemos",0.235,0.349,0.344
"P19","Alberto Fernández por el Frente de Todos",0.373,0.083,0.105
"P19","Javier Milei por los liberales",0.166,0.379,0.268
"P19","Nicolás del Caño por la izquierda",0.038,0.016,0.01
"P19","Otro candidato",0.188,0.173,0.273
"P20","Mauricio Macri presidente Javier Milei vice",0.286,0.572,0.489
"P20","Sergio Massa presidente Gerardo Morales vice",0.205,0.065,0.076
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.079,0.057,0.038
"P20","No sabe",0.43,0.306,0.397
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.215,0.441,0.418
"P21","Alberto Fernández presidente Sergio Massa vice",0.225,0.048,0.039
"P21","Javier Milei presidente José Luis Espert vice",0.143,0.288,0.191
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.103,0.1,0.168
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.233,0.029,0.085
"P21","Otros candidatos",0.081,0.094,0.099
"P22","Muy buena",0.094,0.045,0.052
"P22","Buena",0.222,0.082,0.019
"P22","Ni buena ni mala",0.166,0.022,0.117
"P22","Mala",0.161,0.137,0.17
"P22","Muy mala",0.347,0.704,0.623
"P22","No sabe",0.01,0.01,0.019
"P24","El kirchnerismo",0.434,0.519,0.497
"P24","Cambiemos",0.205,0.179,0.09
"P24","Los medios de comunicación",0.208,0.054,0.164
"P24","Otros",0.056,0.176,0.085
"P24","No sabe",0.097,0.072,0.164
"P25","Sin deuda",0.316,0.232,0.306
"P25","Menos de 10%",0.178,0.167,0.154
"P25","Entre 10 y 20%",0.143,0.123,0.153
"P25","Entre 20 y 30%",0.096,0.119,0.115
"P25","Entre 30 y 40%",0.094,0.099,0.092
"P25","Mas del 40%",0.142,0.237,0.13
"P25","No sabe",0.031,0.023,0.05
"P26","Gran excedente habitual",0.006,0,0.002
"P26","Gran excedente excepcional",0.01,0.002,0.008
"P26","Pequeño excedente habitual",0.082,0.043,0.038
"P26","Pequeño excedente excepcional",0.07,0.048,0.048
"P26","Alcanza gastos familia",0.175,0.124,0.115
"P26","No alcanza gastos familia",0.141,0.138,0.223
"P26","Solo NBFamiliares",0.265,0.304,0.268
"P26","No alcanza NBFamiliares",0.243,0.335,0.284
"P26","No sabe",0.008,0.006,0.014
"P27","Muy buena",0.05,0.022,0.033
"P27","Buena",0.17,0.124,0.105
"P27","Ni buena ni mala",0.42,0.26,0.381
"P27","Mala",0.263,0.403,0.343
"P27","Muy mala",0.087,0.166,0.131
"P27","No sabe",0.01,0.025,0.007
"P28","Mejor",0.141,0.051,0.064
"P28","Igual",0.34,0.154,0.175
"P28","Peor",0.493,0.737,0.733
"P28","No sabe",0.026,0.058,0.028
"P29","Mejor",0.191,0.053,0.042
"P29","Igual",0.27,0.112,0.167
"P29","Peor",0.44,0.777,0.674
"P29","No sabe",0.099,0.058,0.117
"P30","Muy buena",0.046,0.074,0.024
"P30","Buena",0.094,0.038,0.036
"P30","Ni buena ni mala",0.194,0.056,0.071
"P30","Mala",0.309,0.138,0.252
"P30","Muy mala",0.348,0.691,0.615
"P30","No sabe",0.009,0.003,0.002
"P31","Muy buena",0.313,0.088,0.091
"P31","Buena",0.108,0.024,0.048
"P31","Ni buena ni mala",0.094,0.017,0.048
"P31","Mala",0.058,0.072,0.075
"P31","Muy mala",0.424,0.798,0.733
"P31","No sabe",0.003,0.001,0.005
"P32","Muy buena",0.115,0.028,0.018
"P32","Buena",0.209,0.079,0.047
"P32","Ni buena ni mala",0.181,0.034,0.132
"P32","Mala",0.134,0.088,0.221
"P32","Muy mala",0.359,0.77,0.574
"P32","No sabe",0.002,0.001,0.008
"P33","Muy buena",0.071,0.028,0.04
"P33","Buena",0.152,0.052,0.035
"P33","Ni buena ni mala",0.245,0.088,0.161
"P33","Mala",0.177,0.176,0.206
"P33","Muy mala",0.33,0.653,0.533
"P33","No sabe",0.025,0.003,0.025
"P34","Muy buena",0.251,0.08,0.081
"P34","Buena",0.153,0.06,0.074
"P34","Ni buena ni mala",0.113,0.045,0.099
"P34","Mala",0.085,0.067,0.126
"P34","Muy mala",0.39,0.748,0.609
"P34","No sabe",0.008,0,0.011
