"var","categoria","Gerardo Zamora por el Frente Civico por Santiago","Pablo Mirolo por el Frente Renovador","Marcelo Lugones por Juntos por el Cambio","Emilio Rached por Juntos por el Cambio","Guillermo Suarez Melean por Juntos por el Cambio","Natalia Neme por Juntos por el Cambio","No sabe"
"P05","Si",0.817,0.737,0.735,0.781,0.536,0.814,0.716
"P05","Puede ser",0.148,0.127,0.121,0.07,0.37,0.06,0.216
"P05","No",0.035,0.136,0.144,0.149,0.094,0.126,0.068
"P08","Angel Nicolai del Frente Cívico por Santiago",0.608,0.192,0.034,0.297,0,0,0.127
"P08","Pablo Mirolo por el Frente renovador",0.183,0.619,0.008,0.248,0.25,0,0.039
"P08","Marcelo Lugones por Juntos por el Cambio",0.009,0.092,0.605,0.032,0.253,0.519,0.07
"P08","Emilio Rached por Juntos por el Cambio",0.015,0,0.2,0.293,0.08,0,0.014
"P08","Rodrigo Posse por Juntos por el Cambio",0.005,0,0.003,0.032,0.258,0.116,0.021
"P08","Facundo Perez Carletti por Juntos por el Cambio",0.014,0,0.036,0,0,0.196,0.076
"P08","Natalia Neme por Juntos por el Cambio",0.023,0.026,0.008,0.066,0.134,0,0.143
"P08","A otros candidatos",0.042,0.012,0,0,0.025,0.169,0.093
"P08","No sabe",0.101,0.059,0.106,0.032,0,0,0.417
"P10","El covid-19",0.236,0.181,0.042,0.022,0.024,0.059,0.066
"P10","El desempleo",0.268,0.296,0.167,0.33,0.512,0,0.257
"P10","El precio del dólar",0.102,0.067,0,0.155,0,0,0
"P10","La inseguridad",0.066,0.12,0.031,0,0,0,0.021
"P10","La inflación",0.1,0.09,0.073,0,0,0,0.046
"P10","La corrupción",0.041,0.109,0.37,0.157,0.335,0.715,0.203
"P10","La pobreza",0.111,0.095,0.155,0.216,0.129,0.059,0.246
"P10","Las tarifas",0.02,0,0.09,0,0,0,0.044
"P10","Otro",0.056,0.042,0.072,0.12,0,0.167,0.117
"P15","Muy buena",0.524,0.324,0,0.281,0,0,0.091
"P15","Buena",0.17,0.164,0,0.041,0.302,0,0.148
"P15","Ni buena ni mala",0.189,0.252,0.191,0.16,0,0.164,0.193
"P15","Mala",0.045,0.146,0.287,0.053,0.124,0.143,0.153
"P15","Muy mala",0.04,0.09,0.448,0.465,0.574,0.693,0.3
"P15","No sabe",0.032,0.024,0.074,0,0,0,0.115
"P16","Muy buena",0.032,0.163,0.474,0.273,0.258,0.357,0.06
"P16","Buena",0.101,0.111,0.174,0.104,0,0,0.181
"P16","Ni buena ni mala",0.282,0.183,0.116,0.272,0.399,0.308,0.262
"P16","Mala",0.337,0.326,0.186,0.093,0.025,0.335,0.158
"P16","Muy mala",0.219,0.203,0.01,0.161,0.318,0,0.284
"P16","No sabe",0.029,0.014,0.04,0.097,0,0,0.055
"P17","Muy buena",0.537,0.492,0.041,0.074,0.319,0.623,0.164
"P17","Buena",0.196,0.079,0,0.305,0,0,0.184
"P17","Ni buena ni mala",0.148,0.169,0,0,0,0,0.128
"P17","Mala",0.042,0.16,0.163,0.043,0,0,0.058
"P17","Muy mala",0.066,0.1,0.707,0.578,0.681,0.377,0.423
"P17","No sabe",0.011,0,0.089,0,0,0,0.043
"P18","Muy buena",0.081,0.294,0.456,0.446,0.261,0.611,0.033
"P18","Buena",0.159,0.139,0.241,0.215,0.423,0.067,0.221
"P18","Ni buena ni mala",0.472,0.361,0.239,0.27,0,0.067,0.279
"P18","Mala",0.113,0.028,0,0.046,0,0.255,0.207
"P18","Muy mala",0.075,0.043,0.011,0.023,0.316,0,0.069
"P18","No sabe",0.1,0.135,0.053,0,0,0,0.191
"P19","Muy buena",0.098,0.21,0,0.11,0,0,0.003
"P19","Buena",0.296,0.085,0,0.263,0,0,0.024
"P19","Ni buena ni mala",0.457,0.447,0.108,0.099,0.333,0,0.349
"P19","Mala",0.071,0.081,0.294,0.166,0,0.385,0.224
"P19","Muy mala",0.027,0.04,0.543,0.362,0.368,0.615,0.266
"P19","No sabe",0.051,0.137,0.055,0,0.299,0,0.134
"P20","Si",0.62,0.767,0.468,0.517,0.465,0.868,0.58
"P20","No",0.38,0.233,0.532,0.483,0.535,0.132,0.42
