"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.054,0.069,0.039,0.111,0.028,0.049,0.039,0.065,0.062,0.028,0.071,0.046,0.037,0.076,0.051,0.058,0.03,0.179,6
"Buena",0.202,0.197,0.207,0.253,0.177,0.177,0.228,0.223,0.227,0.135,0.221,0.221,0.171,0.207,0.186,0.158,0.256,0.229,6
"Ni buena ni mala",0.253,0.256,0.25,0.189,0.22,0.284,0.404,0.275,0.232,0.257,0.336,0.195,0.153,0.257,0.267,0.282,0.229,0.159,6
"Mala",0.299,0.315,0.283,0.24,0.335,0.359,0.202,0.296,0.28,0.334,0.238,0.309,0.403,0.277,0.285,0.331,0.284,0.125,6
"Muy mala",0.177,0.154,0.2,0.205,0.228,0.116,0.081,0.127,0.183,0.232,0.12,0.223,0.219,0.17,0.196,0.16,0.18,0.302,6
"No sabe",0.015,0.009,0.021,0.002,0.012,0.015,0.046,0.014,0.016,0.014,0.014,0.006,0.017,0.013,0.015,0.011,0.021,0.006,6
"Positiva",0.256,0.266,0.246,0.364,0.205,0.226,0.267,0.288,0.289,0.163,0.292,0.267,0.208,0.283,0.237,0.216,0.286,0.408,4
"Neutra",0.253,0.256,0.25,0.189,0.22,0.284,0.404,0.275,0.232,0.257,0.336,0.195,0.153,0.257,0.267,0.282,0.229,0.159,4
"Negativa",0.476,0.469,0.483,0.445,0.563,0.475,0.283,0.423,0.463,0.566,0.358,0.532,0.622,0.447,0.481,0.491,0.464,0.427,4
"No sabe",0.015,0.009,0.021,0.002,0.012,0.015,0.046,0.014,0.016,0.014,0.014,0.006,0.017,0.013,0.015,0.011,0.021,0.006,4
