"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.279,0.333,0.222,0.255,0.301,0.294,0.23,0.254,0.287,0.292,0.18,0.451,0.186,0.08,0.509,0.309,0.246,0.227,6
"Buena",0.146,0.15,0.141,0.176,0.13,0.136,0.16,0.186,0.14,0.109,0.123,0.24,0.066,0.043,0.227,0.126,0.182,0.075,6
"Ni buena ni mala",0.177,0.148,0.207,0.162,0.148,0.197,0.244,0.26,0.165,0.104,0.238,0.154,0.133,0.152,0.164,0.204,0.13,0.262,6
"Mala",0.133,0.128,0.139,0.209,0.119,0.111,0.098,0.124,0.16,0.104,0.147,0.109,0.117,0.202,0.065,0.134,0.13,0.157,6
"Muy mala",0.248,0.233,0.265,0.198,0.284,0.248,0.228,0.159,0.222,0.388,0.292,0.046,0.496,0.503,0.029,0.207,0.297,0.279,6
"No sabe",0.017,0.008,0.026,0,0.018,0.014,0.04,0.017,0.026,0.003,0.02,0,0.002,0.02,0.006,0.02,0.015,0,6
"Positiva",0.425,0.483,0.363,0.431,0.431,0.43,0.39,0.44,0.427,0.401,0.303,0.691,0.252,0.123,0.736,0.435,0.428,0.302,4
"Neutra",0.177,0.148,0.207,0.162,0.148,0.197,0.244,0.26,0.165,0.104,0.238,0.154,0.133,0.152,0.164,0.204,0.13,0.262,4
"Negativa",0.381,0.361,0.404,0.407,0.403,0.359,0.326,0.283,0.382,0.492,0.439,0.155,0.613,0.705,0.094,0.341,0.427,0.436,4
"No sabe",0.017,0.008,0.026,0,0.018,0.014,0.04,0.017,0.026,0.003,0.02,0,0.002,0.02,0.006,0.02,0.015,0,4
