"var","categoria","El anterior gobierno de Alberto Fernández","El actual gobierno de Javier Milei","No sabe"
"P10","Gran excedente habitual",0.011,0,0
"P10","Gran excedente excepcional",0,0,0
"P10","Pequeño excedente habitual",0.039,0,0.014
"P10","Pequeño excedente excepcional",0.016,0,0
"P10","Alcanza gastos familia",0.069,0,0.05
"P10","No alcanza gastos familia",0.139,0,0.241
"P10","Solo NBFamiliares",0.182,0,0.056
"P10","No alcanza NBFamiliares",0.544,0,0.639
"P10","No sabe",0,0,0
"P11","Muy buena",0.261,0,0.124
"P11","Buena",0.189,0,0.161
"P11","Ni buena ni mala",0.331,0,0.441
"P11","Mala",0.101,0,0.241
"P11","Muy mala",0.114,0,0.033
"P11","No sabe",0.004,0,0
"P12","Muy buena",0.255,0,0
"P12","Buena",0.128,0,0.016
"P12","Ni buena ni mala",0.199,0,0.141
"P12","Mala",0.22,0,0.571
"P12","Muy mala",0.182,0,0.23
"P12","No sabe",0.016,0,0.042
"P15","Muy buena",0.289,0,0.112
"P15","Buena",0.233,0,0.203
"P15","Ni buena ni mala",0.179,0,0.342
"P15","Mala",0.157,0,0.301
"P15","Muy mala",0.111,0,0
"P15","No sabe",0.031,0,0.042
"P19","Muy buena",0.181,0,0.015
"P19","Buena",0.224,0,0.021
"P19","Ni buena ni mala",0.189,0,0.239
"P19","Mala",0.255,0,0.541
"P19","Muy mala",0.148,0,0.098
"P19","No sabe",0.003,0,0.086
"P20","Muy buena",0.139,0,0.021
"P20","Buena",0.227,0,0.103
"P20","Ni buena ni mala",0.196,0,0.086
"P20","Mala",0.314,0,0.316
"P20","Muy mala",0.119,0,0.221
"P20","No sabe",0.005,0,0.253
"P21","Muy buena",0.167,0,0
"P21","Buena",0.1,0,0.083
"P21","Ni buena ni mala",0.267,0,0.14
"P21","Mala",0.324,0,0.563
"P21","Muy mala",0.111,0,0.214
"P21","No sabe",0.031,0,0
"P22","Muy de acuerdo",0.37,0,0.473
"P22","De acuerdo",0.306,0,0.202
"P22","Ni de acuerdo ni en desacuerdo",0.191,0,0.051
"P22","En desacuerdo",0.075,0,0.26
"P22","Muy en desacuerdo",0.019,0,0.014
"P22","No sabe",0.039,0,0
"P23","El estado nacional",0.188,0,0.08
"P23","El estado provincial",0.573,0,0.829
"P23","Ambos de forma coordinada",0.202,0,0.074
"P23","No sabe",0.037,0,0.017
"P24","Inseguridad y narcotráfico",0.432,0,0.283
"P24","Altos impuestos y tarifas",0.206,0,0.017
"P24","Educación y estado de las escuelas",0.124,0,0.11
"P24","Inflación",0.198,0,0.056
"P24","Estado de la salud",0.028,0,0.015
"P24","Corrupción",0.004,0,0.503
"P24","Pobreza",0.004,0,0
"P24","Medio ambiente, incendios y contaminación",0,0,0
"P24","Falta de trabajo",0.004,0,0
"P24","No sabe",0,0,0.016
"P28","Muy buena",0.175,0,0
"P28","Buena",0.169,0,0.099
"P28","Ni buena ni mala",0.279,0,0.135
"P28","Mala",0.264,0,0.113
"P28","Muy mala",0.109,0,0.241
"P28","No sabe",0.004,0,0.412
"P29","Peor",0.553,0,0.779
"P29","Igual",0.231,0,0.15
"P29","Mejor",0.048,0,0.071
"P29","No sabe",0.168,0,0
"P30","Peor",0.506,0,0.48
"P30","Igual",0.253,0,0.417
"P30","Mejor",0.124,0,0.039
"P30","No sabe",0.117,0,0.064
"P31","Javier Milei",0.44,0,0.035
"P31","Los gobernadores",0.495,0,0.614
"P31","No sabe",0.065,0,0.351
