"var","categoria","Gobierno nacional","Gobierno provincial","No sabe"
"P10","Gran excedente habitual",0.006,0,0.006
"P10","Gran excedente excepcional",0.005,0,0.001
"P10","Pequeño excedente habitual",0.01,0,0.015
"P10","Pequeño excedente excepcional",0.011,0,0.015
"P10","Alcanza gastos familia",0.044,0,0.079
"P10","No alcanza gastos familia",0.096,0,0.154
"P10","Solo NBFamiliares",0.248,0,0.277
"P10","No alcanza NBFamiliares",0.577,0,0.418
"P10","No sabe",0.003,0,0.035
"P11","Muy buena",0.199,0,0.037
"P11","Buena",0.21,0,0.173
"P11","Ni buena ni mala",0.333,0,0.505
"P11","Mala",0.162,0,0.195
"P11","Muy mala",0.081,0,0.053
"P11","No sabe",0.015,0,0.037
"P12","Muy buena",0.098,0,0.174
"P12","Buena",0.062,0,0.124
"P12","Ni buena ni mala",0.136,0,0.383
"P12","Mala",0.215,0,0.149
"P12","Muy mala",0.482,0,0.147
"P12","No sabe",0.007,0,0.023
"P15","Muy buena",0.213,0,0.117
"P15","Buena",0.265,0,0.186
"P15","Ni buena ni mala",0.26,0,0.559
"P15","Mala",0.138,0,0.09
"P15","Muy mala",0.096,0,0.018
"P15","No sabe",0.028,0,0.03
"P19","Muy buena",0.086,0,0.067
"P19","Buena",0.273,0,0.156
"P19","Ni buena ni mala",0.223,0,0.419
"P19","Mala",0.29,0,0.245
"P19","Muy mala",0.117,0,0.086
"P19","No sabe",0.011,0,0.027
"P20","Muy buena",0.083,0,0.065
"P20","Buena",0.248,0,0.103
"P20","Ni buena ni mala",0.286,0,0.376
"P20","Mala",0.239,0,0.305
"P20","Muy mala",0.119,0,0.108
"P20","No sabe",0.025,0,0.043
"P21","Muy buena",0.064,0,0.038
"P21","Buena",0.163,0,0.088
"P21","Ni buena ni mala",0.338,0,0.393
"P21","Mala",0.254,0,0.265
"P21","Muy mala",0.169,0,0.132
"P21","No sabe",0.012,0,0.084
"P22","Muy de acuerdo",0.453,0,0.192
"P22","De acuerdo",0.24,0,0.242
"P22","Ni de acuerdo ni en desacuerdo",0.156,0,0.282
"P22","En desacuerdo",0.066,0,0.103
"P22","Muy en desacuerdo",0.053,0,0.084
"P22","No sabe",0.032,0,0.097
"P23","El estado nacional",0.105,0,0.093
"P23","El estado provincial",0.672,0,0.408
"P23","Ambos de forma coordinada",0.167,0,0.303
"P23","No sabe",0.056,0,0.196
"P24","Inseguridad y narcotráfico",0.392,0,0.285
"P24","Altos impuestos y tarifas",0.172,0,0.22
"P24","Educación y estado de las escuelas",0.14,0,0.23
"P24","Inflación",0.196,0,0.195
"P24","Estado de la salud",0.035,0,0.006
"P24","Corrupción",0.028,0,0.038
"P24","Pobreza",0.009,0,0.001
"P24","Medio ambiente, incendios y contaminación",0.008,0,0.003
"P24","Falta de trabajo",0.005,0,0.005
"P24","No sabe",0.015,0,0.017
"P28","Muy buena",0.072,0,0.048
"P28","Buena",0.13,0,0.075
"P28","Ni buena ni mala",0.336,0,0.399
"P28","Mala",0.301,0,0.312
"P28","Muy mala",0.106,0,0.085
"P28","No sabe",0.055,0,0.081
"P29","Peor",0.625,0,0.469
"P29","Igual",0.24,0,0.303
"P29","Mejor",0.057,0,0.095
"P29","No sabe",0.078,0,0.133
"P30","Peor",0.657,0,0.376
"P30","Igual",0.2,0,0.26
"P30","Mejor",0.067,0,0.241
"P30","No sabe",0.076,0,0.123
"P31","Javier Milei",0.138,0,0.266
"P31","Los gobernadores",0.811,0,0.408
"P31","No sabe",0.051,0,0.326
"P32","Muy buena",0.225,0,0.184
"P32","Buena",0.387,0,0.176
"P32","Ni buena ni mala",0.231,0,0.447
"P32","Mala",0.107,0,0.097
"P32","Muy mala",0.029,0,0.025
"P32","No sabe",0.021,0,0.071
"P34","Muy buena",0.262,0,0.073
"P34","Buena",0.275,0,0.181
"P34","Ni buena ni mala",0.287,0,0.514
"P34","Mala",0.099,0,0.132
"P34","Muy mala",0.037,0,0.059
"P34","No sabe",0.04,0,0.041
"P35","Muy buena",0.116,0,0.117
"P35","Buena",0.107,0,0.099
"P35","Ni buena ni mala",0.336,0,0.501
"P35","Mala",0.211,0,0.103
"P35","Muy mala",0.153,0,0.097
"P35","No sabe",0.077,0,0.083
"P36","Muy buena",0.52,0,0.133
"P36","Buena",0.146,0,0.085
"P36","Ni buena ni mala",0.172,0,0.255
"P36","Mala",0.084,0,0.269
"P36","Muy mala",0.061,0,0.24
"P36","No sabe",0.017,0,0.018
"P37","Muy buena",0.107,0,0.116
"P37","Buena",0.046,0,0.128
"P37","Ni buena ni mala",0.042,0,0.167
"P37","Mala",0.276,0,0.307
"P37","Muy mala",0.516,0,0.262
"P37","No sabe",0.013,0,0.02
"P38","Muy buena",0.197,0,0.112
"P38","Buena",0.228,0,0.086
"P38","Ni buena ni mala",0.279,0,0.175
"P38","Mala",0.123,0,0.378
"P38","Muy mala",0.166,0,0.233
"P38","No sabe",0.007,0,0.016
"P39","Muy buena",0.45,0,0.16
"P39","Buena",0.232,0,0.051
"P39","Ni buena ni mala",0.132,0,0.232
"P39","Mala",0.094,0,0.311
"P39","Muy mala",0.072,0,0.208
"P39","No sabe",0.02,0,0.038
"P40","Muy buena",0.101,0,0.161
"P40","Buena",0.048,0,0.178
"P40","Ni buena ni mala",0.071,0,0.254
"P40","Mala",0.233,0,0.185
"P40","Muy mala",0.533,0,0.196
"P40","No sabe",0.014,0,0.026
"P41","Muy buena",0.065,0,0.165
"P41","Buena",0.054,0,0.149
"P41","Ni buena ni mala",0.074,0,0.199
"P41","Mala",0.229,0,0.215
"P41","Muy mala",0.56,0,0.223
"P41","No sabe",0.018,0,0.049
"P42","Muy buena",0.073,0,0.144
"P42","Buena",0.045,0,0.158
"P42","Ni buena ni mala",0.169,0,0.337
"P42","Mala",0.237,0,0.126
"P42","Muy mala",0.454,0,0.196
"P42","No sabe",0.022,0,0.039
"P43","Muy buena",0.046,0,0.06
"P43","Buena",0.078,0,0.117
"P43","Ni buena ni mala",0.374,0,0.466
"P43","Mala",0.222,0,0.188
"P43","Muy mala",0.242,0,0.106
"P43","No sabe",0.038,0,0.063
