"var","categoria","El anterior gobierno de Arabela Carreras","El actual gobierno de Alberto Weretilneck","No sabe"
"P10","Gran excedente habitual",0.012,0,0
"P10","Gran excedente excepcional",0.019,0,0.002
"P10","Pequeño excedente habitual",0.044,0,0.014
"P10","Pequeño excedente excepcional",0.055,0,0.085
"P10","Alcanza gastos familia",0.186,0,0.107
"P10","No alcanza gastos familia",0.136,0,0.026
"P10","Solo NBFamiliares",0.271,0,0.367
"P10","No alcanza NBFamiliares",0.265,0,0.385
"P10","No sabe",0.012,0,0.014
"P11","Muy buena",0.039,0,0.032
"P11","Buena",0.107,0,0.341
"P11","Ni buena ni mala",0.292,0,0.354
"P11","Mala",0.342,0,0.17
"P11","Muy mala",0.209,0,0.044
"P11","No sabe",0.011,0,0.059
"P12","Muy buena",0.433,0,0.143
"P12","Buena",0.187,0,0.209
"P12","Ni buena ni mala",0.128,0,0.304
"P12","Mala",0.065,0,0.126
"P12","Muy mala",0.16,0,0.215
"P12","No sabe",0.027,0,0.003
"P15","Muy buena",0.074,0,0.106
"P15","Buena",0.185,0,0.451
"P15","Ni buena ni mala",0.336,0,0.249
"P15","Mala",0.274,0,0.099
"P15","Muy mala",0.093,0,0.069
"P15","No sabe",0.038,0,0.026
"P19","Muy buena",0.058,0,0.027
"P19","Buena",0.109,0,0.232
"P19","Ni buena ni mala",0.217,0,0.423
"P19","Mala",0.357,0,0.166
"P19","Muy mala",0.238,0,0.147
"P19","No sabe",0.021,0,0.005
"P20","Muy buena",0.034,0,0
"P20","Buena",0.071,0,0.141
"P20","Ni buena ni mala",0.239,0,0.485
"P20","Mala",0.376,0,0.207
"P20","Muy mala",0.263,0,0.165
"P20","No sabe",0.017,0,0.002
"P21","Muy buena",0.005,0,0.013
"P21","Buena",0.106,0,0.219
"P21","Ni buena ni mala",0.272,0,0.388
"P21","Mala",0.377,0,0.196
"P21","Muy mala",0.235,0,0.184
"P21","No sabe",0.005,0,0
"P22","Muy de acuerdo",0.31,0,0.256
"P22","De acuerdo",0.2,0,0.218
"P22","Ni de acuerdo ni en desacuerdo",0.259,0,0.481
"P22","En desacuerdo",0.142,0,0.026
"P22","Muy en desacuerdo",0.065,0,0.011
"P22","No sabe",0.024,0,0.008
"P23","El estado nacional",0.212,0,0.18
"P23","El estado provincial",0.35,0,0.541
"P23","Ambos de forma coordinada",0.332,0,0.249
"P23","No sabe",0.106,0,0.03
"P24","Inseguridad y narcotráfico",0.226,0,0.294
"P24","Altos impuestos y tarifas",0.166,0,0.424
"P24","Educación y estado de las escuelas",0.301,0,0.11
"P24","Inflación",0.152,0,0.149
"P24","Estado de la salud",0.035,0,0.011
"P24","Corrupción",0.082,0,0.006
"P24","Pobreza",0.021,0,0.003
"P24","Medio ambiente, incendios y contaminación",0.001,0,0
"P24","Falta de trabajo",0.009,0,0
"P24","No sabe",0.007,0,0.003
"P28","Muy buena",0.016,0,0.016
"P28","Buena",0.052,0,0.162
"P28","Ni buena ni mala",0.296,0,0.546
"P28","Mala",0.446,0,0.201
"P28","Muy mala",0.17,0,0.06
"P28","No sabe",0.02,0,0.015
"P29","Peor",0.478,0,0.317
"P29","Igual",0.339,0,0.444
"P29","Mejor",0.105,0,0.133
"P29","No sabe",0.078,0,0.106
"P30","Peor",0.335,0,0.258
"P30","Igual",0.298,0,0.49
"P30","Mejor",0.271,0,0.133
"P30","No sabe",0.096,0,0.119
"P31","Javier Milei",0.644,0,0.261
"P31","Los gobernadores",0.297,0,0.506
"P31","No sabe",0.059,0,0.233
"P32","Muy buena",0.103,0,0.087
"P32","Buena",0.104,0,0.304
"P32","Ni buena ni mala",0.343,0,0.298
"P32","Mala",0.304,0,0.288
"P32","Muy mala",0.142,0,0.017
"P32","No sabe",0.004,0,0.006
"P34","Muy buena",0.13,0,0.136
"P34","Buena",0.098,0,0.251
"P34","Ni buena ni mala",0.247,0,0.32
"P34","Mala",0.247,0,0.192
"P34","Muy mala",0.248,0,0.038
"P34","No sabe",0.03,0,0.063
"P35","Muy buena",0.166,0,0.126
"P35","Buena",0.21,0,0.362
"P35","Ni buena ni mala",0.32,0,0.25
"P35","Mala",0.144,0,0.092
"P35","Muy mala",0.125,0,0.025
"P35","No sabe",0.035,0,0.145
"P36","Muy buena",0.137,0,0.273
"P36","Buena",0.052,0,0.118
"P36","Ni buena ni mala",0.083,0,0.083
"P36","Mala",0.166,0,0.211
"P36","Muy mala",0.552,0,0.252
"P36","No sabe",0.01,0,0.063
"P37","Muy buena",0.175,0,0.096
"P37","Buena",0.228,0,0.121
"P37","Ni buena ni mala",0.175,0,0.273
"P37","Mala",0.18,0,0.174
"P37","Muy mala",0.233,0,0.266
"P37","No sabe",0.009,0,0.07
"P38","Muy buena",0.052,0,0.062
"P38","Buena",0.078,0,0.16
"P38","Ni buena ni mala",0.094,0,0.096
"P38","Mala",0.179,0,0.233
"P38","Muy mala",0.574,0,0.449
"P38","No sabe",0.023,0,0
"P39","Muy buena",0.138,0,0.121
"P39","Buena",0.035,0,0.179
"P39","Ni buena ni mala",0.076,0,0.205
"P39","Mala",0.161,0,0.173
"P39","Muy mala",0.589,0,0.309
"P39","No sabe",0.001,0,0.013
"P40","Muy buena",0.497,0,0.116
