"var","categoria","El estado nacional","El estado provincial","Ambos de forma coordinada","No sabe"
"P10","Gran excedente habitual",0.036,0,0.014,0.007
"P10","Gran excedente excepcional",0.031,0,0,0.002
"P10","Pequeño excedente habitual",0.03,0,0.064,0.018
"P10","Pequeño excedente excepcional",0.101,0,0.063,0.037
"P10","Alcanza gastos familia",0.11,0,0.148,0.062
"P10","No alcanza gastos familia",0.064,0,0.117,0.248
"P10","Solo NBFamiliares",0.252,0,0.294,0.196
"P10","No alcanza NBFamiliares",0.376,0,0.288,0.399
"P10","No sabe",0,0,0.012,0.031
"P11","Muy buena",0.12,0,0.015,0.032
"P11","Buena",0.093,0,0.082,0.065
"P11","Ni buena ni mala",0.194,0,0.402,0.397
"P11","Mala",0.273,0,0.262,0.176
"P11","Muy mala",0.273,0,0.234,0.232
"P11","No sabe",0.047,0,0.005,0.098
"P12","Muy buena",0.42,0,0.334,0.272
"P12","Buena",0.135,0,0.149,0.102
"P12","Ni buena ni mala",0.195,0,0.233,0.264
"P12","Mala",0.077,0,0.096,0.116
"P12","Muy mala",0.127,0,0.18,0.216
"P12","No sabe",0.046,0,0.008,0.03
"P15","Muy buena",0.229,0,0.04,0.067
"P15","Buena",0.12,0,0.162,0.115
"P15","Ni buena ni mala",0.186,0,0.41,0.387
"P15","Mala",0.221,0,0.216,0.198
"P15","Muy mala",0.229,0,0.147,0.135
"P15","No sabe",0.015,0,0.025,0.098
"P16","Gobierno nacional",0.213,0,0.186,0.186
"P16","Gobierno provincial",0.665,0,0.598,0.398
"P16","No sabe",0.122,0,0.216,0.416
"P17","El anterior gobierno de Arabela Carreras",0.399,0,0.379,0.568
"P17","El actual gobierno de Alberto Weretilneck",0.478,0,0.518,0.374
"P17","No sabe",0.123,0,0.103,0.058
"P18","El anterior gobierno de Alberto Fernández",0.608,0,0.381,0.219
"P18","El actual gobierno de Javier Milei",0.356,0,0.599,0.767
"P18","No sabe",0.036,0,0.02,0.014
"P19","Muy buena",0.103,0,0.04,0.009
"P19","Buena",0.149,0,0.182,0.111
"P19","Ni buena ni mala",0.309,0,0.247,0.322
"P19","Mala",0.258,0,0.327,0.36
"P19","Muy mala",0.181,0,0.191,0.154
"P19","No sabe",0,0,0.013,0.044
"P20","Muy buena",0.083,0,0.014,0.062
"P20","Buena",0.071,0,0.105,0.019
"P20","Ni buena ni mala",0.311,0,0.29,0.299
"P20","Mala",0.286,0,0.343,0.327
"P20","Muy mala",0.242,0,0.227,0.198
"P20","No sabe",0.007,0,0.021,0.095
"P21","Muy buena",0.119,0,0.007,0.009
"P21","Buena",0.11,0,0.11,0.017
"P21","Ni buena ni mala",0.222,0,0.343,0.268
"P21","Mala",0.319,0,0.295,0.391
"P21","Muy mala",0.198,0,0.225,0.248
"P21","No sabe",0.032,0,0.02,0.067
"P22","Muy de acuerdo",0.358,0,0.192,0.062
"P22","De acuerdo",0.099,0,0.229,0.091
"P22","Ni de acuerdo ni en desacuerdo",0.227,0,0.358,0.343
"P22","En desacuerdo",0.164,0,0.116,0.251
"P22","Muy en desacuerdo",0.113,0,0.069,0.112
"P22","No sabe",0.039,0,0.036,0.141
"P24","Inseguridad y narcotráfico",0.395,0,0.256,0.432
"P24","Altos impuestos y tarifas",0.132,0,0.258,0.105
"P24","Educación y estado de las escuelas",0.204,0,0.219,0.153
"P24","Inflación",0.135,0,0.148,0.182
"P24","Estado de la salud",0.023,0,0.026,0.031
"P24","Corrupción",0.104,0,0.038,0.072
"P24","Pobreza",0.006,0,0.014,0.002
"P24","Medio ambiente, incendios y contaminación",0.001,0,0.002,0
"P24","Falta de trabajo",0,0,0.016,0
"P24","No sabe",0,0,0.023,0.023
"P28","Muy buena",0.182,0,0.025,0.059
"P28","Buena",0.068,0,0.059,0.069
"P28","Ni buena ni mala",0.283,0,0.365,0.193
"P28","Mala",0.303,0,0.401,0.331
"P28","Muy mala",0.146,0,0.132,0.177
"P28","No sabe",0.018,0,0.018,0.171
"P29","Peor",0.61,0,0.435,0.436
"P29","Igual",0.244,0,0.396,0.199
"P29","Mejor",0.094,0,0.094,0.155
"P29","No sabe",0.052,0,0.075,0.21
"P30","Peor",0.552,0,0.397,0.406
"P30","Igual",0.273,0,0.262,0.217
"P30","Mejor",0.152,0,0.23,0.236
"P30","No sabe",0.023,0,0.111,0.141
"P31","Javier Milei",0.689,0,0.535,0.48
"P31","Los gobernadores",0.191,0,0.335,0.248
"P31","No sabe",0.12,0,0.13,0.272
"P32","Muy buena",0.189,0,0.076,0.165
"P32","Buena",0.115,0,0.167,0.035
"P32","Ni buena ni mala",0.195,0,0.36,0.267
"P32","Mala",0.236,0,0.251,0.301
"P32","Muy mala",0.244,0,0.14,0.107
"P32","No sabe",0.021,0,0.006,0.125
"P34","Muy buena",0.217,0,0.062,0.113
"P34","Buena",0.099,0,0.111,0.137
"P34","Ni buena ni mala",0.162,0,0.362,0.257
"P34","Mala",0.219,0,0.225,0.207
"P34","Muy mala",0.294,0,0.205,0.216
"P34","No sabe",0.009,0,0.035,0.07
"P35","Muy buena",0.284,0,0.112,0.094
"P35","Buena",0.152,0,0.165,0.166
"P35","Ni buena ni mala",0.353,0,0.366,0.456
"P35","Mala",0.088,0,0.176,0.129
"P35","Muy mala",0.106,0,0.133,0.048
"P35","No sabe",0.017,0,0.048,0.107
"P36","Muy buena",0.231,0,0.142,0.18
"P36","Buena",0.075,0,0.056,0.027
"P36","Ni buena ni mala",0.139,0,0.147,0.168
"P36","Mala",0.182,0,0.184,0.25
"P36","Muy mala",0.373,0,0.459,0.341
"P36","No sabe",0,0,0.012,0.034
"P37","Muy buena",0.246,0,0.148,0.085
"P37","Buena",0.153,0,0.175,0.172
"P37","Ni buena ni mala",0.207,0,0.207,0.223
