"var","categoria","Peor","Igual","Mejor","No sabe"
"P10","Gran excedente habitual",0.017,0,0.004,0.004
"P10","Gran excedente excepcional",0.009,0,0,0.002
"P10","Pequeño excedente habitual",0.018,0,0.024,0.018
"P10","Pequeño excedente excepcional",0.04,0,0.013,0.044
"P10","Alcanza gastos familia",0.077,0,0.113,0.172
"P10","No alcanza gastos familia",0.128,0,0.059,0.1
"P10","Solo NBFamiliares",0.268,0,0.396,0.179
"P10","No alcanza NBFamiliares",0.441,0,0.391,0.421
"P10","No sabe",0.002,0,0,0.06
"P11","Muy buena",0.079,0,0.073,0.042
"P11","Buena",0.133,0,0.189,0.168
"P11","Ni buena ni mala",0.296,0,0.521,0.442
"P11","Mala",0.27,0,0.129,0.203
"P11","Muy mala",0.193,0,0.088,0.103
"P11","No sabe",0.029,0,0,0.042
"P12","Muy buena",0.252,0,0.247,0.186
"P12","Buena",0.08,0,0.175,0.145
"P12","Ni buena ni mala",0.159,0,0.339,0.185
"P12","Mala",0.135,0,0.067,0.249
"P12","Muy mala",0.367,0,0.166,0.181
"P12","No sabe",0.007,0,0.006,0.054
"P15","Muy buena",0.139,0,0.11,0.105
"P15","Buena",0.177,0,0.259,0.171
"P15","Ni buena ni mala",0.307,0,0.393,0.333
"P15","Mala",0.204,0,0.095,0.238
"P15","Muy mala",0.141,0,0.139,0.109
"P15","No sabe",0.032,0,0.004,0.044
"P16","Gobierno nacional",0.389,0,0.222,0.273
"P16","Gobierno provincial",0.436,0,0.555,0.449
"P16","No sabe",0.175,0,0.223,0.278
"P17","El anterior gobierno de Arabela Carreras",0.4,0,0.46,0.372
"P17","El actual gobierno de Alberto Weretilneck",0.501,0,0.324,0.441
"P17","No sabe",0.099,0,0.216,0.187
"P18","El anterior gobierno de Alberto Fernández",0.327,0,0.272,0.605
"P18","El actual gobierno de Javier Milei",0.612,0,0.675,0.395
"P18","No sabe",0.061,0,0.053,0
"P19","Muy buena",0.056,0,0.009,0.032
"P19","Buena",0.174,0,0.229,0.185
"P19","Ni buena ni mala",0.235,0,0.37,0.228
"P19","Mala",0.307,0,0.243,0.39
"P19","Muy mala",0.217,0,0.143,0.137
"P19","No sabe",0.011,0,0.006,0.028
"P20","Muy buena",0.056,0,0.01,0.075
"P20","Buena",0.097,0,0.12,0.105
"P20","Ni buena ni mala",0.261,0,0.385,0.202
"P20","Mala",0.303,0,0.281,0.414
"P20","Muy mala",0.265,0,0.198,0.151
"P20","No sabe",0.018,0,0.006,0.053
"P21","Muy buena",0.046,0,0.02,0.034
"P21","Buena",0.091,0,0.097,0.105
"P21","Ni buena ni mala",0.295,0,0.393,0.244
"P21","Mala",0.299,0,0.247,0.386
"P21","Muy mala",0.255,0,0.178,0.139
"P21","No sabe",0.014,0,0.065,0.092
"P22","Muy de acuerdo",0.368,0,0.231,0.269
"P22","De acuerdo",0.201,0,0.114,0.233
"P22","Ni de acuerdo ni en desacuerdo",0.219,0,0.332,0.25
"P22","En desacuerdo",0.089,0,0.176,0.151
"P22","Muy en desacuerdo",0.082,0,0.021,0.055
"P22","No sabe",0.041,0,0.126,0.042
"P23","El estado nacional",0.195,0,0.189,0.093
"P23","El estado provincial",0.503,0,0.333,0.482
"P23","Ambos de forma coordinada",0.226,0,0.308,0.219
"P23","No sabe",0.076,0,0.17,0.206
"P24","Inseguridad y narcotráfico",0.505,0,0.174,0.156
"P24","Altos impuestos y tarifas",0.112,0,0.175,0.102
"P24","Educación y estado de las escuelas",0.127,0,0.527,0.072
"P24","Inflación",0.145,0,0.111,0.571
"P24","Estado de la salud",0.042,0,0.008,0.007
"P24","Corrupción",0.041,0,0.002,0.071
"P24","Pobreza",0.013,0,0,0
"P24","Medio ambiente, incendios y contaminación",0.005,0,0.003,0
"P24","Falta de trabajo",0.007,0,0,0
"P24","No sabe",0.003,0,0,0.021
"P28","Muy buena",0.064,0,0.009,0.025
"P28","Buena",0.064,0,0.079,0.019
"P28","Ni buena ni mala",0.255,0,0.682,0.202
"P28","Mala",0.373,0,0.139,0.627
"P28","Muy mala",0.203,0,0.091,0.01
"P28","No sabe",0.041,0,0,0.117
"P30","Peor",0.7,0,0.291,0.36
"P30","Igual",0.183,0,0.229,0.167
"P30","Mejor",0.081,0,0.397,0.105
"P30","No sabe",0.036,0,0.083,0.368
"P31","Javier Milei",0.394,0,0.263,0.327
"P31","Los gobernadores",0.503,0,0.441,0.498
"P31","No sabe",0.103,0,0.296,0.175
"P32","Muy buena",0.106,0,0.173,0.148
"P32","Buena",0.202,0,0.188,0.214
"P32","Ni buena ni mala",0.297,0,0.35,0.344
"P32","Mala",0.208,0,0.167,0.226
"P32","Muy mala",0.165,0,0.043,0.029
"P32","No sabe",0.022,0,0.079,0.039
"P34","Muy buena",0.19,0,0.075,0.082
"P34","Buena",0.178,0,0.196,0.164
"P34","Ni buena ni mala",0.243,0,0.344,0.348
"P34","Mala",0.166,0,0.243,0.183
"P34","Muy mala",0.182,0,0.082,0.155
"P34","No sabe",0.041,0,0.06,0.068
"P35","Muy buena",0.17,0,0.15,0.103
"P35","Buena",0.13,0,0.154,0.083
"P35","Ni buena ni mala",0.342,0,0.325,0.42
"P35","Mala",0.147,0,0.271,0.185
"P35","Muy mala",0.162,0,0.065,0.091
"P35","No sabe",0.049,0,0.035,0.118
"P36","Muy buena",0.341,0,0.238,0.218
"P36","Buena",0.102,0,0.041,0.063
"P36","Ni buena ni mala",0.123,0,0.228,0.104
"P36","Mala",0.126,0,0.198,0.245
"P36","Muy mala",0.295,0,0.29,0.327
"P36","No sabe",0.013,0,0.005,0.043
"P37","Muy buena",0.152,0,0.135,0.124
"P37","Buena",0.083,0,0.106,0.168
"P37","Ni buena ni mala",0.14,0,0.228,0.129
"P37","Mala",0.214,0,0.278,0.272
"P37","Muy mala",0.396,0,0.253,0.269
"P37","No sabe",0.015,0,0,0.038
"P38","Muy buena",0.153,0,0.081,0.08
"P38","Buena",0.132,0,0.129,0.162
"P38","Ni buena ni mala",0.193,0,0.202,0.112
"P38","Mala",0.152,0,0.286,0.238
"P38","Muy mala",0.365,0,0.276,0.377
"P38","No sabe",0.005,0,0.026,0.031
"P39","Muy buena",0.3,0,0.15,0.188
"P39","Buena",0.106,0,0.014,0.129
"P39","Ni buena ni mala",0.106,0,0.293,0.138
"P39","Mala",0.139,0,0.294,0.153
"P39","Muy mala",0.34,0,0.242,0.341
"P39","No sabe",0.009,0,0.007,0.051
"P40","Muy buena",0.285,0,0.21,0.146
"P40","Buena",0.092,0,0.133,0.18
"P40","Ni buena ni mala",0.074,0,0.178,0.203
"P40","Mala",0.162,0,0.234,0.123
"P40","Muy mala",0.374,0,0.238,0.292
"P40","No sabe",0.013,0,0.007,0.056
"P41","Muy buena",0.239,0,0.198,0.165
"P41","Buena",0.13,0,0.228,0.19
"P41","Ni buena ni mala",0.079,0,0.103,0.136
"P41","Mala",0.16,0,0.225,0.202
