"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Nestor Grindetti","Muy buena",0.136,0.129,0.142,0.07,0.11,0.16,0.21,0.136,0.133,0.139,0.136,0.135,0.044,0.243,0.134
"Nestor Grindetti","Buena",0.169,0.181,0.158,0.201,0.152,0.173,0.172,0.139,0.198,0.158,0.179,0.15,0.085,0.273,0.072
"Nestor Grindetti","Ni buena ni mala",0.227,0.242,0.213,0.221,0.232,0.212,0.241,0.262,0.217,0.204,0.224,0.234,0.205,0.209,0.459
"Nestor Grindetti","Mala",0.149,0.137,0.161,0.127,0.143,0.161,0.166,0.131,0.146,0.175,0.146,0.156,0.255,0.069,0.113
"Nestor Grindetti","Muy mala",0.235,0.245,0.225,0.268,0.283,0.219,0.131,0.213,0.231,0.264,0.24,0.224,0.321,0.15,0.11
"Nestor Grindetti","No sabe",0.084,0.066,0.101,0.113,0.08,0.075,0.08,0.119,0.075,0.06,0.075,0.101,0.09,0.056,0.112
"Guillermo Britos","Muy buena",0.083,0.101,0.066,0.075,0.098,0.092,0.049,0.097,0.088,0.062,0.087,0.077,0.025,0.132,0.119
"Guillermo Britos","Buena",0.111,0.116,0.107,0.137,0.125,0.091,0.089,0.143,0.108,0.083,0.104,0.126,0.071,0.123,0.156
"Guillermo Britos","Ni buena ni mala",0.279,0.296,0.263,0.275,0.256,0.27,0.343,0.289,0.294,0.247,0.278,0.282,0.192,0.378,0.308
"Guillermo Britos","Mala",0.136,0.133,0.138,0.113,0.12,0.156,0.158,0.132,0.125,0.154,0.135,0.136,0.208,0.084,0.187
"Guillermo Britos","Muy mala",0.251,0.241,0.261,0.276,0.282,0.239,0.182,0.171,0.256,0.33,0.258,0.237,0.378,0.145,0.106
"Guillermo Britos","No sabe",0.14,0.113,0.165,0.124,0.119,0.152,0.179,0.168,0.129,0.124,0.138,0.142,0.126,0.138,0.124
"Diego Santilli","Muy buena",0.158,0.149,0.168,0.075,0.141,0.191,0.221,0.183,0.136,0.164,0.16,0.156,0.041,0.29,0.172
"Diego Santilli","Buena",0.19,0.184,0.195,0.178,0.158,0.206,0.242,0.171,0.205,0.187,0.195,0.178,0.087,0.297,0.23
"Diego Santilli","Ni buena ni mala",0.204,0.217,0.192,0.253,0.209,0.188,0.176,0.22,0.218,0.168,0.206,0.201,0.17,0.222,0.291
"Diego Santilli","Mala",0.176,0.179,0.173,0.158,0.18,0.178,0.179,0.189,0.167,0.176,0.167,0.194,0.299,0.066,0.203
"Diego Santilli","Muy mala",0.231,0.234,0.227,0.259,0.272,0.215,0.143,0.181,0.239,0.272,0.235,0.223,0.359,0.098,0.09
"Diego Santilli","No sabe",0.041,0.037,0.045,0.077,0.04,0.022,0.039,0.056,0.035,0.033,0.037,0.048,0.044,0.027,0.014
"Axel Kicillof","Muy buena",0.327,0.305,0.348,0.253,0.357,0.332,0.322,0.32,0.307,0.364,0.323,0.334,0.618,0.114,0.133
"Axel Kicillof","Buena",0.073,0.077,0.07,0.122,0.069,0.064,0.053,0.071,0.073,0.076,0.078,0.064,0.102,0.046,0.114
"Axel Kicillof","Ni buena ni mala",0.127,0.141,0.113,0.145,0.14,0.109,0.109,0.171,0.123,0.086,0.127,0.127,0.125,0.118,0.194
"Axel Kicillof","Mala",0.082,0.079,0.085,0.095,0.057,0.082,0.123,0.093,0.084,0.067,0.078,0.09,0.031,0.12,0.064
"Axel Kicillof","Muy mala",0.38,0.387,0.373,0.373,0.364,0.409,0.377,0.33,0.405,0.396,0.383,0.374,0.113,0.593,0.495
"Axel Kicillof","No sabe",0.011,0.011,0.011,0.012,0.013,0.004,0.016,0.015,0.008,0.011,0.011,0.011,0.011,0.009,0
"Victoria Tolosa Paz","Muy buena",0.101,0.108,0.096,0.076,0.114,0.096,0.104,0.147,0.095,0.062,0.114,0.076,0.171,0.055,0.09
"Victoria Tolosa Paz","Buena",0.132,0.129,0.134,0.156,0.128,0.137,0.112,0.097,0.146,0.149,0.125,0.146,0.248,0.048,0.042
"Victoria Tolosa Paz","Ni buena ni mala",0.195,0.196,0.194,0.154,0.203,0.179,0.234,0.225,0.165,0.205,0.186,0.212,0.282,0.106,0.302
"Victoria Tolosa Paz","Mala",0.152,0.136,0.167,0.191,0.112,0.158,0.193,0.112,0.154,0.192,0.163,0.131,0.121,0.173,0.197
"Victoria Tolosa Paz","Muy mala",0.388,0.396,0.381,0.365,0.414,0.409,0.327,0.368,0.414,0.372,0.383,0.398,0.14,0.602,0.352
"Victoria Tolosa Paz","No sabe",0.032,0.035,0.028,0.058,0.029,0.021,0.03,0.051,0.026,0.02,0.029,0.037,0.038,0.016,0.017
