"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco"
"P05","Mucho",0.501,0.431,0.54,0.399,0.26,0.021
"P05","Bastante",0.245,0.387,0.232,0.185,0.392,0.232
"P05","Poco",0.168,0.126,0.145,0.042,0.329,0.51
"P05","Nada",0.065,0.055,0.056,0.176,0.019,0.096
"P05","No sabe",0.021,0.001,0.027,0.198,0,0.141
"P06","Siempre",0.296,0.319,0.289,0.084,0.235,0.084
"P06","Casi siempre",0.319,0.385,0.274,0.317,0.092,0.217
"P06","Casi nunca",0.264,0.215,0.24,0.172,0.32,0.289
"P06","Nunca, pero esta es una excepción",0.121,0.081,0.197,0.427,0.353,0.41
"P09","Unidos para Cambiar San Luis",0.638,0.16,0.061,0.216,0.109,0
"P09","Juntos Avancemos",0.19,0.619,0.063,0,0.173,0.002
"P09","De los liberales libertarios",0.042,0.11,0.628,0.016,0.026,0.146
"P09","De la Izquierda",0.018,0,0.002,0.702,0.005,0.061
"P09","Hacemos por nuestro país",0.01,0.01,0.04,0,0.24,0.025
"P09","En blanco",0.024,0.014,0.042,0.015,0.008,0.521
"P09","No sabe",0.078,0.087,0.164,0.051,0.439,0.245
"P15","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.274,0.431,0.678,0.037,0.483,0.199
"P15","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.185,0.375,0.111,0.459,0.056,0.072
"P15","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.321,0.134,0.077,0.074,0.187,0.268
"P15","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.124,0.032,0.013,0.355,0.021,0.082
"P15","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.039,0.009,0.011,0.055,0.15,0.017
"P15","No sabe",0.057,0.019,0.11,0.02,0.103,0.362
"P16","Totalmente seguro.",0.704,0.703,0.722,0.561,0.357,0.362
"P16","Bastante seguro",0.094,0.195,0.061,0.123,0.078,0.082
"P16","Algo seguro",0.053,0.063,0.122,0.293,0.122,0.061
"P16","Para nada seguro",0.149,0.039,0.095,0.023,0.443,0.495
"P17","Tiene Decidido que va a ir a votar.",0.857,0.91,0.884,0.792,0.657,0.565
"P17","Tiene dudas sobre si va a ir a  votar",0.12,0.074,0.076,0.193,0.06,0.233
"P17","Tiene Decidido que no va a ir a votar",0.023,0.016,0.04,0.015,0.283,0.202
"P18","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.832,0.159,0.209,0.324,0.334,0.018
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.084,0.736,0.208,0.297,0.183,0.009
"P18","En blanco",0.019,0.039,0.294,0.155,0.191,0.606
"P18","No sabe",0.065,0.066,0.289,0.224,0.292,0.367
"P19","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.214,0.746,0.118,0.24,0.145,0.207
"P19","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.115,0.152,0.696,0.137,0.332,0.058
"P19","En blanco",0.319,0.044,0.073,0.422,0.273,0.33
"P19","No sabe",0.352,0.058,0.113,0.201,0.25,0.405
"P20","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.873,0.224,0.085,0.13,0.126,0.24
"P20","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.053,0.293,0.788,0.467,0.304,0.081
"P20","En blanco",0.023,0.254,0.041,0.396,0.154,0.502
"P20","No sabe",0.051,0.229,0.086,0.007,0.416,0.177
"P21","Si",0.593,0.503,0.459,0.098,0.323,0.17
"P21","No",0.407,0.497,0.541,0.902,0.677,0.83
