"var","categoria","Del Frente de Todos y el peronismo","De Cambiemos","De los Liberales libertarios","De la Izquierda","No sabe"
"P12","Lo votaria",0.57,0.097,0.065,0.179,0.193
"P12","Puede que lo vote",0.158,0.23,0.096,0.215,0.148
"P12","Nunca lo votaría",0.091,0.561,0.642,0.46,0.308
"P12","No sabe",0.181,0.112,0.197,0.146,0.351
"P13","Lo votaria",0.093,0.328,0.068,0,0.088
"P13","Puede que lo vote",0.127,0.316,0.225,0.092,0.086
"P13","Nunca lo votaría",0.619,0.218,0.466,0.809,0.444
"P13","No sabe",0.161,0.138,0.241,0.099,0.382
"P14","Lo votaria",0.034,0.148,0.04,0,0.046
"P14","Puede que lo vote",0.108,0.191,0.171,0.054,0.061
"P14","Nunca lo votaría",0.511,0.298,0.374,0.699,0.414
"P14","No sabe",0.347,0.363,0.415,0.247,0.479
"P15","Lo votaria",0.048,0.047,0.03,0.014,0.046
"P15","Puede que lo vote",0.182,0.123,0.113,0.157,0.091
"P15","Nunca lo votaría",0.427,0.443,0.493,0.488,0.37
"P15","No sabe",0.343,0.387,0.364,0.341,0.493
"P16","Lo votaria",0.024,0.068,0.031,0.047,0.051
"P16","Puede que lo vote",0.077,0.103,0.073,0.142,0.023
"P16","Nunca lo votaría",0.492,0.393,0.461,0.519,0.437
"P16","No sabe",0.407,0.436,0.435,0.292,0.489
"P17","Lo votaria",0.025,0.048,0.045,0.039,0.032
"P17","Puede que lo vote",0.065,0.099,0.061,0.096,0.037
"P17","Nunca lo votaría",0.537,0.436,0.446,0.595,0.462
"P17","No sabe",0.373,0.417,0.448,0.27,0.469
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.695,0.029,0.026,0.213,0.192
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.091,0.046,0.015,0.016,0.048
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.069,0.297,0.126,0.06,0.085
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.047,0.439,0.179,0.133,0.108
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0,0.033,0.081,0.022,0.026
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.062,0.073,0.078,0.145,0.088
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.022,0.045,0.444,0.022,0.099
"P18","Al candidato del Frente de Izquierda",0.005,0.002,0.022,0.367,0.009
"P18","No sabe",0.009,0.036,0.029,0.022,0.345
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.647,0.039,0.034,0.259,0.138
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.123,0.038,0.047,0.037,0.036
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.017,0.287,0.062,0,0.089
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.026,0.492,0.093,0,0.098
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.032,0.042,0.658,0.128,0.137
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.026,0.01,0.022,0.428,0.021
"P19","No sabe",0.129,0.092,0.084,0.148,0.481
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.85,0.059,0.038,0.252,0.259
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.03,0.63,0.16,0,0.149
