"var","categoria","Positiva","Neutra","Negativa","No sabe","No lo conozco"
"P07","Del Frente de Todos y el peronismo",0.199,0.253,0.561,0.265,0.308
"P07","De Cambiemos",0.597,0.348,0.111,0.255,0.263
"P07","De los Liberales libertarios",0.144,0.279,0.181,0.253,0.28
"P07","De la Izquierda",0,0.017,0.04,0.014,0.021
"P07","No sabe",0.06,0.103,0.107,0.213,0.128
"P09","A Alberto Fernández",0.186,0.228,0.107,0.14,0.202
"P09","A Sergio Massa",0.202,0.165,0.119,0.177,0.088
"P09","A algún candidato del peronismo",0.3,0.136,0.099,0.135,0.094
"P09","A algún candidato del kirchnerismo",0.312,0.471,0.675,0.548,0.616
"P10","A Alberto Fernández",0.238,0.145,0.038,0.025,0.127
"P10","A Sergio Massa",0.069,0.052,0.073,0.053,0.011
"P10","A algún candidato del peronismo",0.339,0.1,0.038,0.157,0.055
"P10","A Cristina Fernández de Kirchner",0.354,0.703,0.851,0.765,0.807
"P11","A Horacio Rodriguez Larreta",0.121,0.265,0.307,0.17,0.205
"P11","A Patricia Bullrich",0.831,0.62,0.45,0.812,0.597
"P11","A Facundo Manes",0.012,0.054,0.168,0.007,0.158
"P11","A Gerardo Morales",0.036,0.061,0.075,0.011,0.04
"P12","Lo votaria",0.089,0.221,0.46,0.252,0.26
"P12","Puede que lo vote",0.235,0.166,0.097,0.131,0.187
"P12","Nunca lo votaría",0.569,0.456,0.335,0.459,0.347
"P12","No sabe",0.107,0.157,0.108,0.158,0.206
"P13","Lo votaria",0.316,0.145,0.099,0.197,0.101
"P13","Puede que lo vote",0.402,0.269,0.055,0.203,0.2
"P13","Nunca lo votaría",0.211,0.433,0.74,0.358,0.452
"P13","No sabe",0.071,0.153,0.106,0.242,0.247
"P14","Lo votaria",0.312,0.04,0.009,0.039,0.024
"P14","Puede que lo vote",0.288,0.168,0.051,0.126,0.095
"P14","Nunca lo votaría",0.186,0.407,0.675,0.298,0.317
"P14","No sabe",0.214,0.385,0.265,0.537,0.564
"P15","Lo votaria",0.122,0.03,0.017,0.017,0.017
"P15","Puede que lo vote",0.196,0.139,0.147,0.07,0.119
"P15","Nunca lo votaría",0.447,0.457,0.623,0.378,0.279
