"var","categoria","Lo votaria","Puede que lo vote","Nunca lo votaría","No sabe"
"P07","Del Frente de Todos y el peronismo",0.082,0.102,0.543,0.247
"P07","De Cambiemos",0.163,0.549,0.286,0.383
"P07","De los Liberales libertarios",0.615,0.225,0.039,0.092
"P07","De la Izquierda",0.015,0.011,0.026,0.011
"P07","No sabe",0.125,0.113,0.106,0.267
"P09","A Alberto Fernández",0.298,0.37,0.151,0.173
"P09","A Sergio Massa",0.281,0,0.095,0.358
"P09","A algún candidato del peronismo",0.193,0.302,0.095,0.057
"P09","A algún candidato del kirchnerismo",0.228,0.328,0.659,0.412
"P10","A Alberto Fernández",0.343,0.34,0.062,0
"P10","A Sergio Massa",0,0.07,0.053,0.245
"P10","A algún candidato del peronismo",0.272,0.302,0.069,0.076
"P10","A Cristina Fernández de Kirchner",0.385,0.288,0.816,0.679
"P11","A Horacio Rodriguez Larreta",0.121,0.193,0.193,0.308
"P11","A Patricia Bullrich",0.787,0.757,0.645,0.475
"P11","A Facundo Manes",0.068,0.012,0.11,0.059
"P11","A Gerardo Morales",0.024,0.038,0.052,0.158
"P12","Lo votaria",0.097,0.068,0.452,0.406
"P12","Puede que lo vote",0.153,0.23,0.141,0.203
"P12","Nunca lo votaría",0.587,0.609,0.302,0.284
"P12","No sabe",0.163,0.093,0.105,0.107
"P13","Lo votaria",0.144,0.193,0.179,0.144
"P13","Puede que lo vote",0.294,0.473,0.133,0.158
"P13","Nunca lo votaría",0.371,0.221,0.611,0.335
"P13","No sabe",0.191,0.113,0.077,0.363
"P14","Lo votaria",0.099,0.107,0.055,0.023
"P14","Puede que lo vote",0.177,0.261,0.09,0.149
"P14","Nunca lo votaría",0.303,0.35,0.495,0.315
"P14","No sabe",0.421,0.282,0.36,0.513
"P15","Lo votaria",0.088,0.021,0.035,0.015
"P15","Puede que lo vote",0.106,0.16,0.152,0.043
"P15","Nunca lo votaría",0.422,0.551,0.466,0.376
"P15","No sabe",0.384,0.268,0.347,0.566
"P16","Lo votaria",0.035,0.046,0.043,0.008
"P16","Puede que lo vote",0.067,0.135,0.051,0.039
"P16","Nunca lo votaría",0.402,0.45,0.512,0.304
"P16","No sabe",0.496,0.369,0.394,0.649
"P17","Lo votaria",0.074,0.017,0.016,0.042
"P17","Puede que lo vote",0.075,0.211,0.036,0.015
"P17","Nunca lo votaría",0.393,0.367,0.587,0.316
"P17","No sabe",0.458,0.405,0.361,0.627
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.035,0.075,0.489,0.338
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.032,0.05,0.057,0.047
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.118,0.272,0.142,0.188
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.217,0.386,0.146,0.192
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0.093,0.044,0.016,0
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.12,0.025,0.074,0.045
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.336,0.046,0.025,0.109
"P18","Al candidato del Frente de Izquierda",0.003,0,0.026,0
"P18","No sabe",0.046,0.102,0.025,0.081
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.052,0.027,0.445,0.329
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.042,0.064,0.075,0.076
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.08,0.141,0.107,0.163
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.174,0.463,0.16,0.11
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.6,0.099,0.02,0.052
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.017,0,0.041,0.061
"P19","No sabe",0.035,0.206,0.152,0.209
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.054,0.116,0.582,0.361
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.244,0.469,0.237,0.251
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.563,0.078,0.04,0.078
"P20","Al candidato del Frente de Izquierda",0.032,0.068,0.046,0.053
"P20","No sabe",0.107,0.269,0.095,0.257
"P21","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.047,0.053,0.604,0.393
"P21","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.302,0.608,0.252,0.269
"P21","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.548,0.124,0.027,0.046
"P21","Al candidato del Frente de Izquierda",0.011,0.004,0.026,0.062
"P21","No sabe",0.092,0.211,0.091,0.23
