"var","categoria","Positiva","Neutra","Negativa","No sabe","No lo conozco"
"P07","Del Frente de Todos y el peronismo",0.639,0.378,0.188,0.292,0.353
"P07","De Cambiemos",0.198,0.242,0.378,0.352,0.259
"P07","De los Liberales libertarios",0.078,0.235,0.3,0.16,0.275
"P07","De la Izquierda",0.005,0.02,0.035,0.004,0.018
"P07","No sabe",0.08,0.125,0.099,0.192,0.095
"P09","A Alberto Fernández",0.221,0.156,0.108,0.143,0.131
"P09","A Sergio Massa",0.158,0.141,0.085,0.172,0.164
"P09","A algún candidato del peronismo",0.151,0.115,0.112,0.056,0.179
"P09","A algún candidato del kirchnerismo",0.47,0.588,0.695,0.629,0.526
"P10","A Alberto Fernández",0.103,0.088,0.057,0.027,0.154
"P10","A Sergio Massa",0.069,0.049,0.054,0.12,0.062
"P10","A algún candidato del peronismo",0.085,0.097,0.144,0.032,0.078
"P10","A Cristina Fernández de Kirchner",0.743,0.766,0.745,0.821,0.706
"P11","A Horacio Rodriguez Larreta",0.243,0.326,0.156,0.154,0.199
"P11","A Patricia Bullrich",0.519,0.591,0.747,0.705,0.701
"P11","A Facundo Manes",0.131,0.05,0.045,0.095,0.091
"P11","A Gerardo Morales",0.107,0.033,0.052,0.046,0.009
"P12","Lo votaria",0.507,0.332,0.142,0.233,0.252
"P12","Puede que lo vote",0.231,0.18,0.113,0.161,0.146
"P12","Nunca lo votaría",0.153,0.338,0.653,0.449,0.316
"P12","No sabe",0.109,0.15,0.092,0.157,0.286
"P13","Lo votaria",0.198,0.152,0.168,0.14,0.115
"P13","Puede que lo vote",0.231,0.196,0.257,0.202,0.147
"P13","Nunca lo votaría",0.521,0.485,0.471,0.43,0.432
"P13","No sabe",0.05,0.167,0.104,0.228,0.306
"P14","Lo votaria",0.122,0.053,0.085,0.049,0.041
"P14","Puede que lo vote",0.169,0.164,0.129,0.114,0.091
"P14","Nunca lo votaría",0.506,0.454,0.435,0.287,0.276
"P14","No sabe",0.203,0.329,0.351,0.55,0.592
"P15","Lo votaria",0.155,0.028,0.015,0.007,0.03
"P15","Puede que lo vote",0.38,0.178,0.069,0.066,0.039
"P15","Nunca lo votaría",0.255,0.444,0.66,0.324,0.318
"P15","No sabe",0.21,0.35,0.256,0.603,0.613
"P16","Lo votaria",0.065,0.026,0.041,0.008,0.017
"P16","Puede que lo vote",0.182,0.075,0.063,0.057,0.049
"P16","Nunca lo votaría",0.492,0.479,0.532,0.31,0.318
"P16","No sabe",0.261,0.42,0.364,0.625,0.616
"P17","Lo votaria",0.047,0.036,0.04,0.011,0.029
"P17","Puede que lo vote",0.126,0.078,0.076,0.053,0.051
"P17","Nunca lo votaría",0.573,0.541,0.51,0.302,0.314
"P17","No sabe",0.254,0.345,0.374,0.634,0.606
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.455,0.355,0.134,0.251,0.301
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.147,0.065,0.013,0.057,0.035
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.077,0.153,0.203,0.15,0.077
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.171,0.149,0.274,0.3,0.184
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0.002,0.038,0.058,0.012,0.035
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.058,0.067,0.1,0.067,0.082
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.08,0.14,0.138,0.072,0.162
"P18","Al candidato del Frente de Izquierda",0,0.006,0.037,0.004,0.014
"P18","No sabe",0.01,0.027,0.043,0.087,0.11
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.464,0.366,0.121,0.199,0.244
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.175,0.056,0.053,0.063,0.07
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.107,0.108,0.134,0.109,0.069
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.11,0.145,0.276,0.261,0.152
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.055,0.211,0.225,0.131,0.281
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.007,0.022,0.049,0.023,0.018
"P19","No sabe",0.082,0.092,0.142,0.214,0.166
