"var","categoria","Lo votaria","Puede que lo vote","Nunca lo votaría","No sabe"
"P07","Del Frente de Todos y el peronismo",0.092,0.087,0.582,0.291
"P07","De Cambiemos",0.644,0.353,0.111,0.137
"P07","De los Liberales libertarios",0.184,0.449,0.139,0.274
"P07","De la Izquierda",0,0.004,0.039,0
"P07","No sabe",0.08,0.107,0.129,0.298
"P09","A Alberto Fernández",0.195,0.303,0.165,0.055
"P09","A Sergio Massa",0.166,0,0.099,0.368
"P09","A algún candidato del peronismo",0.416,0.216,0.076,0.1
"P09","A algún candidato del kirchnerismo",0.223,0.481,0.66,0.477
"P10","A Alberto Fernández",0.225,0.303,0.069,0
"P10","A Sergio Massa",0,0,0.057,0.254
"P10","A algún candidato del peronismo",0.477,0.216,0.052,0.079
"P10","A Cristina Fernández de Kirchner",0.298,0.481,0.822,0.667
"P11","A Horacio Rodriguez Larreta",0.107,0.33,0.271,0.338
"P11","A Patricia Bullrich",0.856,0.538,0.325,0.59
"P11","A Facundo Manes",0.012,0.06,0.301,0
"P11","A Gerardo Morales",0.025,0.072,0.103,0.072
"P12","Lo votaria",0.062,0.084,0.508,0.313
"P12","Puede que lo vote",0.169,0.187,0.144,0.185
"P12","Nunca lo votaría",0.656,0.615,0.233,0.265
"P12","No sabe",0.113,0.114,0.115,0.237
"P13","Lo votaria",0.311,0.145,0.115,0.052
"P13","Puede que lo vote",0.42,0.386,0.084,0.089
"P13","Nunca lo votaría",0.162,0.321,0.702,0.432
"P13","No sabe",0.107,0.148,0.099,0.427
"P14","Lo votaria",0.192,0.062,0.016,0
"P14","Puede que lo vote",0.203,0.252,0.084,0.063
"P14","Nunca lo votaría",0.249,0.23,0.573,0.384
"P14","No sabe",0.356,0.456,0.327,0.553
"P15","Lo votaria",0.08,0.015,0.038,0.016
"P15","Puede que lo vote",0.084,0.195,0.162,0.018
"P15","Nunca lo votaría",0.442,0.413,0.502,0.364
"P15","No sabe",0.394,0.377,0.298,0.602
"P16","Lo votaria",0.063,0.028,0.032,0.019
"P16","Puede que lo vote",0.112,0.141,0.029,0.012
"P16","Nunca lo votaría",0.37,0.332,0.572,0.338
"P16","No sabe",0.455,0.499,0.367,0.631
"P17","Lo votaria",0.066,0.037,0.015,0
"P17","Puede que lo vote",0.098,0.181,0.033,0.007
"P17","Nunca lo votaría",0.397,0.334,0.603,0.373
"P17","No sabe",0.439,0.448,0.349,0.62
