"var","categoria","Lo votaria","Puede que lo vote","Nunca lo votaría","No sabe"
"P07","Del Frente de Todos y el peronismo",0.683,0.291,0.07,0.28
"P07","De Cambiemos",0.104,0.378,0.386,0.154
"P07","De los Liberales libertarios",0.058,0.133,0.371,0.228
"P07","De la Izquierda",0.02,0.038,0.034,0.021
"P07","No sabe",0.135,0.16,0.139,0.317
"P09","A Alberto Fernández",0.144,0.192,0.262,0.203
"P09","A Sergio Massa",0.131,0.212,0.278,0.165
"P09","A algún candidato del peronismo",0.108,0.17,0.256,0.125
"P09","A algún candidato del kirchnerismo",0.617,0.426,0.204,0.507
"P10","A Alberto Fernández",0.092,0.116,0.154,0.105
"P10","A Sergio Massa",0.057,0.215,0.128,0.07
"P10","A algún candidato del peronismo",0.054,0.178,0.416,0.079
"P10","A Cristina Fernández de Kirchner",0.797,0.491,0.302,0.746
"P11","A Horacio Rodriguez Larreta",0.671,0.17,0.199,0.339
"P11","A Patricia Bullrich",0.211,0.717,0.696,0.471
"P11","A Facundo Manes",0.064,0.081,0.08,0.061
"P11","A Gerardo Morales",0.054,0.032,0.025,0.129
"P13","Lo votaria",0.166,0.123,0.188,0.054
"P13","Puede que lo vote",0.069,0.41,0.221,0.115
"P13","Nunca lo votaría",0.665,0.353,0.49,0.166
"P13","No sabe",0.1,0.114,0.101,0.665
"P14","Lo votaria",0.071,0.085,0.076,0.027
"P14","Puede que lo vote",0.08,0.294,0.129,0.085
"P14","Nunca lo votaría",0.56,0.282,0.475,0.179
"P14","No sabe",0.289,0.339,0.32,0.709
"P15","Lo votaria",0.079,0.052,0.021,0.026
"P15","Puede que lo vote",0.154,0.281,0.085,0.086
"P15","Nunca lo votaría",0.465,0.283,0.6,0.184
"P15","No sabe",0.302,0.384,0.294,0.704
"P16","Lo votaria",0.078,0.024,0.034,0.025
"P16","Puede que lo vote",0.031,0.196,0.069,0.051
"P16","Nunca lo votaría",0.546,0.355,0.527,0.216
"P16","No sabe",0.345,0.425,0.37,0.708
"P17","Lo votaria",0.058,0.053,0.028,0.013
"P17","Puede que lo vote",0.036,0.159,0.07,0.038
"P17","Nunca lo votaría",0.606,0.335,0.549,0.26
"P17","No sabe",0.3,0.453,0.353,0.689
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.727,0.197,0.029,0.213
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.046,0.14,0.016,0.069
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.054,0.144,0.238,0.079
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.055,0.213,0.281,0.199
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0.007,0.022,0.059,0.017
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.052,0.054,0.107,0.053
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.033,0.133,0.174,0.202
"P18","Al candidato del Frente de Izquierda",0.008,0.023,0.024,0.019
"P18","No sabe",0.018,0.074,0.072,0.149
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.637,0.204,0.056,0.167
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.071,0.117,0.028,0.109
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.064,0.104,0.163,0.079
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.021,0.241,0.284,0.137
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.035,0.154,0.297,0.255
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.03,0.028,0.029,0.035
"P19","No sabe",0.142,0.152,0.143,0.218
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.832,0.312,0.057,0.285
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.057,0.246,0.402,0.171
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.043,0.16,0.299,0.256
"P20","Al candidato del Frente de Izquierda",0.01,0.155,0.042,0.041
"P20","No sabe",0.058,0.127,0.2,0.247
