"var","categoria","Lo votaria","Puede que lo vote","Nunca lo votaría","No sabe"
"P07","Del Frente de Todos y el peronismo",0.214,0.294,0.354,0.284
"P07","De Cambiemos",0.348,0.387,0.248,0.274
"P07","De los Liberales libertarios",0.27,0.196,0.209,0.242
"P07","De la Izquierda",0.028,0.037,0.033,0.017
"P07","No sabe",0.14,0.086,0.156,0.183
"P09","A Alberto Fernández",0.304,0.5,0.116,0.151
"P09","A Sergio Massa",0.084,0.252,0.165,0.118
"P09","A algún candidato del peronismo",0.306,0.067,0.138,0.113
"P09","A algún candidato del kirchnerismo",0.306,0.181,0.581,0.618
"P10","A Alberto Fernández",0.304,0.258,0.045,0.107
"P10","A Sergio Massa",0,0.346,0.074,0.047
"P10","A algún candidato del peronismo",0.306,0.095,0.092,0.078
"P10","A Cristina Fernández de Kirchner",0.39,0.301,0.789,0.768
"P11","A Horacio Rodriguez Larreta",0.418,0.206,0.236,0.223
"P11","A Patricia Bullrich",0.515,0.77,0.62,0.638
"P11","A Facundo Manes",0.028,0.007,0.092,0.084
"P11","A Gerardo Morales",0.039,0.017,0.052,0.055
"P12","Lo votaria",0.412,0.137,0.335,0.192
"P12","Puede que lo vote",0.227,0.367,0.113,0.176
"P12","Nunca lo votaría",0.301,0.4,0.456,0.338
"P12","No sabe",0.06,0.096,0.096,0.294
"P13","Lo votaria",0.402,0.185,0.143,0.128
"P13","Puede que lo vote",0.3,0.482,0.141,0.197
"P13","Nunca lo votaría",0.259,0.251,0.635,0.321
"P13","No sabe",0.039,0.082,0.081,0.354
"P14","Lo votaria",0.464,0.107,0.058,0.036
"P14","Puede que lo vote",0.18,0.484,0.099,0.092
"P14","Nunca lo votaría",0.154,0.26,0.709,0.146
"P14","No sabe",0.202,0.149,0.134,0.726
"P15","Lo votaria",0.386,0.065,0.028,0.02
"P15","Puede que lo vote",0.141,0.458,0.115,0.088
"P15","Nunca lo votaría",0.339,0.336,0.726,0.16
"P15","No sabe",0.134,0.141,0.131,0.732
"P16","Lo votaria",0.423,0.046,0.018,0.019
"P16","Puede que lo vote",0.223,0.467,0.038,0.036
"P16","Nunca lo votaría",0.183,0.328,0.808,0.094
"P16","No sabe",0.171,0.159,0.136,0.851
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.184,0.165,0.32,0.244
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0,0.165,0.047,0.047
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.127,0.189,0.188,0.094
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.405,0.22,0.121,0.259
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0.04,0.07,0.027,0.03
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.042,0.008,0.119,0.039
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.15,0.132,0.098,0.176
"P18","Al candidato del Frente de Izquierda",0.052,0,0.023,0.014
"P18","No sabe",0,0.051,0.057,0.097
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.256,0.089,0.331,0.195
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.059,0.099,0.063,0.068
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.299,0.146,0.091,0.115
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.095,0.275,0.162,0.197
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.174,0.258,0.165,0.224
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.03,0.01,0.037,0.025
"P19","No sabe",0.087,0.123,0.151,0.176
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.249,0.211,0.414,0.298
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.372,0.362,0.205,0.259
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.235,0.198,0.191,0.21
"P20","Al candidato del Frente de Izquierda",0.093,0.057,0.048,0.05
"P20","No sabe",0.051,0.172,0.142,0.183
"P21","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.221,0.177,0.442,0.321
"P21","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.518,0.426,0.25,0.267
"P21","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.197,0.281,0.173,0.242
"P21","Al candidato del Frente de Izquierda",0.032,0.007,0.016,0.044
"P21","No sabe",0.032,0.109,0.119,0.126
"P22","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.092,0.176,0.374,0.246
"P22","A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.383,0.396,0.199,0.205
"P22","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.29,0.301,0.198,0.313
"P22","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.103,0.036,0.036,0.048
"P22","No sabe",0.132,0.091,0.193,0.188
"P23","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.149,0.191,0.367,0.259
"P23","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta",0.409,0.365,0.216,0.301
"P23","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.257,0.31,0.217,0.242
"P23","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.029,0.023,0.029,0.04
"P23","No sabe",0.156,0.111,0.171,0.158
"P24","Muy buena",0.211,0.181,0.277,0.177
"P24","Buena",0.163,0.196,0.162,0.114
"P24","Ni buena ni mala",0.223,0.215,0.186,0.222
"P24","Mala",0.086,0.17,0.137,0.14
"P24","Muy mala",0.317,0.189,0.198,0.208
"P24","No sabe",0,0.032,0.008,0.064
"P24","No lo conozco",0,0.017,0.032,0.075
"P25","Muy buena",0.135,0.064,0.055,0.03
"P25","Buena",0.021,0.123,0.082,0.039
"P25","Ni buena ni mala",0.34,0.333,0.369,0.266
"P25","Mala",0.072,0.2,0.141,0.141
"P25","Muy mala",0.279,0.095,0.177,0.124
"P25","No sabe",0.043,0.096,0.088,0.209
"P25","No lo conozco",0.11,0.089,0.088,0.191
"P26","Muy buena",0.284,0.085,0.072,0.059
"P26","Buena",0.222,0.313,0.106,0.139
"P26","Ni buena ni mala",0.338,0.315,0.228,0.247
"P26","Mala",0.074,0.185,0.21,0.166
"P26","Muy mala",0.009,0.037,0.324,0.205
"P26","No sabe",0,0.038,0.024,0.079
"P26","No lo conozco",0.073,0.027,0.036,0.105
"P27","Muy buena",0.29,0.139,0.061,0.034
"P27","Buena",0.099,0.239,0.075,0.071
"P27","Ni buena ni mala",0.406,0.37,0.261,0.241
"P27","Mala",0.009,0.082,0.16,0.078
"P27","Muy mala",0.011,0.019,0.24,0.071
"P27","No sabe",0.084,0.065,0.082,0.219
"P27","No lo conozco",0.101,0.086,0.121,0.286
"P28","Muy buena",0.268,0.069,0.044,0.01
"P28","Buena",0,0.12,0.035,0.038
