"var","categoria","Positiva","Neutra","Negativa","No sabe","No lo conozco"
"P07","Del Frente de Todos y el peronismo",0.24,0.296,0.426,0.32,0.314
"P07","De Cambiemos",0.536,0.297,0.174,0.28,0.319
"P07","De los Liberales libertarios",0.12,0.29,0.227,0.228,0.236
"P07","De la Izquierda",0.012,0.019,0.053,0.003,0.016
"P07","No sabe",0.092,0.098,0.12,0.169,0.115
"P09","A Alberto Fernández",0.205,0.205,0.155,0.114,0.157
"P09","A Sergio Massa",0.166,0.135,0.114,0.167,0.077
"P09","A algún candidato del peronismo",0.32,0.11,0.082,0.17,0.091
"P09","A algún candidato del kirchnerismo",0.309,0.55,0.649,0.549,0.675
"P10","A Alberto Fernández",0.293,0.1,0.064,0.031,0.102
"P10","A Sergio Massa",0.106,0.046,0.109,0.074,0.006
"P10","A algún candidato del peronismo",0.417,0.109,0.005,0.122,0.067
"P10","A Cristina Fernández de Kirchner",0.184,0.745,0.822,0.773,0.825
"P11","A Horacio Rodriguez Larreta",0.154,0.272,0.165,0.173,0.191
"P11","A Patricia Bullrich",0.739,0.598,0.656,0.783,0.689
"P11","A Facundo Manes",0.036,0.072,0.132,0.015,0.083
"P11","A Gerardo Morales",0.071,0.058,0.047,0.029,0.037
"P12","Lo votaria",0.115,0.245,0.365,0.244,0.296
"P12","Puede que lo vote",0.354,0.169,0.113,0.132,0.158
"P12","Nunca lo votaría",0.464,0.405,0.434,0.497,0.396
"P12","No sabe",0.067,0.181,0.088,0.127,0.15
"P13","Lo votaria",0.273,0.177,0.102,0.166,0.141
"P13","Puede que lo vote",0.418,0.242,0.073,0.24,0.219
"P13","Nunca lo votaría",0.218,0.399,0.763,0.425,0.442
"P13","No sabe",0.091,0.182,0.062,0.169,0.198
"P14","Lo votaria",0.236,0.096,0.026,0.031,0.061
"P14","Puede que lo vote",0.348,0.168,0.083,0.139,0.095
"P14","Nunca lo votaría",0.296,0.399,0.647,0.347,0.311
"P14","No sabe",0.12,0.337,0.244,0.483,0.533
"P15","Lo votaria",0.149,0.054,0.017,0.019,0.018
"P15","Puede que lo vote",0.306,0.162,0.122,0.092,0.11
"P15","Nunca lo votaría",0.389,0.422,0.679,0.431,0.332
"P15","No sabe",0.156,0.362,0.182,0.458,0.54
"P16","Lo votaria",0.203,0.024,0.013,0.024,0.013
"P16","Puede que lo vote",0.238,0.137,0.039,0.037,0.044
"P16","Nunca lo votaría",0.412,0.422,0.707,0.356,0.35
"P16","No sabe",0.147,0.417,0.241,0.583,0.593
"P17","Lo votaria",0.117,0.037,0.031,0.024,0.021
"P17","Puede que lo vote",0.175,0.12,0.028,0.047,0.058
"P17","Nunca lo votaría",0.459,0.498,0.76,0.338,0.333
"P17","No sabe",0.249,0.345,0.181,0.591,0.588
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.09,0.245,0.409,0.228,0.304
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.158,0.036,0.04,0.055,0.039
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.249,0.179,0.117,0.158,0.116
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.3,0.233,0.11,0.248,0.228
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0.007,0.035,0.028,0.055,0.04
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.128,0.064,0.083,0.056,0.073
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.056,0.177,0.108,0.151,0.102
"P18","Al candidato del Frente de Izquierda",0,0,0.057,0,0.015
"P18","No sabe",0.012,0.031,0.048,0.049,0.083
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.103,0.256,0.395,0.245,0.233
