"var","categoria","Lo votaria","Puede que lo vote","Nunca lo votaría","No sabe"
"P07","Del Frente de Todos y el peronismo",0.261,0.108,0.462,0.334
"P07","De Cambiemos",0.592,0.503,0.168,0.231
"P07","De los Liberales libertarios",0.04,0.306,0.212,0.185
"P07","De la Izquierda",0,0.006,0.033,0
"P07","No sabe",0.107,0.077,0.125,0.25
"P09","A Alberto Fernández",0.312,0.368,0.146,0.033
"P09","A Sergio Massa",0.144,0.137,0.085,0.332
"P09","A algún candidato del peronismo",0.182,0.173,0.094,0.077
"P09","A algún candidato del kirchnerismo",0.362,0.322,0.675,0.558
"P10","A Alberto Fernández",0.183,0.208,0.067,0.053
"P10","A Sergio Massa",0,0.042,0.056,0.177
"P10","A algún candidato del peronismo",0.305,0.199,0.059,0.065
"P10","A Cristina Fernández de Kirchner",0.512,0.551,0.818,0.705
"P11","A Horacio Rodriguez Larreta",0.469,0.111,0.119,0
"P11","A Patricia Bullrich",0.427,0.789,0.721,0.797
"P11","A Facundo Manes",0.057,0.078,0.082,0.066
"P11","A Gerardo Morales",0.047,0.022,0.078,0.137
"P12","Lo votaria",0.204,0.106,0.405,0.27
"P12","Puede que lo vote",0.189,0.155,0.153,0.187
"P12","Nunca lo votaría",0.461,0.614,0.339,0.333
"P12","No sabe",0.146,0.125,0.103,0.21
"P13","Lo votaria",0.391,0.196,0.122,0.122
"P13","Puede que lo vote",0.269,0.418,0.156,0.124
"P13","Nunca lo votaría",0.234,0.278,0.601,0.473
"P13","No sabe",0.106,0.108,0.121,0.281
"P14","Lo votaria",0.194,0.108,0.039,0.016
"P14","Puede que lo vote",0.118,0.203,0.126,0.147
"P14","Nunca lo votaría",0.393,0.295,0.47,0.389
"P14","No sabe",0.295,0.394,0.365,0.448
"P15","Lo votaria",0.182,0.014,0.033,0.012
"P15","Puede que lo vote",0.071,0.174,0.143,0.092
"P15","Nunca lo votaría",0.449,0.444,0.484,0.38
"P15","No sabe",0.298,0.368,0.34,0.516
"P16","Lo votaria",0.136,0.029,0.028,0.006
"P16","Puede que lo vote",0.102,0.133,0.039,0.059
"P16","Nunca lo votaría",0.408,0.387,0.51,0.412
"P16","No sabe",0.354,0.451,0.423,0.523
"P17","Lo votaria",0.118,0.021,0.024,0
"P17","Puede que lo vote",0.086,0.153,0.041,0.063
"P17","Nunca lo votaría",0.437,0.404,0.533,0.476
"P17","No sabe",0.359,0.422,0.402,0.461
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.107,0.075,0.447,0.263
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.05,0.051,0.05,0.032
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.354,0.214,0.09,0.199
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.287,0.387,0.112,0.178
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0.017,0.066,0.036,0.009
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.076,0.067,0.082,0.064
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.068,0.09,0.131,0.078
"P18","Al candidato del Frente de Izquierda",0.019,0.001,0.021,0
"P18","No sabe",0.022,0.049,0.031,0.177
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.147,0.054,0.392,0.271
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.02,0.078,0.072,0.082
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.441,0.129,0.041,0.054
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.251,0.438,0.11,0.13
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.117,0.178,0.196,0.127
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.004,0.015,0.04,0.045
"P19","No sabe",0.02,0.108,0.149,0.291
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.176,0.126,0.503,0.346
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.565,0.513,0.132,0.168
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.087,0.187,0.205,0.068
"P20","Al candidato del Frente de Izquierda",0.09,0.014,0.053,0.023
"P20","No sabe",0.082,0.16,0.107,0.395
"P21","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.166,0.114,0.516,0.374
"P21","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.578,0.567,0.18,0.206
"P21","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.112,0.185,0.187,0.1
"P21","Al candidato del Frente de Izquierda",0.025,0,0.029,0.023
"P21","No sabe",0.119,0.134,0.088,0.297
"P22","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.157,0.126,0.427,0.297
"P22","A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.641,0.439,0.078,0.094
"P22","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.071,0.246,0.27,0.145
"P22","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.025,0.012,0.037,0.062
"P22","No sabe",0.106,0.177,0.188,0.402
"P23","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.164,0.115,0.421,0.325
"P23","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta",0.518,0.538,0.14,0.225
"P23","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.095,0.229,0.249,0.086
"P23","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.009,0.008,0.037,0.062
"P23","No sabe",0.214,0.11,0.153,0.302
"P24","Muy buena",0.225,0.109,0.323,0.176
"P24","Buena",0.124,0.098,0.187,0.17
"P24","Ni buena ni mala",0.283,0.208,0.183,0.274
"P24","Mala",0.147,0.242,0.074,0.138
"P24","Muy mala",0.172,0.318,0.175,0.102
"P24","No sabe",0.01,0.009,0.017,0.035
"P24","No lo conozco",0.039,0.016,0.041,0.105
"P25","Muy buena",0.119,0.027,0.047,0.042
"P25","Buena",0.116,0.055,0.067,0.031
"P25","Ni buena ni mala",0.239,0.274,0.352,0.377
"P25","Mala",0.188,0.153,0.135,0.127
"P25","Muy mala",0.141,0.201,0.131,0.038
"P25","No sabe",0.108,0.206,0.112,0.199
"P25","No lo conozco",0.089,0.084,0.156,0.186
"P26","Muy buena",0.342,0.078,0.02,0.086
"P26","Buena",0.182,0.289,0.076,0.08
"P26","Ni buena ni mala",0.173,0.324,0.208,0.26
"P26","Mala",0.13,0.164,0.222,0.227
"P26","Muy mala",0.092,0.105,0.374,0.213
"P26","No sabe",0.05,0.031,0.024,0.05
"P26","No lo conozco",0.031,0.009,0.076,0.084
"P27","Muy buena",0.229,0.1,0.034,0.048
"P27","Buena",0.082,0.197,0.047,0.044
"P27","Ni buena ni mala",0.245,0.266,0.223,0.223
"P27","Mala",0.067,0.039,0.144,0.192
"P27","Muy mala",0.079,0.054,0.199,0.153
"P27","No sabe",0.134,0.165,0.139,0.103
"P27","No lo conozco",0.164,0.179,0.214,0.237
"P28","Muy buena",0.205,0.02,0.018,0.046
"P28","Buena",0.055,0.072,0.028,0.007
"P28","Ni buena ni mala",0.252,0.263,0.252,0.129
"P28","Mala",0.037,0.054,0.096,0.187
"P28","Muy mala",0.076,0.058,0.135,0.05
"P28","No sabe",0.128,0.229,0.185,0.266
"P28","No lo conozco",0.247,0.304,0.286,0.315
"P29","Muy buena",0.079,0.043,0.032,0.091
"P29","Buena",0.137,0.098,0.024,0.006
"P29","Ni buena ni mala",0.22,0.25,0.229,0.143
"P29","Mala",0.099,0.058,0.145,0.118
"P29","Muy mala",0.163,0.091,0.174,0.12
"P29","No sabe",0.13,0.205,0.128,0.246
"P29","No lo conozco",0.172,0.255,0.268,0.276
"P30","Muy buena",0.206,0.043,0.227,0.092
"P30","Buena",0.117,0.109,0.215,0.147
"P30","Ni buena ni mala",0.239,0.19,0.156,0.199
"P30","Mala",0.157,0.24,0.165,0.329
"P30","Muy mala",0.27,0.377,0.201,0.094
"P30","No sabe",0.011,0.041,0.036,0.139
"P31","Que continúe el intendente Lucas Gui",0.256,0.041,0.222,0.189
"P31","Que continúe Lucas Gui pero con mejoras",0.175,0.156,0.322,0.2
"P31","Que cambie Lucas Gui pero que se mantengan los avances",0.135,0.107,0.097,0.112
"P31","Que cambie el intendente Lucas Gui",0.434,0.696,0.359,0.499
"P32","La seguridad",0.227,0.073,0.058,0.069
"P32","El tránsito",0.052,0.012,0.077,0.041
"P32","El arreglo de las calles",0.129,0.081,0.147,0.055
"P32","Los parques y espacios públicos",0.145,0.112,0.168,0.138
"P32","El sistema de salud",0.038,0.071,0.07,0.04
"P32","La limpieza de las calles",0.06,0.094,0.066,0.077
"P32","El deporte y la cultura",0.015,0.07,0.119,0.18
"P32","La luminaria",0.09,0.101,0.042,0.062
"P32","No sabe",0.244,0.386,0.253,0.338
"P33","La seguridad",0.553,0.535,0.427,0.29
"P33","El tránsito",0.063,0.044,0.068,0.055
"P33","El arreglo de las calles",0.214,0.185,0.202,0.155
"P33","Los parques y espacios públicos",0.033,0.025,0.033,0.047
"P33","El sistema de salud",0.021,0.048,0.057,0.077
"P33","La limpieza de las calles",0.067,0.04,0.038,0.025
"P33","El deporte y la cultura",0.01,0.016,0.012,0.139
"P33","La luminaria",0.012,0.005,0.024,0.026
"P33","No sabe",0.027,0.102,0.139,0.186
"P34","Agua corriente y cloacas",0.348,0.226,0.258,0.237
"P34","Energía eléctrica",0.193,0.172,0.132,0.137
"P34","Red de gas natural",0.056,0.042,0.079,0.059
"P34","Recolección de residuos",0.148,0.261,0.231,0.282
"P34","Ninguno",0.255,0.299,0.3,0.285
"P35","Los robos",0.4,0.483,0.489,0.301
"P35","El narcotráfico",0.117,0.11,0.094,0.15
"P35","La ausencia de patrulleros y personal policial",0.211,0.26,0.231,0.196
"P35","Otro",0.151,0.094,0.116,0.253
"P35","Ninguno",0.121,0.053,0.07,0.1
"P36","Muy buena",0.203,0.067,0.148,0.089
"P36","Buena",0.21,0.11,0.121,0.107
"P36","Ni buena ni mala",0.216,0.279,0.312,0.203
"P36","Mala",0.102,0.233,0.14,0.292
"P36","Muy mala",0.088,0.117,0.118,0.05
"P36","No sabe",0.181,0.194,0.161,0.259
"P37","Lo votaria",0.25,0.04,0.099,0.083
"P37","Puede que lo vote",0.062,0.089,0.225,0.111
"P37","Nunca lo votaría",0.633,0.801,0.588,0.396
"P37","No sabe",0.055,0.07,0.088,0.41
"P38","Lo votaria",0.249,0.053,0.1,0.076
"P38","Puede que lo vote",0.05,0.152,0.251,0.134
"P38","Nunca lo votaría",0.615,0.784,0.543,0.355
"P38","No sabe",0.086,0.011,0.106,0.435
"P39","Lo votaria",0.293,0.043,0.116,0.018
"P39","Puede que lo vote",0.026,0.156,0.255,0.164
"P39","Nunca lo votaría",0.616,0.794,0.566,0.282
"P39","No sabe",0.065,0.007,0.063,0.536
"P41","Lo votaria",0.635,0.46,0.142,0.178
"P41","Puede que lo vote",0.141,0.307,0.13,0.121
"P41","Nunca lo votaría",0.197,0.221,0.703,0.237
"P41","No sabe",0.027,0.012,0.025,0.464
"P42","Lo votaria",0.291,0.076,0.065,0.051
"P42","Puede que lo vote",0.218,0.383,0.164,0.105
"P42","Nunca lo votaría",0.334,0.442,0.687,0.319
"P42","No sabe",0.157,0.099,0.084,0.525
"P43","Lo votaria",0.281,0.081,0.029,0.05
"P43","Puede que lo vote",0.26,0.352,0.091,0.074
"P43","Nunca lo votaría",0.362,0.412,0.794,0.358
"P43","No sabe",0.097,0.155,0.086,0.518
"P44","Lo votaria",0.31,0.25,0.259,0.072
"P44","Puede que lo vote",0.132,0.332,0.082,0.195
"P44","Nunca lo votaría",0.482,0.388,0.624,0.399
"P44","No sabe",0.076,0.03,0.035,0.334
"P45","Lo votaria",0.208,0.156,0.13,0.043
"P45","Puede que lo vote",0.269,0.404,0.121,0.248
"P45","Nunca lo votaría",0.414,0.364,0.7,0.352
"P45","No sabe",0.109,0.076,0.049,0.357
"P46","Muy buena",0.19,0.015,0.075,0.005
"P46","Buena",0.067,0.075,0.149,0.115
"P46","Ni buena ni mala",0.128,0.082,0.244,0.318
"P46","Mala",0.147,0.129,0.213,0.296
"P46","Muy mala",0.459,0.697,0.319,0.23
"P46","No sabe",0.009,0.002,0,0.036
"P47","Muy buena",0.444,0.208,0.09,0.109
"P47","Buena",0.163,0.292,0.105,0.147
"P47","Ni buena ni mala",0.108,0.15,0.123,0.174
