"var","categoria","Precio","Calidad","Ambas","Compra sin ningún tipo de consideración"
"P05","Gran excedente habitual",0.006,0.024,0.008,0.084
"P05","Gran excedente excepcional",0,0.004,0.016,0.008
"P05","Pequeño excedente habitual",0.014,0.095,0.081,0.097
"P05","Pequeño excedente excepcional",0.029,0.111,0.117,0.077
"P05","Alcanza gastos familia",0.072,0.152,0.211,0.193
"P05","No alcanza gastos familia",0.128,0.103,0.119,0.125
"P05","Solo NBFamiliares",0.272,0.226,0.244,0.18
"P05","No alcanza NBFamiliares",0.464,0.263,0.189,0.232
"P05","No sabe",0.015,0.022,0.015,0.004
"P06","Todos los días",0.106,0.234,0.205,0.221
"P06","Entre 4 y 6 días a la semana",0.188,0.332,0.31,0.247
"P06","Entre 1 y 3 días a la semana",0.328,0.278,0.352,0.283
"P06","Raramente",0.31,0.127,0.112,0.153
"P06","Nunca",0.068,0.029,0.021,0.096
"P07","Todos los días",0.056,0.134,0.064,0.204
"P07","Entre 4 y 6 días a la semana",0.095,0.257,0.247,0.138
"P07","Entre 1 y 3 días a la semana",0.358,0.321,0.468,0.308
"P07","Raramente",0.39,0.213,0.181,0.193
"P07","Nunca",0.101,0.075,0.04,0.157
"P08","Todos los días",0.05,0.089,0.053,0.168
"P08","Entre 4 y 6 días a la semana",0.152,0.238,0.201,0.138
"P08","Entre 1 y 3 días a la semana",0.363,0.433,0.538,0.328
"P08","Raramente",0.372,0.172,0.172,0.269
"P08","Nunca",0.063,0.068,0.036,0.097
"P09","Todos los días",0.052,0.065,0.027,0.106
"P09","Entre 4 y 6 días a la semana",0.055,0.084,0.067,0.095
"P09","Entre 1 y 3 días a la semana",0.151,0.204,0.228,0.157
"P09","Raramente",0.437,0.404,0.455,0.415
"P09","Nunca",0.305,0.243,0.223,0.227
"P10","Todos los días",0.088,0.106,0.071,0.193
"P10","Entre 4 y 6 días a la semana",0.123,0.113,0.176,0.119
"P10","Entre 1 y 3 días a la semana",0.207,0.292,0.3,0.265
"P10","Raramente",0.431,0.342,0.355,0.287
"P10","Nunca",0.151,0.147,0.098,0.136
"P11","Todos los días",0.071,0.266,0.226,0.281
"P11","Entre 4 y 6 días a la semana",0.114,0.203,0.212,0.125
"P11","Entre 1 y 3 días a la semana",0.2,0.272,0.299,0.249
"P11","Raramente",0.459,0.191,0.207,0.249
"P11","Nunca",0.156,0.068,0.056,0.096
"P12","Todos los días",0.142,0.387,0.339,0.338
"P12","Entre 4 y 6 días a la semana",0.143,0.197,0.217,0.158
"P12","Entre 1 y 3 días a la semana",0.258,0.188,0.241,0.201
"P12","Raramente",0.353,0.177,0.159,0.201
"P12","Nunca",0.104,0.051,0.044,0.102
"P13","Todos los días",0.074,0.121,0.051,0.152
"P13","Entre 4 y 6 días a la semana",0.087,0.124,0.104,0.098
"P13","Entre 1 y 3 días a la semana",0.286,0.247,0.313,0.323
"P13","Raramente",0.369,0.388,0.414,0.316
"P13","Nunca",0.184,0.12,0.118,0.111
"P14","Todos los días",0.285,0.297,0.252,0.348
"P14","Entre 4 y 6 días a la semana",0.215,0.234,0.246,0.305
"P14","Entre 1 y 3 días a la semana",0.212,0.228,0.319,0.183
"P14","Raramente",0.216,0.19,0.152,0.125
"P14","Nunca",0.072,0.051,0.031,0.039
"P15","Todos los días",0.158,0.13,0.083,0.206
"P15","Entre 4 y 6 días a la semana",0.181,0.217,0.224,0.201
"P15","Entre 1 y 3 días a la semana",0.341,0.355,0.46,0.334
"P15","Raramente",0.239,0.246,0.203,0.199
"P15","Nunca",0.081,0.052,0.03,0.06
"P16","Menos de un vaso al día",0.124,0.069,0.056,0.088
"P16","De 1 a 4 vasos al día",0.312,0.358,0.325,0.247
"P16","Más de 4 vasos al día",0.486,0.511,0.58,0.592
"P16","No consume agua",0.078,0.062,0.039,0.073
"P17","Agua embotellada/mineral",0.127,0.217,0.173,0.214
"P17","Agua de la canilla filtrada",0.249,0.347,0.317,0.262
"P17","Agua de la canilla directamente",0.491,0.287,0.343,0.359
"P17","Agua de bidón",0.125,0.136,0.163,0.103
"P17","No consume agua",0.008,0.013,0.004,0.062
"P18","Todos los días",0.048,0.071,0.057,0.165
"P18","Entre 4 y 6 días a la semana",0.049,0.11,0.077,0.075
"P18","Entre 1 y 3 días a la semana",0.127,0.218,0.248,0.189
"P18","Raramente",0.336,0.306,0.346,0.287
"P18","Nunca",0.44,0.295,0.272,0.284
"P19","Vino",0.167,0.319,0.292,0.297
"P19","Cerveza",0.163,0.156,0.217,0.147
"P19","Destilados (whisky, vodka, ron, etc.)",0.039,0.067,0.048,0.118
"P19","Espumantes",0.048,0.045,0.032,0.056
"P19","Otros",0.108,0.107,0.095,0.095
"P19","No consume bebidas alcohólicas",0.475,0.306,0.316,0.287
