"var","categoria","Bajo peso","Sobrepeso","Obesidad","Normal","No sabe"
"P05","Gran excedente habitual",0.052,0.021,0.004,0.011,0.004
"P05","Gran excedente excepcional",0.009,0.015,0.02,0.007,0.003
"P05","Pequeño excedente habitual",0.012,0.068,0.057,0.069,0.059
"P05","Pequeño excedente excepcional",0.051,0.083,0.095,0.094,0.071
"P05","Alcanza gastos familia",0.104,0.145,0.126,0.187,0.091
"P05","No alcanza gastos familia",0.114,0.123,0.093,0.106,0.193
"P05","Solo NBFamiliares",0.192,0.254,0.266,0.251,0.256
"P05","No alcanza NBFamiliares",0.453,0.274,0.317,0.259,0.317
"P05","No sabe",0.013,0.017,0.022,0.016,0.006
"P06","Todos los días",0.23,0.164,0.216,0.19,0.132
"P06","Entre 4 y 6 días a la semana",0.183,0.3,0.256,0.304,0.163
"P06","Entre 1 y 3 días a la semana",0.301,0.334,0.345,0.312,0.37
"P06","Raramente",0.2,0.165,0.156,0.165,0.259
"P06","Nunca",0.086,0.037,0.027,0.029,0.076
"P07","Todos los días",0.149,0.083,0.061,0.072,0.082
"P07","Entre 4 y 6 días a la semana",0.183,0.217,0.213,0.204,0.12
"P07","Entre 1 y 3 días a la semana",0.274,0.408,0.367,0.422,0.336
"P07","Raramente",0.295,0.237,0.317,0.238,0.312
"P07","Nunca",0.099,0.055,0.042,0.064,0.15
"P08","Todos los días",0.229,0.04,0.041,0.067,0.029
"P08","Entre 4 y 6 días a la semana",0.142,0.228,0.218,0.175,0.17
"P08","Entre 1 y 3 días a la semana",0.259,0.469,0.45,0.486,0.397
"P08","Raramente",0.276,0.225,0.257,0.221,0.33
"P08","Nunca",0.094,0.038,0.034,0.051,0.074
"P09","Todos los días",0.185,0.057,0.013,0.024,0.04
"P09","Entre 4 y 6 días a la semana",0.104,0.078,0.109,0.06,0.052
"P09","Entre 1 y 3 días a la semana",0.129,0.232,0.185,0.206,0.128
"P09","Raramente",0.302,0.423,0.448,0.466,0.432
