"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Helado",0.299,0.317,0.283,0.343,0.31,0.307,0.233,0.284,0.293,0.321,0.33,0.298,0.351,0.316,0.38,0.298,0.283,0.294,0.182,0.283
"Tortas, tartas dulces y masas",0.145,0.12,0.167,0.181,0.166,0.126,0.094,0.116,0.152,0.16,0.136,0.155,0.16,0.118,0.081,0.169,0.142,0.111,0.18,0.145
"Ensalada de frutas",0.178,0.19,0.167,0.16,0.168,0.189,0.199,0.193,0.179,0.165,0.16,0.178,0.14,0.178,0.203,0.196,0.208,0.14,0.196,0.214
"Flan, budín de pan y similares",0.105,0.115,0.097,0.104,0.114,0.096,0.103,0.119,0.104,0.096,0.119,0.119,0.099,0.119,0.114,0.088,0.092,0.043,0.138,0.087
"Dulce de batata, membrillo o similares",0.065,0.068,0.063,0.051,0.055,0.067,0.094,0.057,0.069,0.066,0.067,0.056,0.064,0.057,0.038,0.035,0.096,0.136,0.052,0.028
"Facturas de todo tipo",0.041,0.042,0.04,0.038,0.046,0.035,0.042,0.051,0.039,0.035,0.024,0.041,0.054,0.058,0.007,0.041,0.032,0.038,0.036,0.051
"Postres lácteos caseros o envasados de cualquier tipo",0.031,0.027,0.035,0.017,0.022,0.036,0.054,0.029,0.031,0.033,0.033,0.032,0.021,0.02,0.016,0.051,0.018,0.067,0.047,0.022
"Gelatina",0.032,0.026,0.037,0.01,0.033,0.035,0.043,0.03,0.033,0.032,0.022,0.036,0.02,0.017,0.099,0.034,0.028,0.052,0.049,0.03
"Panqueques, wafles y similares",0.021,0.014,0.026,0.017,0.023,0.018,0.024,0.023,0.017,0.022,0.035,0.032,0.017,0.014,0.028,0.007,0.015,0.017,0.019,0.011
"Ninguno de los anteriores",0.083,0.081,0.085,0.079,0.063,0.091,0.114,0.098,0.083,0.07,0.074,0.053,0.074,0.103,0.034,0.081,0.086,0.102,0.101,0.129
