"var","categoria","Diabetes","Hipertensión","Enfermedades cardiovasculares","Celiaquía","Ninguna","No sabe"
"P05","Gran excedente habitual",0.025,0.005,0.003,0.03,0.019,0.005
"P05","Gran excedente excepcional",0.017,0.016,0.031,0.006,0.006,0.001
"P05","Pequeño excedente habitual",0.037,0.039,0.025,0.026,0.089,0.041
"P05","Pequeño excedente excepcional",0.052,0.093,0.088,0.128,0.092,0.045
"P05","Alcanza gastos familia",0.116,0.186,0.111,0.153,0.166,0.079
"P05","No alcanza gastos familia",0.128,0.13,0.144,0.078,0.11,0.163
"P05","Solo NBFamiliares",0.245,0.245,0.175,0.294,0.235,0.302
"P05","No alcanza NBFamiliares",0.368,0.27,0.397,0.281,0.269,0.335
"P05","No sabe",0.012,0.016,0.026,0.004,0.014,0.029
"P06","Todos los días",0.202,0.165,0.167,0.19,0.189,0.13
"P06","Entre 4 y 6 días a la semana",0.26,0.276,0.338,0.284,0.284,0.187
"P06","Entre 1 y 3 días a la semana",0.291,0.352,0.281,0.259,0.336,0.335
"P06","Raramente",0.188,0.184,0.185,0.219,0.159,0.235
"P06","Nunca",0.059,0.023,0.029,0.048,0.032,0.113
"P07","Todos los días",0.155,0.065,0.069,0.059,0.08,0.077
"P07","Entre 4 y 6 días a la semana",0.153,0.222,0.183,0.222,0.207,0.111
"P07","Entre 1 y 3 días a la semana",0.316,0.411,0.44,0.35,0.401,0.434
"P07","Raramente",0.313,0.236,0.271,0.283,0.243,0.264
"P07","Nunca",0.063,0.066,0.037,0.086,0.069,0.114
"P08","Todos los días",0.131,0.067,0.049,0.07,0.062,0.041
"P08","Entre 4 y 6 días a la semana",0.175,0.193,0.186,0.152,0.193,0.168
"P08","Entre 1 y 3 días a la semana",0.398,0.464,0.447,0.459,0.474,0.366
"P08","Raramente",0.248,0.236,0.261,0.255,0.221,0.335
"P08","Nunca",0.048,0.04,0.057,0.064,0.05,0.09
"P09","Todos los días",0.095,0.039,0.013,0.05,0.042,0.049
"P09","Entre 4 y 6 días a la semana",0.065,0.06,0.124,0.047,0.072,0.072
"P09","Entre 1 y 3 días a la semana",0.138,0.156,0.158,0.219,0.224,0.178
"P09","Raramente",0.425,0.427,0.419,0.454,0.447,0.403
"P09","Nunca",0.277,0.318,0.286,0.23,0.215,0.298
"P10","Todos los días",0.108,0.076,0.076,0.117,0.093,0.112
"P10","Entre 4 y 6 días a la semana",0.097,0.144,0.22,0.076,0.166,0.101
"P10","Entre 1 y 3 días a la semana",0.211,0.268,0.212,0.283,0.29,0.201
"P10","Raramente",0.42,0.396,0.327,0.38,0.349,0.39
"P10","Nunca",0.164,0.116,0.165,0.144,0.102,0.196
"P11","Todos los días",0.197,0.187,0.181,0.221,0.197,0.098
"P11","Entre 4 y 6 días a la semana",0.141,0.179,0.239,0.168,0.185,0.115
"P11","Entre 1 y 3 días a la semana",0.229,0.266,0.215,0.252,0.279,0.19
"P11","Raramente",0.304,0.263,0.247,0.286,0.271,0.402
"P11","Nunca",0.129,0.105,0.118,0.073,0.068,0.195
"P12","Todos los días",0.28,0.279,0.242,0.313,0.3,0.182
"P12","Entre 4 y 6 días a la semana",0.167,0.192,0.178,0.18,0.202,0.129
"P12","Entre 1 y 3 días a la semana",0.275,0.241,0.175,0.239,0.234,0.217
"P12","Raramente",0.186,0.215,0.327,0.209,0.217,0.324
"P12","Nunca",0.092,0.073,0.078,0.059,0.047,0.148
"P13","Todos los días",0.15,0.062,0.048,0.128,0.063,0.064
"P13","Entre 4 y 6 días a la semana",0.047,0.097,0.136,0.146,0.109,0.061
"P13","Entre 1 y 3 días a la semana",0.271,0.276,0.19,0.297,0.308,0.299
"P13","Raramente",0.354,0.43,0.469,0.295,0.394,0.377
"P13","Nunca",0.178,0.135,0.157,0.134,0.126,0.199
"P14","Todos los días",0.295,0.256,0.272,0.223,0.275,0.267
"P14","Entre 4 y 6 días a la semana",0.186,0.217,0.179,0.187,0.264,0.266
"P14","Entre 1 y 3 días a la semana",0.249,0.314,0.23,0.285,0.262,0.219
"P14","Raramente",0.187,0.183,0.263,0.16,0.167,0.178
"P14","Nunca",0.083,0.03,0.056,0.145,0.032,0.07
"P15","Todos los días",0.176,0.111,0.104,0.154,0.112,0.137
"P15","Entre 4 y 6 días a la semana",0.182,0.187,0.253,0.209,0.219,0.138
"P15","Entre 1 y 3 días a la semana",0.336,0.402,0.349,0.381,0.425,0.368
"P15","Raramente",0.209,0.255,0.25,0.184,0.199,0.296
"P15","Nunca",0.097,0.045,0.044,0.072,0.045,0.061
"P16","Menos de un vaso al día",0.127,0.06,0.071,0.104,0.076,0.108
"P16","De 1 a 4 vasos al día",0.321,0.335,0.346,0.321,0.304,0.351
"P16","Más de 4 vasos al día",0.459,0.553,0.505,0.512,0.571,0.462
"P16","No consume agua",0.093,0.052,0.078,0.063,0.049,0.079
"P17","Agua embotellada/mineral",0.26,0.155,0.197,0.166,0.164,0.102
"P17","Agua de la canilla filtrada",0.291,0.318,0.313,0.298,0.31,0.219
"P17","Agua de la canilla directamente",0.293,0.393,0.347,0.388,0.375,0.482
"P17","Agua de bidón",0.143,0.128,0.135,0.145,0.142,0.152
"P17","No consume agua",0.013,0.006,0.008,0.003,0.009,0.045
"P18","Todos los días",0.159,0.046,0.072,0.066,0.046,0.096
