"var","categoria","Todos los días","Entre 4 y 6 días a la semana","Entre 1 y 3 días a la semana","Raramente","Nunca"
"P05","Gran excedente habitual",0.06,0.022,0.019,0.009,0.006
"P05","Gran excedente excepcional",0.01,0.005,0.015,0.014,0.002
"P05","Pequeño excedente habitual",0.07,0.093,0.102,0.054,0.031
"P05","Pequeño excedente excepcional",0.073,0.087,0.128,0.083,0.056
"P05","Alcanza gastos familia",0.188,0.189,0.187,0.154,0.103
"P05","No alcanza gastos familia",0.065,0.108,0.099,0.125,0.144
"P05","Solo NBFamiliares",0.216,0.245,0.252,0.259,0.244
"P05","No alcanza NBFamiliares",0.297,0.228,0.189,0.291,0.395
"P05","No sabe",0.021,0.023,0.009,0.011,0.019
"P06","Todos los días",0.29,0.191,0.195,0.18,0.142
"P06","Entre 4 y 6 días a la semana",0.224,0.378,0.316,0.265,0.226
"P06","Entre 1 y 3 días a la semana",0.263,0.275,0.341,0.385,0.319
"P06","Raramente",0.13,0.134,0.133,0.139,0.246
"P06","Nunca",0.093,0.022,0.015,0.031,0.067
"P07","Todos los días",0.29,0.078,0.068,0.063,0.07
"P07","Entre 4 y 6 días a la semana",0.176,0.283,0.263,0.198,0.143
"P07","Entre 1 y 3 días a la semana",0.271,0.4,0.449,0.416,0.346
"P07","Raramente",0.186,0.2,0.174,0.282,0.321
"P07","Nunca",0.077,0.039,0.046,0.041,0.12
"P08","Todos los días",0.222,0.038,0.055,0.059,0.055
"P08","Entre 4 y 6 días a la semana",0.15,0.325,0.2,0.191,0.151
"P08","Entre 1 y 3 días a la semana",0.348,0.446,0.549,0.49,0.388
"P08","Raramente",0.163,0.178,0.162,0.236,0.317
"P08","Nunca",0.117,0.013,0.034,0.024,0.089
"P09","Todos los días",0.216,0.042,0.055,0.025,0.023
"P09","Entre 4 y 6 días a la semana",0.081,0.135,0.092,0.051,0.057
"P09","Entre 1 y 3 días a la semana",0.168,0.232,0.268,0.215,0.139
"P09","Raramente",0.344,0.447,0.428,0.496,0.387
"P09","Nunca",0.191,0.144,0.157,0.213,0.394
"P10","Todos los días",0.323,0.08,0.098,0.062,0.073
"P10","Entre 4 y 6 días a la semana",0.11,0.203,0.196,0.14,0.12
"P10","Entre 1 y 3 días a la semana",0.236,0.289,0.321,0.264,0.204
"P10","Raramente",0.219,0.329,0.307,0.44,0.41
"P10","Nunca",0.112,0.099,0.078,0.094,0.193
"P11","Todos los días",0.403,0.188,0.207,0.161,0.153
"P11","Entre 4 y 6 días a la semana",0.155,0.265,0.225,0.163,0.132
"P11","Entre 1 y 3 días a la semana",0.176,0.248,0.307,0.304,0.21
"P11","Raramente",0.152,0.225,0.207,0.326,0.344
"P11","Nunca",0.114,0.074,0.054,0.046,0.161
"P12","Todos los días",0.474,0.352,0.339,0.256,0.222
"P12","Entre 4 y 6 días a la semana",0.147,0.21,0.232,0.188,0.142
"P12","Entre 1 y 3 días a la semana",0.164,0.232,0.248,0.271,0.219
"P12","Raramente",0.133,0.135,0.152,0.234,0.289
"P12","Nunca",0.082,0.071,0.029,0.051,0.128
"P13","Todos los días",0.297,0.079,0.068,0.041,0.063
"P13","Entre 4 y 6 días a la semana",0.071,0.201,0.114,0.079,0.088
"P13","Entre 1 y 3 días a la semana",0.224,0.3,0.367,0.331,0.227
"P13","Raramente",0.271,0.313,0.381,0.437,0.393
"P13","Nunca",0.137,0.107,0.07,0.112,0.229
"P14","Todos los días",0.465,0.253,0.26,0.267,0.237
"P14","Entre 4 y 6 días a la semana",0.195,0.351,0.279,0.234,0.202
"P14","Entre 1 y 3 días a la semana",0.144,0.214,0.291,0.29,0.262
"P14","Raramente",0.115,0.167,0.149,0.176,0.215
"P14","Nunca",0.081,0.015,0.021,0.033,0.084
"P15","Todos los días",0.263,0.087,0.111,0.095,0.122
"P15","Entre 4 y 6 días a la semana",0.15,0.317,0.217,0.214,0.197
"P15","Entre 1 y 3 días a la semana",0.292,0.367,0.469,0.429,0.322
"P15","Raramente",0.191,0.181,0.185,0.225,0.265
"P15","Nunca",0.104,0.048,0.018,0.037,0.094
"P16","Menos de un vaso al día",0.259,0.104,0.079,0.079,0.079
"P16","De 1 a 4 vasos al día",0.282,0.389,0.33,0.315,0.31
"P16","Más de 4 vasos al día",0.337,0.463,0.55,0.547,0.558
"P16","No consume agua",0.122,0.044,0.041,0.059,0.053
"P17","Agua embotellada/mineral",0.487,0.127,0.171,0.153,0.129
"P17","Agua de la canilla filtrada",0.187,0.605,0.24,0.292,0.286
"P17","Agua de la canilla directamente",0.191,0.173,0.485,0.352,0.438
"P17","Agua de bidón",0.075,0.088,0.097,0.199,0.133
"P17","No consume agua",0.06,0.007,0.007,0.004,0.014
"P19","Vino",0.604,0.403,0.397,0.296,0.015
"P19","Cerveza",0.096,0.328,0.264,0.274,0.015
"P19","Destilados (whisky, vodka, ron, etc.)",0.112,0.037,0.16,0.035,0.003
"P19","Espumantes",0.02,0.007,0.011,0.107,0.004
"P19","Otros",0.029,0.064,0.064,0.115,0.162
"P19","No consume bebidas alcohólicas",0.139,0.161,0.104,0.173,0.801
"P20","Todos los días",0.354,0.14,0.102,0.111,0.117
"P20","Entre 4 y 6 días a la semana",0.092,0.168,0.135,0.116,0.068
"P20","Entre 1 y 3 días a la semana",0.11,0.169,0.266,0.161,0.11
"P20","Raramente",0.236,0.269,0.338,0.409,0.382
"P20","Nunca",0.208,0.254,0.159,0.203,0.323
"P21","Todos los días",0.826,0.775,0.745,0.771,0.761
"P21","Entre 4 y 6 días a la semana",0.058,0.101,0.096,0.083,0.073
"P21","Entre 1 y 3 días a la semana",0.027,0.028,0.066,0.042,0.052
"P21","Raramente",0.043,0.054,0.05,0.076,0.065
"P21","Nunca",0.046,0.042,0.043,0.028,0.049
"P22","Asado",0.517,0.44,0.489,0.418,0.358
"P22","Pizza",0.097,0.117,0.072,0.072,0.07
"P22","Milanesa",0.096,0.142,0.162,0.174,0.156
"P22","Pastas",0.064,0.113,0.082,0.099,0.09
"P22","Empanadas",0.039,0.029,0.033,0.039,0.044
"P22","Hamburguesa",0.006,0.002,0.016,0.021,0.013
"P22","Ensaladas (de cualquier tipo)",0.052,0.074,0.051,0.077,0.091
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.077,0.034,0.054,0.071,0.097
"P22","Polenta o similares (de cualquier tipo)",0.022,0.025,0.021,0.016,0.032
"P22","Ninguno de los anteriores",0.03,0.024,0.02,0.013,0.049
"P23","Asado",0.309,0.135,0.135,0.091,0.081
"P23","Pizza",0.063,0.143,0.092,0.073,0.053
"P23","Milanesa",0.155,0.219,0.264,0.253,0.181
"P23","Pastas",0.111,0.149,0.144,0.164,0.163
"P23","Empanadas",0.079,0.05,0.051,0.046,0.037
"P23","Hamburguesa",0.014,0.015,0.019,0.015,0.024
"P23","Ensaladas (de cualquier tipo)",0.115,0.104,0.121,0.116,0.109
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.064,0.101,0.064,0.118,0.141
"P23","Polenta o similares (de cualquier tipo)",0.041,0.037,0.036,0.065,0.131
"P23","Ninguno de los anteriores",0.049,0.047,0.074,0.059,0.08
"P24","Helado",0.339,0.292,0.36,0.324,0.234
"P24","Tortas, tartas dulces y masas",0.145,0.167,0.147,0.139,0.143
"P24","Ensalada de frutas",0.099,0.159,0.169,0.186,0.196
"P24","Flan, budín de pan y similares",0.117,0.123,0.1,0.106,0.103
"P24","Dulce de batata, membrillo o similares",0.14,0.085,0.055,0.066,0.052
"P24","Facturas de todo tipo",0.032,0.025,0.037,0.037,0.052
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.019,0.023,0.029,0.028,0.039
"P24","Gelatina",0.002,0.019,0.027,0.024,0.05
"P24","Panqueques, wafles y similares",0.014,0.031,0.021,0.024,0.016
"P24","Ninguno de los anteriores",0.093,0.076,0.055,0.066,0.115
"P25","Helado",0.259,0.171,0.176,0.15,0.102
"P25","Tortas, tartas dulces y masas",0.179,0.176,0.178,0.14,0.104
"P25","Ensalada de frutas",0.081,0.135,0.089,0.107,0.098
"P25","Flan, budín de pan y similares",0.054,0.048,0.035,0.064,0.052
"P25","Dulce de batata, membrillo o similares",0.159,0.129,0.114,0.096,0.1
"P25","Facturas de todo tipo",0.063,0.042,0.08,0.085,0.07
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.023,0.037,0.027,0.018,0.028
"P25","Gelatina",0.042,0.041,0.024,0.042,0.061
"P25","Panqueques, wafles y similares",0.011,0.008,0.017,0.022,0.008
"P25","Ninguno de los anteriores",0.129,0.213,0.26,0.276,0.377
"P26","Vegetariano",0.153,0.058,0.066,0.058,0.056
"P26","Vegano",0.116,0.068,0.041,0.022,0.03
"P26","Dieta baja en carnes rojas",0.095,0.16,0.13,0.153,0.135
"P26","Dieta baja en carbohidratos",0.113,0.109,0.09,0.096,0.063
"P26","Dieta baja en azúcares",0.102,0.144,0.1,0.111,0.118
"P26","Kosher o Alal",0.035,0.014,0.012,0.01,0.012
"P26","Ninguna restricción alimentaria",0.386,0.447,0.561,0.55,0.586
"P27","Bajo peso",0.23,0.072,0.061,0.056,0.091
"P27","Sobrepeso",0.213,0.347,0.281,0.274,0.206
"P27","Obesidad",0.066,0.048,0.054,0.081,0.063
"P27","Normal",0.421,0.458,0.498,0.504,0.49
"P27","No sabe",0.07,0.075,0.106,0.085,0.15
"P28","Diabetes",0.244,0.079,0.063,0.094,0.099
"P28","Hipertensión",0.131,0.245,0.141,0.183,0.198
"P28","Enfermedades cardiovasculares",0.048,0.029,0.04,0.038,0.049
"P28","Celiaquía",0.077,0.075,0.092,0.075,0.062
"P28","Ninguna",0.37,0.517,0.618,0.536,0.471
"P28","No sabe",0.13,0.055,0.046,0.074,0.121
"P29","Todos los días",0.277,0.071,0.05,0.023,0.019
"P29","Entre 4 y 6 días a la semana",0.034,0.111,0.065,0.045,0.023
"P29","Entre 1 y 3 días a la semana",0.12,0.152,0.202,0.109,0.077
"P29","Raramente",0.285,0.294,0.35,0.384,0.187
"P29","Nunca",0.284,0.372,0.333,0.439,0.694
"P30","Todos los días",0.24,0.062,0.029,0.009,0.021
"P30","Entre 4 y 6 días a la semana",0.065,0.051,0.036,0.019,0.008
"P30","Entre 1 y 3 días a la semana",0.094,0.16,0.198,0.094,0.066
"P30","Raramente",0.289,0.253,0.406,0.412,0.222
"P30","Nunca",0.312,0.474,0.331,0.466,0.683
"P31","Todos los días",0.614,0.55,0.556,0.616,0.668
"P31","Entre 4 y 6 días a la semana",0.165,0.243,0.227,0.19,0.118
"P31","Entre 1 y 3 días a la semana",0.048,0.094,0.095,0.062,0.068
"P31","Raramente",0.079,0.043,0.083,0.067,0.054
"P31","Nunca",0.094,0.07,0.039,0.065,0.092
"P32","Menos de 1 comida al día",0.296,0.151,0.152,0.127,0.203
"P32","1 comida",0.218,0.276,0.248,0.328,0.361
"P32","2 comidas",0.222,0.265,0.262,0.246,0.223
"P32","3 comidas",0.106,0.139,0.179,0.153,0.115
"P32","4 comidas",0.109,0.151,0.127,0.116,0.08
"P32","Más de 4 comidas",0.049,0.018,0.032,0.03,0.018
"P33","Precio",0.228,0.204,0.194,0.311,0.412
"P33","Calidad",0.169,0.228,0.165,0.141,0.137
"P33","Ambas",0.412,0.491,0.571,0.484,0.387
"P33","Compra sin ningún tipo de consideración",0.191,0.077,0.07,0.064,0.064
"P34","Menos de 1 vez a la semana",0.229,0.165,0.185,0.186,0.258
"P34","1 vez a la semana",0.206,0.306,0.268,0.309,0.26
"P34","Entre 1 a 4 veces a la semana",0.259,0.38,0.382,0.304,0.231
"P34","Más de 4 veces a la semana",0.173,0.128,0.121,0.139,0.131
"P34","No sabe",0.133,0.021,0.044,0.062,0.12
"P35","Hipermercado/Supermercado",0.534,0.408,0.488,0.497,0.452
"P35","Almacenes",0.2,0.27,0.253,0.247,0.259
"P35","Productores locales/mercados de cercanía/Ferias",0.121,0.234,0.208,0.167,0.202
"P35","Vía pública",0.061,0.019,0.015,0.032,0.029
"P35","No sabe",0.084,0.069,0.036,0.057,0.058
