"var","categoria","Vino","Cerveza","Destilados (whisky, vodka, ron, etc.)","Espumantes","Otros","No consume bebidas alcohólicas"
"P05","Gran excedente habitual",0.018,0.018,0.059,0.011,0.014,0.005
"P05","Gran excedente excepcional",0.007,0.009,0.036,0.056,0.007,0.002
"P05","Pequeño excedente habitual",0.09,0.08,0.097,0.084,0.036,0.029
"P05","Pequeño excedente excepcional",0.097,0.07,0.169,0.096,0.102,0.061
"P05","Alcanza gastos familia",0.213,0.166,0.174,0.1,0.124,0.104
"P05","No alcanza gastos familia",0.092,0.139,0.098,0.074,0.107,0.145
"P05","Solo NBFamiliares",0.26,0.258,0.184,0.23,0.24,0.249
"P05","No alcanza NBFamiliares",0.206,0.251,0.168,0.329,0.366,0.385
"P05","No sabe",0.017,0.009,0.015,0.02,0.004,0.02
"P06","Todos los días",0.23,0.179,0.249,0.223,0.163,0.135
"P06","Entre 4 y 6 días a la semana",0.318,0.288,0.207,0.271,0.232,0.241
"P06","Entre 1 y 3 días a la semana",0.307,0.366,0.325,0.387,0.332,0.345
"P06","Raramente",0.118,0.131,0.148,0.072,0.229,0.225
"P06","Nunca",0.027,0.036,0.071,0.047,0.044,0.054
"P07","Todos los días",0.116,0.07,0.154,0.057,0.048,0.068
"P07","Entre 4 y 6 días a la semana",0.225,0.255,0.249,0.227,0.165,0.15
"P07","Entre 1 y 3 días a la semana",0.422,0.412,0.345,0.403,0.378,0.366
"P07","Raramente",0.206,0.219,0.17,0.272,0.316,0.309
"P07","Nunca",0.031,0.044,0.082,0.041,0.093,0.107
"P08","Todos los días",0.084,0.053,0.109,0.057,0.07,0.053
"P08","Entre 4 y 6 días a la semana",0.188,0.229,0.186,0.235,0.177,0.166
"P08","Entre 1 y 3 días a la semana",0.521,0.491,0.459,0.44,0.367,0.422
"P08","Raramente",0.175,0.191,0.166,0.254,0.311,0.289
"P08","Nunca",0.032,0.036,0.08,0.014,0.075,0.07
"P09","Todos los días",0.06,0.048,0.161,0.022,0.042,0.017
"P09","Entre 4 y 6 días a la semana",0.068,0.099,0.096,0.045,0.068,0.057
"P09","Entre 1 y 3 días a la semana",0.183,0.274,0.277,0.207,0.202,0.154
"P09","Raramente",0.477,0.423,0.359,0.606,0.427,0.401
"P09","Nunca",0.212,0.156,0.107,0.12,0.261,0.371
"P10","Todos los días",0.093,0.088,0.215,0.073,0.069,0.081
"P10","Entre 4 y 6 días a la semana",0.157,0.223,0.162,0.113,0.112,0.117
"P10","Entre 1 y 3 días a la semana",0.303,0.307,0.271,0.268,0.241,0.201
"P10","Raramente",0.355,0.324,0.278,0.481,0.393,0.42
"P10","Nunca",0.092,0.058,0.074,0.065,0.185,0.181
"P11","Todos los días",0.27,0.155,0.213,0.187,0.144,0.154
"P11","Entre 4 y 6 días a la semana",0.219,0.176,0.21,0.19,0.13,0.146
"P11","Entre 1 y 3 días a la semana",0.237,0.332,0.324,0.237,0.256,0.239
"P11","Raramente",0.217,0.271,0.146,0.372,0.33,0.337
"P11","Nunca",0.057,0.066,0.107,0.014,0.14,0.124
"P12","Todos los días",0.365,0.284,0.352,0.216,0.23,0.241
"P12","Entre 4 y 6 días a la semana",0.201,0.205,0.253,0.177,0.156,0.154
"P12","Entre 1 y 3 días a la semana",0.227,0.288,0.179,0.22,0.262,0.224
"P12","Raramente",0.161,0.182,0.132,0.308,0.247,0.278
"P12","Nunca",0.046,0.041,0.084,0.079,0.105,0.103
"P13","Todos los días",0.077,0.059,0.141,0.082,0.082,0.064
"P13","Entre 4 y 6 días a la semana",0.111,0.106,0.07,0.076,0.08,0.097
"P13","Entre 1 y 3 días a la semana",0.345,0.328,0.265,0.329,0.276,0.257
"P13","Raramente",0.371,0.404,0.374,0.401,0.397,0.387
"P13","Nunca",0.096,0.103,0.15,0.112,0.165,0.195
"P14","Todos los días",0.287,0.294,0.354,0.228,0.207,0.249
"P14","Entre 4 y 6 días a la semana",0.224,0.312,0.184,0.223,0.265,0.215
"P14","Entre 1 y 3 días a la semana",0.3,0.238,0.243,0.242,0.236,0.272
"P14","Raramente",0.154,0.141,0.156,0.264,0.22,0.195
"P14","Nunca",0.035,0.015,0.063,0.043,0.072,0.069
"P15","Todos los días",0.118,0.096,0.181,0.114,0.105,0.122
"P15","Entre 4 y 6 días a la semana",0.195,0.241,0.147,0.242,0.217,0.209
"P15","Entre 1 y 3 días a la semana",0.434,0.454,0.45,0.324,0.327,0.351
"P15","Raramente",0.215,0.172,0.15,0.299,0.244,0.248
"P15","Nunca",0.038,0.037,0.072,0.021,0.107,0.07
"P16","Menos de un vaso al día",0.125,0.078,0.09,0.086,0.109,0.07
"P16","De 1 a 4 vasos al día",0.328,0.335,0.249,0.305,0.369,0.306
"P16","Más de 4 vasos al día",0.497,0.548,0.567,0.478,0.467,0.568
"P16","No consume agua",0.05,0.039,0.094,0.131,0.055,0.056
"P17","Agua embotellada/mineral",0.225,0.174,0.159,0.192,0.128,0.139
"P17","Agua de la canilla filtrada",0.295,0.33,0.229,0.295,0.356,0.278
"P17","Agua de la canilla directamente",0.335,0.365,0.416,0.342,0.381,0.427
"P17","Agua de bidón",0.139,0.127,0.11,0.168,0.127,0.146
"P17","No consume agua",0.006,0.004,0.086,0.003,0.008,0.01
"P18","Todos los días",0.166,0.037,0.141,0.034,0.018,0.026
"P18","Entre 4 y 6 días a la semana",0.119,0.137,0.05,0.012,0.042,0.032
"P18","Entre 1 y 3 días a la semana",0.314,0.296,0.584,0.054,0.113,0.056
"P18","Raramente",0.381,0.5,0.209,0.865,0.333,0.15
"P18","Nunca",0.02,0.03,0.016,0.035,0.494,0.736
"P20","Todos los días",0.191,0.101,0.161,0.101,0.118,0.104
"P20","Entre 4 y 6 días a la semana",0.072,0.227,0.134,0.081,0.089,0.074
"P20","Entre 1 y 3 días a la semana",0.154,0.216,0.343,0.15,0.138,0.122
"P20","Raramente",0.335,0.331,0.263,0.518,0.338,0.405
"P20","Nunca",0.248,0.125,0.099,0.15,0.317,0.295
"P21","Todos los días",0.853,0.794,0.631,0.683,0.682,0.748
"P21","Entre 4 y 6 días a la semana",0.056,0.104,0.158,0.067,0.065,0.084
"P21","Entre 1 y 3 días a la semana",0.03,0.039,0.088,0.091,0.066,0.049
"P21","Raramente",0.034,0.046,0.067,0.143,0.087,0.076
"P21","Nunca",0.027,0.017,0.056,0.016,0.1,0.043
"P22","Asado",0.506,0.446,0.514,0.449,0.361,0.348
"P22","Pizza",0.062,0.141,0.084,0.033,0.067,0.061
"P22","Milanesa",0.154,0.161,0.111,0.152,0.2,0.155
"P22","Pastas",0.076,0.103,0.046,0.126,0.106,0.094
"P22","Empanadas",0.029,0.029,0.05,0.052,0.041,0.048
"P22","Hamburguesa",0.002,0.024,0.057,0.005,0.015,0.014
"P22","Ensaladas (de cualquier tipo)",0.081,0.04,0.018,0.08,0.063,0.099
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.055,0.039,0.049,0.082,0.081,0.105
"P22","Polenta o similares (de cualquier tipo)",0.012,0.011,0.051,0.008,0.032,0.032
"P22","Ninguno de los anteriores",0.023,0.006,0.02,0.013,0.034,0.044
"P23","Asado",0.161,0.101,0.256,0.102,0.093,0.073
"P23","Pizza",0.068,0.129,0.09,0.065,0.074,0.052
"P23","Milanesa",0.221,0.284,0.259,0.25,0.239,0.179
"P23","Pastas",0.125,0.167,0.102,0.221,0.201,0.158
"P23","Empanadas",0.068,0.045,0.025,0.033,0.034,0.039
