"var","categoria","Todos los días","Entre 4 y 6 días a la semana","Entre 1 y 3 días a la semana","Raramente","Nunca"
"P05","Gran excedente habitual",0.043,0.02,0.013,0.008,0.01
"P05","Gran excedente excepcional",0,0.015,0.013,0.011,0.007
"P05","Pequeño excedente habitual",0.045,0.066,0.075,0.061,0.057
"P05","Pequeño excedente excepcional",0.09,0.062,0.119,0.064,0.096
"P05","Alcanza gastos familia",0.142,0.165,0.176,0.15,0.127
"P05","No alcanza gastos familia",0.086,0.165,0.122,0.114,0.123
"P05","Solo NBFamiliares",0.248,0.249,0.243,0.264,0.231
"P05","No alcanza NBFamiliares",0.322,0.243,0.226,0.317,0.333
"P05","No sabe",0.024,0.015,0.013,0.011,0.016
"P06","Todos los días",0.259,0.158,0.127,0.173,0.194
"P06","Entre 4 y 6 días a la semana",0.252,0.307,0.324,0.248,0.256
"P06","Entre 1 y 3 días a la semana",0.276,0.351,0.408,0.347,0.29
"P06","Raramente",0.17,0.152,0.11,0.194,0.198
"P06","Nunca",0.043,0.032,0.031,0.038,0.062
"P07","Todos los días",0.216,0.105,0.059,0.05,0.067
"P07","Entre 4 y 6 días a la semana",0.216,0.283,0.223,0.178,0.163
"P07","Entre 1 y 3 días a la semana",0.267,0.395,0.482,0.43,0.334
"P07","Raramente",0.258,0.171,0.204,0.271,0.315
"P07","Nunca",0.043,0.046,0.032,0.071,0.121
"P08","Todos los días",0.16,0.076,0.042,0.05,0.055
"P08","Entre 4 y 6 días a la semana",0.224,0.288,0.2,0.157,0.163
"P08","Entre 1 y 3 días a la semana",0.374,0.445,0.562,0.485,0.383
"P08","Raramente",0.178,0.157,0.185,0.257,0.312
"P08","Nunca",0.064,0.034,0.011,0.051,0.087
"P09","Todos los días",0.172,0.074,0.032,0.012,0.015
"P09","Entre 4 y 6 días a la semana",0.119,0.137,0.051,0.054,0.046
"P09","Entre 1 y 3 días a la semana",0.191,0.301,0.297,0.171,0.119
"P09","Raramente",0.346,0.358,0.48,0.489,0.409
"P09","Nunca",0.172,0.13,0.14,0.274,0.411
"P10","Todos los días",0.25,0.148,0.095,0.045,0.046
"P10","Entre 4 y 6 días a la semana",0.222,0.266,0.187,0.108,0.092
"P10","Entre 1 y 3 días a la semana",0.225,0.317,0.357,0.264,0.175
"P10","Raramente",0.23,0.24,0.306,0.468,0.428
"P10","Nunca",0.073,0.029,0.055,0.115,0.259
"P11","Todos los días",0.293,0.162,0.142,0.164,0.212
"P11","Entre 4 y 6 días a la semana",0.176,0.237,0.216,0.162,0.13
"P11","Entre 1 y 3 días a la semana",0.214,0.33,0.344,0.253,0.207
"P11","Raramente",0.236,0.213,0.251,0.342,0.284
"P11","Nunca",0.081,0.058,0.047,0.079,0.167
"P12","Todos los días",0.413,0.277,0.275,0.246,0.278
"P12","Entre 4 y 6 días a la semana",0.153,0.277,0.218,0.175,0.142
"P12","Entre 1 y 3 días a la semana",0.185,0.249,0.323,0.24,0.197
"P12","Raramente",0.165,0.157,0.145,0.282,0.252
"P12","Nunca",0.084,0.04,0.039,0.057,0.131
"P13","Todos los días",0.163,0.083,0.052,0.046,0.077
"P13","Entre 4 y 6 días a la semana",0.105,0.133,0.088,0.088,0.1
"P13","Entre 1 y 3 días a la semana",0.217,0.286,0.377,0.3,0.288
"P13","Raramente",0.371,0.375,0.373,0.444,0.326
"P13","Nunca",0.144,0.123,0.11,0.122,0.209
"P14","Todos los días",0.466,0.285,0.289,0.219,0.211
"P14","Entre 4 y 6 días a la semana",0.196,0.361,0.312,0.225,0.177
"P14","Entre 1 y 3 días a la semana",0.152,0.214,0.278,0.322,0.262
"P14","Raramente",0.136,0.101,0.096,0.204,0.248
"P14","Nunca",0.05,0.039,0.025,0.03,0.102
"P15","Todos los días",0.217,0.073,0.096,0.094,0.135
"P15","Entre 4 y 6 días a la semana",0.156,0.331,0.205,0.207,0.182
"P15","Entre 1 y 3 días a la semana",0.356,0.397,0.482,0.409,0.334
"P15","Raramente",0.195,0.171,0.176,0.246,0.259
"P15","Nunca",0.076,0.028,0.041,0.044,0.09
"P16","Menos de un vaso al día",0.139,0.1,0.077,0.081,0.084
"P16","De 1 a 4 vasos al día",0.349,0.397,0.33,0.318,0.257
"P16","Más de 4 vasos al día",0.381,0.455,0.562,0.558,0.598
"P16","No consume agua",0.131,0.048,0.031,0.043,0.061
"P17","Agua embotellada/mineral",0.314,0.171,0.158,0.149,0.126
"P17","Agua de la canilla filtrada",0.238,0.345,0.302,0.306,0.304
"P17","Agua de la canilla directamente",0.29,0.334,0.388,0.402,0.412
"P17","Agua de bidón",0.109,0.144,0.145,0.14,0.147
"P17","No consume agua",0.049,0.006,0.007,0.003,0.011
"P18","Todos los días",0.183,0.058,0.046,0.044,0.058
"P18","Entre 4 y 6 días a la semana",0.081,0.119,0.078,0.055,0.079
"P18","Entre 1 y 3 días a la semana",0.154,0.25,0.323,0.183,0.131
"P18","Raramente",0.276,0.355,0.322,0.362,0.274
"P18","Nunca",0.306,0.218,0.231,0.356,0.458
"P19","Vino",0.369,0.17,0.239,0.231,0.261
"P19","Cerveza",0.137,0.379,0.236,0.161,0.093
"P19","Destilados (whisky, vodka, ron, etc.)",0.068,0.07,0.116,0.04,0.023
"P19","Espumantes",0.031,0.031,0.038,0.058,0.025
"P19","Otros",0.1,0.093,0.094,0.102,0.146
"P19","No consume bebidas alcohólicas",0.295,0.257,0.277,0.408,0.452
"P21","Todos los días",0.881,0.725,0.794,0.753,0.725
"P21","Entre 4 y 6 días a la semana",0.042,0.244,0.082,0.062,0.062
"P21","Entre 1 y 3 días a la semana",0.021,0.025,0.109,0.049,0.031
"P21","Raramente",0.026,0.004,0.014,0.133,0.036
"P21","Nunca",0.03,0.002,0.001,0.003,0.146
"P22","Asado",0.488,0.39,0.468,0.407,0.385
"P22","Pizza",0.111,0.148,0.055,0.076,0.041
"P22","Milanesa",0.129,0.173,0.227,0.151,0.131
"P22","Pastas",0.087,0.094,0.092,0.096,0.085
"P22","Empanadas",0.036,0.035,0.015,0.044,0.051
"P22","Hamburguesa",0.022,0.019,0.032,0.011,0.004
"P22","Ensaladas (de cualquier tipo)",0.045,0.051,0.046,0.081,0.112
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.044,0.07,0.046,0.086,0.092
"P22","Polenta o similares (de cualquier tipo)",0.016,0.012,0.008,0.021,0.046
"P22","Ninguno de los anteriores",0.022,0.008,0.011,0.027,0.053
"P23","Asado",0.223,0.098,0.108,0.082,0.114
"P23","Pizza",0.1,0.146,0.088,0.061,0.04
"P23","Milanesa",0.239,0.274,0.303,0.215,0.147
"P23","Pastas",0.13,0.162,0.163,0.174,0.132
"P23","Empanadas",0.055,0.026,0.055,0.045,0.046
"P23","Hamburguesa",0.02,0.019,0.034,0.015,0.014
"P23","Ensaladas (de cualquier tipo)",0.081,0.113,0.075,0.1,0.179
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.064,0.081,0.09,0.125,0.139
"P23","Polenta o similares (de cualquier tipo)",0.039,0.052,0.038,0.105,0.096
"P23","Ninguno de los anteriores",0.049,0.029,0.046,0.078,0.093
"P24","Helado",0.369,0.277,0.338,0.308,0.233
"P24","Tortas, tartas dulces y masas",0.136,0.178,0.172,0.136,0.128
"P24","Ensalada de frutas",0.207,0.179,0.176,0.165,0.185
"P24","Flan, budín de pan y similares",0.099,0.15,0.102,0.11,0.085
"P24","Dulce de batata, membrillo o similares",0.056,0.073,0.047,0.063,0.082
"P24","Facturas de todo tipo",0.039,0.052,0.059,0.043,0.022
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.027,0.035,0.028,0.03,0.035
"P24","Gelatina",0.015,0.01,0.018,0.048,0.034
"P24","Panqueques, wafles y similares",0.007,0.023,0.013,0.022,0.03
"P24","Ninguno de los anteriores",0.045,0.023,0.047,0.075,0.166
"P25","Helado",0.256,0.152,0.157,0.128,0.108
"P25","Tortas, tartas dulces y masas",0.202,0.218,0.181,0.107,0.096
"P25","Ensalada de frutas",0.134,0.097,0.104,0.093,0.094
"P25","Flan, budín de pan y similares",0.048,0.039,0.061,0.067,0.034
"P25","Dulce de batata, membrillo o similares",0.077,0.113,0.086,0.117,0.123
"P25","Facturas de todo tipo",0.063,0.118,0.112,0.069,0.044
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.027,0.032,0.023,0.025,0.021
"P25","Gelatina",0.017,0.024,0.032,0.055,0.061
"P25","Panqueques, wafles y similares",0.01,0.018,0.009,0.017,0.016
"P25","Ninguno de los anteriores",0.166,0.189,0.235,0.322,0.403
"P26","Vegetariano",0.13,0.072,0.07,0.038,0.064
"P26","Vegano",0.088,0.07,0.03,0.026,0.019
"P26","Dieta baja en carnes rojas",0.138,0.151,0.135,0.145,0.129
"P26","Dieta baja en carbohidratos",0.052,0.076,0.075,0.097,0.099
"P26","Dieta baja en azúcares",0.089,0.092,0.072,0.109,0.169
"P26","Kosher o Alal",0.018,0.017,0.019,0.01,0.007
"P26","Ninguna restricción alimentaria",0.485,0.522,0.599,0.575,0.513
"P27","Bajo peso",0.15,0.068,0.078,0.06,0.084
"P27","Sobrepeso",0.293,0.328,0.305,0.244,0.179
"P27","Obesidad",0.063,0.041,0.073,0.072,0.067
"P27","Normal",0.395,0.465,0.473,0.511,0.531
"P27","No sabe",0.099,0.098,0.071,0.113,0.139
"P28","Diabetes",0.163,0.097,0.068,0.081,0.107
