"var","categoria","Todos los días","Entre 4 y 6 días a la semana","Entre 1 y 3 días a la semana","Raramente","Nunca"
"P05","Gran excedente habitual",0.103,0.055,0.025,0.009,0.004
"P05","Gran excedente excepcional",0.022,0.004,0.02,0.015,0.003
"P05","Pequeño excedente habitual",0.045,0.082,0.178,0.076,0.028
"P05","Pequeño excedente excepcional",0.094,0.114,0.18,0.112,0.046
"P05","Alcanza gastos familia",0.095,0.205,0.242,0.205,0.104
"P05","No alcanza gastos familia",0.058,0.115,0.064,0.131,0.134
"P05","Solo NBFamiliares",0.193,0.208,0.171,0.268,0.257
"P05","No alcanza NBFamiliares",0.38,0.201,0.115,0.167,0.406
"P05","No sabe",0.01,0.016,0.005,0.017,0.018
"P06","Todos los días",0.293,0.235,0.25,0.196,0.133
"P06","Entre 4 y 6 días a la semana",0.228,0.275,0.312,0.298,0.248
"P06","Entre 1 y 3 días a la semana",0.233,0.282,0.291,0.351,0.34
"P06","Raramente",0.17,0.172,0.122,0.126,0.23
"P06","Nunca",0.076,0.036,0.025,0.029,0.049
"P07","Todos los días",0.322,0.138,0.11,0.066,0.054
"P07","Entre 4 y 6 días a la semana",0.148,0.276,0.339,0.233,0.135
"P07","Entre 1 y 3 días a la semana",0.162,0.282,0.414,0.487,0.372
"P07","Raramente",0.269,0.233,0.114,0.179,0.333
"P07","Nunca",0.099,0.071,0.023,0.035,0.106
"P08","Todos los días",0.286,0.11,0.06,0.058,0.048
"P08","Entre 4 y 6 días a la semana",0.189,0.242,0.264,0.193,0.157
"P08","Entre 1 y 3 días a la semana",0.277,0.355,0.533,0.549,0.409
"P08","Raramente",0.185,0.239,0.121,0.17,0.31
"P08","Nunca",0.063,0.054,0.022,0.03,0.076
"P09","Todos los días",0.314,0.158,0.06,0.03,0.017
"P09","Entre 4 y 6 días a la semana",0.08,0.156,0.092,0.057,0.062
"P09","Entre 1 y 3 días a la semana",0.166,0.244,0.336,0.264,0.119
"P09","Raramente",0.328,0.315,0.447,0.511,0.411
"P09","Nunca",0.112,0.127,0.065,0.138,0.391
"P10","Todos los días",0.362,0.154,0.124,0.088,0.052
"P10","Entre 4 y 6 días a la semana",0.147,0.241,0.193,0.16,0.12
"P10","Entre 1 y 3 días a la semana",0.195,0.228,0.375,0.359,0.196
"P10","Raramente",0.234,0.302,0.275,0.331,0.437
"P10","Nunca",0.062,0.075,0.033,0.062,0.195
"P11","Todos los días",0.392,0.224,0.277,0.221,0.121
"P11","Entre 4 y 6 días a la semana",0.1,0.263,0.241,0.225,0.127
"P11","Entre 1 y 3 días a la semana",0.151,0.203,0.302,0.284,0.252
"P11","Raramente",0.18,0.204,0.165,0.234,0.363
"P11","Nunca",0.177,0.106,0.015,0.036,0.137
"P12","Todos los días",0.454,0.346,0.407,0.345,0.189
"P12","Entre 4 y 6 días a la semana",0.111,0.259,0.258,0.215,0.154
"P12","Entre 1 y 3 días a la semana",0.163,0.205,0.226,0.234,0.254
"P12","Raramente",0.176,0.102,0.085,0.187,0.304
"P12","Nunca",0.096,0.088,0.024,0.019,0.099
"P13","Todos los días",0.346,0.157,0.084,0.049,0.057
"P13","Entre 4 y 6 días a la semana",0.117,0.138,0.084,0.113,0.093
"P13","Entre 1 y 3 días a la semana",0.167,0.235,0.333,0.354,0.262
"P13","Raramente",0.218,0.382,0.397,0.385,0.414
