"var","categoria","Todos los días","Entre 4 y 6 días a la semana","Entre 1 y 3 días a la semana","Raramente","Nunca"
"P05","Gran excedente habitual",0.017,0.007,0.018,0.008,0.002
"P05","Gran excedente excepcional",0.008,0.004,0.021,0.022,0.002
"P05","Pequeño excedente habitual",0.067,0.044,0.024,0.046,0.043
"P05","Pequeño excedente excepcional",0.083,0.073,0.095,0.062,0.141
"P05","Alcanza gastos familia",0.158,0.171,0.101,0.086,0.16
"P05","No alcanza gastos familia",0.115,0.113,0.18,0.158,0.091
"P05","Solo NBFamiliares",0.254,0.251,0.222,0.252,0.169
"P05","No alcanza NBFamiliares",0.282,0.317,0.318,0.363,0.382
"P05","No sabe",0.016,0.02,0.021,0.003,0.01
"P06","Todos los días",0.192,0.131,0.085,0.171,0.188
"P06","Entre 4 y 6 días a la semana",0.284,0.292,0.194,0.184,0.227
"P06","Entre 1 y 3 días a la semana",0.341,0.325,0.418,0.282,0.18
"P06","Raramente",0.147,0.208,0.249,0.285,0.327
"P06","Nunca",0.036,0.044,0.054,0.078,0.078
"P07","Todos los días",0.091,0.055,0.043,0.035,0.099
"P07","Entre 4 y 6 días a la semana",0.21,0.221,0.13,0.124,0.149
"P07","Entre 1 y 3 días a la semana",0.406,0.379,0.369,0.358,0.212
"P07","Raramente",0.232,0.291,0.386,0.355,0.396
"P07","Nunca",0.061,0.054,0.072,0.128,0.144
"P08","Todos los días",0.07,0.06,0.053,0.035,0.072
"P08","Entre 4 y 6 días a la semana",0.197,0.189,0.19,0.105,0.152
"P08","Entre 1 y 3 días a la semana",0.473,0.443,0.433,0.362,0.273
"P08","Raramente",0.213,0.248,0.28,0.408,0.383
"P08","Nunca",0.047,0.06,0.044,0.09,0.12
"P09","Todos los días",0.046,0.044,0.024,0.025,0.037
"P09","Entre 4 y 6 días a la semana",0.066,0.119,0.061,0.038,0.075
"P09","Entre 1 y 3 días a la semana",0.189,0.237,0.265,0.162,0.216
"P09","Raramente",0.448,0.427,0.438,0.405,0.31
"P09","Nunca",0.251,0.173,0.212,0.37,0.362
"P10","Todos los días",0.094,0.093,0.103,0.043,0.069
"P10","Entre 4 y 6 días a la semana",0.154,0.207,0.101,0.063,0.129
"P10","Entre 1 y 3 días a la semana",0.271,0.283,0.241,0.185,0.113
"P10","Raramente",0.372,0.343,0.432,0.452,0.387
"P10","Nunca",0.109,0.074,0.123,0.257,0.302
"P11","Todos los días",0.201,0.12,0.154,0.144,0.18
"P11","Entre 4 y 6 días a la semana",0.188,0.193,0.085,0.098,0.084
"P11","Entre 1 y 3 días a la semana",0.268,0.259,0.325,0.183,0.178
"P11","Raramente",0.259,0.374,0.35,0.401,0.323
"P11","Nunca",0.084,0.054,0.086,0.174,0.235
"P12","Todos los días",0.31,0.182,0.229,0.181,0.241
"P12","Entre 4 y 6 días a la semana",0.184,0.27,0.177,0.105,0.127
"P12","Entre 1 y 3 días a la semana",0.243,0.246,0.317,0.162,0.14
"P12","Raramente",0.198,0.243,0.214,0.433,0.346
"P12","Nunca",0.065,0.059,0.063,0.119,0.146
"P13","Todos los días",0.072,0.055,0.065,0.077,0.128
"P13","Entre 4 y 6 días a la semana",0.101,0.138,0.04,0.065,0.096
"P13","Entre 1 y 3 días a la semana",0.304,0.247,0.357,0.224,0.27
"P13","Raramente",0.387,0.436,0.387,0.42,0.308
"P13","Nunca",0.136,0.124,0.151,0.214,0.198
"P14","Todos los días",0.298,0.14,0.178,0.18,0.216
"P14","Entre 4 y 6 días a la semana",0.244,0.318,0.134,0.171,0.2
"P14","Entre 1 y 3 días a la semana",0.261,0.311,0.389,0.247,0.147
