"var","categoria","Agua embotellada/mineral","Agua de la canilla filtrada","Agua de la canilla directamente","Agua de bidón","No consume agua"
"P05","Gran excedente habitual",0.025,0.014,0.009,0.009,0.073
"P05","Gran excedente excepcional",0.009,0.014,0.007,0.005,0
"P05","Pequeño excedente habitual",0.067,0.072,0.056,0.041,0.01
"P05","Pequeño excedente excepcional",0.075,0.085,0.076,0.104,0.036
"P05","Alcanza gastos familia",0.209,0.151,0.104,0.183,0.123
"P05","No alcanza gastos familia",0.082,0.121,0.135,0.138,0.016
"P05","Solo NBFamiliares",0.255,0.252,0.242,0.253,0.144
"P05","No alcanza NBFamiliares",0.255,0.278,0.359,0.25,0.568
"P05","No sabe",0.023,0.013,0.012,0.017,0.03
"P06","Todos los días",0.261,0.19,0.143,0.132,0.354
"P06","Entre 4 y 6 días a la semana",0.293,0.311,0.224,0.271,0.04
"P06","Entre 1 y 3 días a la semana",0.299,0.324,0.356,0.389,0.097
"P06","Raramente",0.112,0.15,0.23,0.148,0.154
"P06","Nunca",0.035,0.025,0.047,0.06,0.355
"P07","Todos los días",0.13,0.082,0.072,0.046,0.186
"P07","Entre 4 y 6 días a la semana",0.295,0.21,0.142,0.205,0.064
"P07","Entre 1 y 3 días a la semana",0.38,0.399,0.379,0.406,0.186
"P07","Raramente",0.145,0.26,0.305,0.295,0.199
"P07","Nunca",0.05,0.049,0.102,0.048,0.365
"P08","Todos los días",0.143,0.052,0.044,0.065,0.157
"P08","Entre 4 y 6 días a la semana",0.218,0.222,0.159,0.16,0.064
"P08","Entre 1 y 3 días a la semana",0.451,0.464,0.434,0.51,0.179
"P08","Raramente",0.152,0.213,0.305,0.225,0.091
"P08","Nunca",0.036,0.049,0.058,0.04,0.509
"P09","Todos los días",0.099,0.018,0.041,0.028,0.307
"P09","Entre 4 y 6 días a la semana",0.115,0.077,0.058,0.031,0.036
"P09","Entre 1 y 3 días a la semana",0.215,0.226,0.168,0.212,0.074
"P09","Raramente",0.398,0.452,0.431,0.446,0.098
"P09","Nunca",0.173,0.227,0.302,0.283,0.485
"P10","Todos los días",0.157,0.072,0.079,0.067,0.393
"P10","Entre 4 y 6 días a la semana",0.192,0.182,0.106,0.127,0.081
"P10","Entre 1 y 3 días a la semana",0.248,0.264,0.25,0.281,0.118
"P10","Raramente",0.322,0.379,0.411,0.377,0.062
"P10","Nunca",0.081,0.103,0.154,0.148,0.346
"P11","Todos los días",0.285,0.194,0.14,0.169,0.293
"P11","Entre 4 y 6 días a la semana",0.182,0.217,0.132,0.176,0.097
"P11","Entre 1 y 3 días a la semana",0.28,0.255,0.247,0.296,0.127
"P11","Raramente",0.188,0.255,0.363,0.287,0.086
"P11","Nunca",0.065,0.079,0.118,0.072,0.397
"P12","Todos los días",0.42,0.282,0.223,0.278,0.373
"P12","Entre 4 y 6 días a la semana",0.203,0.205,0.15,0.181,0.042
"P12","Entre 1 y 3 días a la semana",0.197,0.233,0.247,0.286,0.102
"P12","Raramente",0.125,0.22,0.283,0.181,0.109
"P12","Nunca",0.055,0.06,0.097,0.074,0.374
"P13","Todos los días",0.143,0.059,0.062,0.044,0.271
"P13","Entre 4 y 6 días a la semana",0.101,0.131,0.084,0.055,0.011
"P13","Entre 1 y 3 días a la semana",0.297,0.305,0.282,0.311,0.085
"P13","Raramente",0.349,0.367,0.416,0.426,0.223
"P13","Nunca",0.11,0.138,0.156,0.164,0.41
"P14","Todos los días",0.329,0.263,0.25,0.252,0.367
"P14","Entre 4 y 6 días a la semana",0.226,0.246,0.237,0.238,0.087
"P14","Entre 1 y 3 días a la semana",0.247,0.29,0.255,0.281,0.094
"P14","Raramente",0.159,0.159,0.205,0.173,0.093
"P14","Nunca",0.039,0.042,0.053,0.056,0.359
"P15","Todos los días",0.173,0.116,0.108,0.093,0.238
"P15","Entre 4 y 6 días a la semana",0.256,0.24,0.196,0.143,0.068
"P15","Entre 1 y 3 días a la semana",0.331,0.394,0.388,0.451,0.131
"P15","Raramente",0.196,0.201,0.242,0.251,0.207
"P15","Nunca",0.044,0.049,0.066,0.062,0.356
"P16","Menos de un vaso al día",0.194,0.062,0.082,0.073,0.176
"P16","De 1 a 4 vasos al día",0.313,0.417,0.257,0.306,0.111
"P16","Más de 4 vasos al día",0.453,0.491,0.602,0.544,0.113
"P16","No consume agua",0.04,0.03,0.059,0.077,0.6
"P18","Todos los días",0.198,0.044,0.035,0.037,0.348
"P18","Entre 4 y 6 días a la semana",0.055,0.151,0.033,0.047,0.044
"P18","Entre 1 y 3 días a la semana",0.199,0.16,0.25,0.137,0.115
"P18","Raramente",0.289,0.317,0.295,0.457,0.101
"P18","Nunca",0.259,0.328,0.387,0.322,0.392
"P19","Vino",0.333,0.246,0.218,0.251,0.139
"P19","Cerveza",0.182,0.195,0.167,0.162,0.064
"P19","Destilados (whisky, vodka, ron, etc.)",0.051,0.042,0.059,0.043,0.398
"P19","Espumantes",0.045,0.039,0.035,0.049,0.01
"P19","Otros",0.084,0.133,0.11,0.103,0.075
"P19","No consume bebidas alcohólicas",0.305,0.345,0.411,0.392,0.314
"P20","Todos los días",0.242,0.103,0.099,0.102,0.528
"P20","Entre 4 y 6 días a la semana",0.107,0.122,0.093,0.11,0.054
"P20","Entre 1 y 3 días a la semana",0.151,0.163,0.165,0.169,0.101
"P20","Raramente",0.322,0.37,0.384,0.366,0.094
"P20","Nunca",0.178,0.242,0.259,0.253,0.223
"P21","Todos los días",0.824,0.787,0.742,0.732,0.599
"P21","Entre 4 y 6 días a la semana",0.068,0.08,0.074,0.123,0.087
"P21","Entre 1 y 3 días a la semana",0.019,0.044,0.068,0.042,0.013
"P21","Raramente",0.058,0.056,0.068,0.07,0.116
"P21","Nunca",0.031,0.033,0.048,0.033,0.185
"P22","Asado",0.485,0.401,0.416,0.402,0.324
"P22","Pizza",0.069,0.081,0.069,0.094,0.078
"P22","Milanesa",0.145,0.17,0.163,0.139,0.095
"P22","Pastas",0.096,0.097,0.087,0.09,0.017
"P22","Empanadas",0.051,0.04,0.036,0.028,0.076
"P22","Hamburguesa",0.013,0.011,0.018,0.019,0
"P22","Ensaladas (de cualquier tipo)",0.077,0.068,0.073,0.095,0.047
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.036,0.082,0.084,0.081,0.027
"P22","Polenta o similares (de cualquier tipo)",0.01,0.017,0.033,0.018,0.126
"P22","Ninguno de los anteriores",0.018,0.033,0.021,0.034,0.21
"P23","Asado",0.179,0.091,0.1,0.105,0.311
"P23","Pizza",0.078,0.085,0.063,0.07,0.201
"P23","Milanesa",0.253,0.238,0.207,0.205,0.071
"P23","Pastas",0.135,0.148,0.164,0.179,0.074
"P23","Empanadas",0.062,0.05,0.038,0.044,0.027
"P23","Hamburguesa",0.03,0.013,0.016,0.018,0.09
"P23","Ensaladas (de cualquier tipo)",0.114,0.119,0.108,0.125,0.042
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.081,0.111,0.127,0.104,0.026
"P23","Polenta o similares (de cualquier tipo)",0.025,0.072,0.113,0.061,0.036
"P23","Ninguno de los anteriores",0.043,0.073,0.064,0.089,0.122
"P24","Helado",0.356,0.298,0.272,0.298,0.427
"P24","Tortas, tartas dulces y masas",0.162,0.158,0.132,0.129,0.155
"P24","Ensalada de frutas",0.148,0.196,0.182,0.179,0.028
"P24","Flan, budín de pan y similares",0.103,0.105,0.112,0.1,0.01
"P24","Dulce de batata, membrillo o similares",0.069,0.053,0.064,0.087,0.083
"P24","Facturas de todo tipo",0.046,0.038,0.04,0.035,0.158
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.028,0.034,0.031,0.032,0
"P24","Gelatina",0.022,0.031,0.043,0.015,0
"P24","Panqueques, wafles y similares",0.013,0.019,0.024,0.026,0
"P24","Ninguno de los anteriores",0.053,0.068,0.1,0.099,0.139
"P25","Helado",0.191,0.145,0.129,0.144,0.215
"P25","Tortas, tartas dulces y masas",0.223,0.15,0.108,0.102,0.256
"P25","Ensalada de frutas",0.097,0.114,0.088,0.12,0.014
"P25","Flan, budín de pan y similares",0.062,0.054,0.052,0.042,0.023
"P25","Dulce de batata, membrillo o similares",0.116,0.108,0.092,0.138,0.079
"P25","Facturas de todo tipo",0.067,0.071,0.08,0.076,0.075
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.034,0.028,0.02,0.022,0.013
"P25","Gelatina",0.024,0.04,0.057,0.044,0.078
"P25","Panqueques, wafles y similares",0.02,0.015,0.015,0.008,0
"P25","Ninguno de los anteriores",0.166,0.275,0.359,0.304,0.247
"P26","Vegetariano",0.113,0.062,0.049,0.059,0.086
"P26","Vegano",0.054,0.037,0.032,0.024,0.177
"P26","Dieta baja en carnes rojas",0.141,0.16,0.123,0.131,0.196
"P26","Dieta baja en carbohidratos",0.139,0.094,0.062,0.074,0.032
"P26","Dieta baja en azúcares",0.11,0.14,0.098,0.105,0.052
"P26","Kosher o Alal",0.014,0.011,0.013,0.009,0.095
"P26","Ninguna restricción alimentaria",0.429,0.496,0.623,0.598,0.362
"P27","Bajo peso",0.145,0.054,0.072,0.067,0.318
"P27","Sobrepeso",0.25,0.284,0.255,0.196,0.218
"P27","Obesidad",0.042,0.073,0.076,0.062,0
"P27","Normal",0.505,0.502,0.464,0.539,0.151
"P27","No sabe",0.058,0.087,0.133,0.136,0.313
"P28","Diabetes",0.151,0.094,0.076,0.1,0.108
"P28","Hipertensión",0.167,0.191,0.187,0.165,0.097
"P28","Enfermedades cardiovasculares",0.049,0.044,0.038,0.04,0.028
"P28","Celiaquía",0.074,0.073,0.076,0.076,0.019
"P28","Ninguna",0.506,0.535,0.513,0.525,0.401
"P28","No sabe",0.053,0.063,0.11,0.094,0.347
"P29","Todos los días",0.116,0.036,0.025,0.027,0.27
"P29","Entre 4 y 6 días a la semana",0.046,0.057,0.041,0.024,0.175
"P29","Entre 1 y 3 días a la semana",0.156,0.125,0.109,0.111,0.047
"P29","Raramente",0.31,0.341,0.256,0.33,0.108
"P29","Nunca",0.372,0.441,0.569,0.508,0.4
"P30","Todos los días",0.078,0.023,0.024,0.02,0.337
"P30","Entre 4 y 6 días a la semana",0.042,0.031,0.016,0.012,0
"P30","Entre 1 y 3 días a la semana",0.152,0.112,0.093,0.102,0.144
"P30","Raramente",0.343,0.33,0.324,0.339,0.11
"P30","Nunca",0.385,0.504,0.543,0.527,0.409
"P31","Todos los días",0.555,0.635,0.616,0.648,0.609
"P31","Entre 4 y 6 días a la semana",0.21,0.17,0.172,0.17,0.064
"P31","Entre 1 y 3 días a la semana",0.071,0.075,0.073,0.07,0.024
"P31","Raramente",0.096,0.055,0.06,0.067,0.007
"P31","Nunca",0.068,0.065,0.079,0.045,0.296
"P32","Menos de 1 comida al día",0.169,0.156,0.198,0.109,0.375
"P32","1 comida",0.316,0.303,0.324,0.308,0.086
"P32","2 comidas",0.247,0.242,0.235,0.259,0.158
"P32","3 comidas",0.139,0.153,0.126,0.17,0.047
"P32","4 comidas",0.106,0.127,0.088,0.124,0.156
"P32","Más de 4 comidas",0.023,0.019,0.029,0.03,0.178
"P33","Precio",0.231,0.258,0.396,0.269,0.221
"P33","Calidad",0.196,0.179,0.115,0.146,0.176
"P33","Ambas",0.478,0.497,0.419,0.531,0.181
"P33","Compra sin ningún tipo de consideración",0.095,0.066,0.07,0.054,0.422
"P34","Menos de 1 vez a la semana",0.183,0.192,0.258,0.14,0.419
"P34","1 vez a la semana",0.267,0.31,0.245,0.323,0.122
"P34","Entre 1 a 4 veces a la semana",0.292,0.323,0.288,0.299,0.078
"P34","Más de 4 veces a la semana",0.188,0.114,0.116,0.166,0.097
"P34","No sabe",0.07,0.061,0.093,0.072,0.284
"P35","Hipermercado/Supermercado",0.551,0.475,0.438,0.501,0.371
"P35","Almacenes",0.209,0.228,0.289,0.244,0.29
"P35","Productores locales/mercados de cercanía/Ferias",0.167,0.213,0.187,0.174,0.088
"P35","Vía pública",0.035,0.023,0.026,0.043,0
"P35","No sabe",0.038,0.061,0.06,0.038,0.251
