"var","categoria","Union por la Patria","Cambiemos","Liberales","Izquierda","No sabe"
"P09","Unión por la Patria",0.74,0.079,0.056,0.244,0.117
"P09","Juntos por el Cambio",0.13,0.787,0.24,0.151,0.112
"P09","De los liberales libertarios",0.056,0.078,0.563,0.022,0.129
"P09","De la Izquierda",0.023,0.009,0.041,0.527,0.011
"P09","Hacemos por nuestro país",0,0.002,0.014,0,0.027
"P09","Otro",0.02,0.015,0.009,0.011,0.095
"P09","En blanco",0.018,0.004,0.064,0.013,0.177
"P09","No sabe",0.013,0.026,0.013,0.032,0.332
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.506,0.075,0.047,0.128,0.087
"P12","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.225,0.036,0.058,0.152,0.06
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.084,0.461,0.246,0.171,0.033
"P12","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.049,0.302,0.023,0.234,0.079
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.088,0.087,0.528,0.021,0.14
"P12","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.007,0.005,0,0.283,0.055
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.005,0.006,0.036,0,0.045
"P12","Otros",0.023,0.002,0.062,0.011,0.174
"P12","En blanco",0.013,0.01,0,0,0.066
"P12","No sabe",0,0.016,0,0,0.261
"P16","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.726,0.074,0.047,0.329,0.079
"P16","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.12,0.553,0.248,0.149,0.041
"P16","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.053,0.314,0.133,0.044,0.113
"P16","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.058,0.023,0.48,0.216,0.014
"P16","Los candidatos a Jefe de Gobierno de las diferentes opciones de izquierda",0.011,0,0.031,0.262,0.238
"P16","Otros",0.012,0.013,0.011,0,0.207
"P16","En blanco",0.006,0.013,0.008,0,0.057
"P16","No sabe",0.014,0.01,0.042,0,0.251
"P22","Totalmente seguro.",0.687,0.594,0.667,0.558,0.395
"P22","Bastante seguro",0.178,0.248,0.102,0.145,0.046
"P22","Algo seguro",0.067,0.116,0.118,0.188,0.113
"P22","Para nada seguro",0.068,0.042,0.113,0.109,0.446
"P23","Tiene Decidido que va a ir a votar.",0.938,0.924,0.878,0.805,0.739
"P23","Tiene dudas sobre si va a ir a  votar",0.055,0.057,0.074,0.062,0.117
"P23","Tiene Decidido que no va a ir a votar",0.007,0.019,0.048,0.133,0.144
"P34","Inflación",0.316,0.337,0.344,0.316,0.224
"P34","Desempleo",0.056,0.071,0.053,0.156,0.028
"P34","Corrupción",0.142,0.28,0.417,0.173,0.324
"P34","Inseguridad",0.071,0.187,0.091,0.126,0.215
"P34","Precio del dólar",0.01,0.004,0.06,0,0.066
"P34","Pobreza",0.187,0.046,0.005,0.113,0.045
"P34","Narcotráfico",0.021,0.014,0.011,0.021,0.044
"P34","Tarifas",0.008,0.012,0,0.05,0
"P34","Otro",0.159,0.031,0.019,0.045,0.017
"P34","No sabe",0.03,0.018,0,0,0.037
