"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Inflación",0.32,0.319,0.321,0.366,0.33,0.317,0.25,0.206,0.32,0.361,0.332,0.318,0.457
"Desempleo",0.061,0.066,0.057,0.058,0.07,0.053,0.059,0.099,0.088,0.028,0.061,0.076,0.022
"Corrupción",0.263,0.273,0.255,0.329,0.201,0.272,0.282,0.373,0.261,0.225,0.145,0.309,0.283
"Inseguridad",0.139,0.119,0.155,0.076,0.137,0.159,0.199,0.124,0.132,0.15,0.088,0.176,0.039
"Precio del dólar",0.017,0.015,0.019,0.038,0.005,0.011,0.016,0.078,0,0.008,0.021,0.005,0.023
"Pobreza",0.083,0.07,0.093,0.06,0.111,0.083,0.06,0.014,0.083,0.107,0.179,0.03,0
"Narcotráfico",0.019,0.018,0.02,0,0.024,0.017,0.036,0.024,0.023,0.014,0.033,0.015,0
"Tarifas",0.009,0.005,0.012,0,0.016,0.008,0.009,0.005,0.018,0.003,0.008,0.012,0
"Otro",0.068,0.087,0.052,0.053,0.084,0.068,0.057,0.058,0.051,0.084,0.116,0.038,0.068
"No sabe",0.021,0.028,0.016,0.02,0.022,0.012,0.032,0.019,0.024,0.02,0.017,0.021,0.108
