"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad","opciones"
"Muy buena",0.153,0.176,0.131,0.169,0.15,0.169,0.108,0.25,0.112,0.063,0.142,0.226,0.387,0.03,0.186,0.133,6
"Buena",0.132,0.115,0.147,0.07,0.152,0.149,0.164,0.158,0.132,0.09,0.097,0.177,0.225,0.091,0.127,0.135,6
"Ni buena ni mala",0.171,0.187,0.156,0.189,0.167,0.156,0.17,0.176,0.18,0.148,0.165,0.154,0.173,0.163,0.22,0.14,6
"Mala",0.265,0.294,0.239,0.259,0.276,0.242,0.287,0.247,0.251,0.318,0.286,0.225,0.13,0.314,0.261,0.268,6
"Muy mala",0.255,0.219,0.289,0.299,0.219,0.274,0.242,0.131,0.309,0.368,0.294,0.195,0.074,0.382,0.195,0.292,6
"No sabe",0.024,0.009,0.038,0.014,0.036,0.01,0.029,0.038,0.016,0.013,0.016,0.023,0.011,0.02,0.011,0.032,6
"Positiva",0.285,0.291,0.278,0.239,0.302,0.318,0.272,0.408,0.244,0.153,0.239,0.403,0.612,0.121,0.313,0.268,4
"Neutra",0.171,0.187,0.156,0.189,0.167,0.156,0.17,0.176,0.18,0.148,0.165,0.154,0.173,0.163,0.22,0.14,4
"Negativa",0.52,0.513,0.528,0.558,0.495,0.516,0.529,0.378,0.56,0.686,0.58,0.42,0.204,0.696,0.456,0.56,4
"No sabe",0.024,0.009,0.038,0.014,0.036,0.01,0.029,0.038,0.016,0.013,0.016,0.023,0.011,0.02,0.011,0.032,4
