"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad","opciones"
"Muy buena",0.087,0.104,0.071,0.052,0.085,0.091,0.151,0.129,0.062,0.06,0.098,0.075,0.07,0.103,0.106,0.076,6
"Buena",0.154,0.15,0.157,0.126,0.129,0.175,0.237,0.185,0.125,0.148,0.174,0.147,0.126,0.192,0.167,0.145,6
"Ni buena ni mala",0.414,0.401,0.426,0.436,0.413,0.416,0.374,0.366,0.47,0.402,0.425,0.348,0.448,0.381,0.406,0.419,6
"Mala",0.191,0.219,0.166,0.206,0.202,0.193,0.133,0.179,0.169,0.247,0.181,0.239,0.201,0.184,0.203,0.185,6
"Muy mala",0.06,0.06,0.06,0.074,0.064,0.054,0.034,0.048,0.06,0.079,0.048,0.078,0.06,0.072,0.069,0.054,6
"No sabe",0.094,0.066,0.12,0.106,0.107,0.071,0.071,0.093,0.114,0.064,0.074,0.113,0.095,0.068,0.049,0.121,6
"Positiva",0.241,0.254,0.228,0.178,0.214,0.266,0.388,0.314,0.187,0.208,0.272,0.222,0.196,0.295,0.273,0.221,4
"Neutra",0.414,0.401,0.426,0.436,0.413,0.416,0.374,0.366,0.47,0.402,0.425,0.348,0.448,0.381,0.406,0.419,4
"Negativa",0.251,0.279,0.226,0.28,0.266,0.247,0.167,0.227,0.229,0.326,0.229,0.317,0.261,0.256,0.272,0.239,4
"No sabe",0.094,0.066,0.12,0.106,0.107,0.071,0.071,0.093,0.114,0.064,0.074,0.113,0.095,0.068,0.049,0.121,4
