"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad","opciones"
"Muy buena",0.15,0.145,0.154,0.155,0.125,0.155,0.201,0.146,0.133,0.182,0.176,0.132,0.085,0.204,0.15,0.15,6
"Buena",0.203,0.215,0.192,0.147,0.205,0.228,0.262,0.189,0.178,0.265,0.247,0.109,0.116,0.285,0.2,0.205,6
"Ni buena ni mala",0.249,0.259,0.239,0.322,0.214,0.243,0.221,0.251,0.272,0.208,0.278,0.184,0.208,0.289,0.302,0.216,6
"Mala",0.224,0.244,0.205,0.221,0.25,0.218,0.166,0.248,0.2,0.224,0.18,0.266,0.321,0.143,0.214,0.23,6
"Muy mala",0.139,0.111,0.167,0.126,0.156,0.131,0.131,0.115,0.184,0.108,0.093,0.266,0.23,0.06,0.112,0.156,6
"No sabe",0.035,0.026,0.043,0.029,0.05,0.025,0.019,0.051,0.033,0.013,0.026,0.043,0.04,0.019,0.022,0.043,6
"Positiva",0.353,0.36,0.346,0.302,0.33,0.383,0.463,0.335,0.311,0.447,0.423,0.241,0.201,0.489,0.35,0.355,4
"Neutra",0.249,0.259,0.239,0.322,0.214,0.243,0.221,0.251,0.272,0.208,0.278,0.184,0.208,0.289,0.302,0.216,4
"Negativa",0.363,0.355,0.372,0.347,0.406,0.349,0.297,0.363,0.384,0.332,0.273,0.532,0.551,0.203,0.326,0.386,4
"No sabe",0.035,0.026,0.043,0.029,0.05,0.025,0.019,0.051,0.033,0.013,0.026,0.043,0.04,0.019,0.022,0.043,4
