"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad","opciones"
"Muy buena",0.192,0.193,0.191,0.101,0.209,0.24,0.233,0.242,0.19,0.113,0.228,0.179,0.201,0.209,0.158,0.213,6
"Buena",0.169,0.195,0.145,0.119,0.15,0.197,0.27,0.16,0.139,0.231,0.212,0.087,0.156,0.196,0.182,0.162,6
"Ni buena ni mala",0.333,0.288,0.376,0.398,0.331,0.285,0.3,0.33,0.357,0.303,0.322,0.326,0.333,0.305,0.372,0.309,6
"Mala",0.193,0.211,0.177,0.226,0.201,0.196,0.105,0.157,0.194,0.25,0.156,0.245,0.19,0.177,0.204,0.186,6
"Muy mala",0.071,0.078,0.063,0.096,0.054,0.066,0.078,0.067,0.061,0.092,0.046,0.124,0.077,0.077,0.058,0.078,6
"No sabe",0.042,0.035,0.048,0.06,0.055,0.016,0.014,0.044,0.059,0.011,0.036,0.039,0.043,0.036,0.026,0.052,6
"Positiva",0.361,0.388,0.336,0.22,0.359,0.437,0.503,0.402,0.329,0.344,0.44,0.266,0.357,0.405,0.34,0.375,4
"Neutra",0.333,0.288,0.376,0.398,0.331,0.285,0.3,0.33,0.357,0.303,0.322,0.326,0.333,0.305,0.372,0.309,4
"Negativa",0.264,0.289,0.24,0.322,0.255,0.262,0.183,0.224,0.255,0.342,0.202,0.369,0.267,0.254,0.262,0.264,4
"No sabe",0.042,0.035,0.048,0.06,0.055,0.016,0.014,0.044,0.059,0.011,0.036,0.039,0.043,0.036,0.026,0.052,4
