"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad","opciones"
"Muy buena",0.059,0.069,0.049,0.078,0.032,0.079,0.064,0.077,0.05,0.043,0.067,0.057,0.063,0.061,0.085,0.043,6
"Buena",0.138,0.14,0.137,0.089,0.133,0.148,0.234,0.173,0.113,0.121,0.146,0.143,0.189,0.128,0.143,0.135,6
"Ni buena ni mala",0.465,0.416,0.511,0.442,0.499,0.449,0.439,0.414,0.515,0.47,0.479,0.407,0.463,0.435,0.479,0.456,6
"Mala",0.202,0.244,0.162,0.258,0.183,0.182,0.178,0.196,0.195,0.223,0.201,0.234,0.151,0.239,0.172,0.22,6
"Muy mala",0.047,0.045,0.049,0.05,0.046,0.048,0.041,0.046,0.035,0.068,0.037,0.056,0.042,0.06,0.064,0.037,6
"No sabe",0.089,0.086,0.092,0.083,0.107,0.094,0.044,0.094,0.092,0.075,0.07,0.103,0.092,0.077,0.057,0.109,6
"Positiva",0.197,0.209,0.186,0.167,0.165,0.227,0.298,0.25,0.163,0.164,0.213,0.2,0.252,0.189,0.228,0.178,4
"Neutra",0.465,0.416,0.511,0.442,0.499,0.449,0.439,0.414,0.515,0.47,0.479,0.407,0.463,0.435,0.479,0.456,4
"Negativa",0.249,0.289,0.211,0.308,0.229,0.23,0.219,0.242,0.23,0.291,0.238,0.29,0.193,0.299,0.236,0.257,4
"No sabe",0.089,0.086,0.092,0.083,0.107,0.094,0.044,0.094,0.092,0.075,0.07,0.103,0.092,0.077,0.057,0.109,4
