"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad","opciones"
"Muy buena",0.266,0.293,0.241,0.272,0.231,0.338,0.239,0.197,0.269,0.374,0.337,0.173,0.084,0.391,0.252,0.275,6
"Buena",0.173,0.153,0.192,0.174,0.157,0.155,0.245,0.172,0.141,0.225,0.196,0.085,0.088,0.243,0.197,0.158,6
"Ni buena ni mala",0.207,0.206,0.207,0.239,0.203,0.198,0.171,0.277,0.18,0.136,0.212,0.16,0.201,0.18,0.25,0.18,6
"Mala",0.172,0.186,0.158,0.117,0.204,0.181,0.167,0.195,0.18,0.12,0.131,0.273,0.294,0.1,0.154,0.183,6
"Muy mala",0.167,0.151,0.183,0.175,0.183,0.128,0.172,0.146,0.205,0.141,0.124,0.297,0.322,0.084,0.135,0.187,6
"No sabe",0.015,0.011,0.019,0.023,0.022,0,0.006,0.013,0.025,0.004,0,0.012,0.011,0.002,0.012,0.017,6
"Positiva",0.439,0.446,0.433,0.446,0.388,0.493,0.484,0.369,0.41,0.599,0.533,0.258,0.172,0.634,0.449,0.433,4
"Neutra",0.207,0.206,0.207,0.239,0.203,0.198,0.171,0.277,0.18,0.136,0.212,0.16,0.201,0.18,0.25,0.18,4
"Negativa",0.339,0.337,0.341,0.292,0.387,0.309,0.339,0.341,0.385,0.261,0.255,0.57,0.616,0.184,0.289,0.37,4
"No sabe",0.015,0.011,0.019,0.023,0.022,0,0.006,0.013,0.025,0.004,0,0.012,0.011,0.002,0.012,0.017,4
