"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad","opciones"
"Muy buena",0.319,0.309,0.329,0.319,0.277,0.32,0.44,0.332,0.296,0.335,0.428,0.162,0.258,0.398,0.354,0.299,6
"Buena",0.25,0.248,0.251,0.23,0.26,0.285,0.208,0.259,0.23,0.268,0.252,0.204,0.192,0.271,0.246,0.252,6
"Ni buena ni mala",0.281,0.292,0.271,0.305,0.277,0.265,0.267,0.266,0.313,0.253,0.23,0.36,0.302,0.25,0.276,0.284,6
"Mala",0.101,0.1,0.102,0.077,0.137,0.102,0.049,0.1,0.101,0.104,0.066,0.176,0.162,0.058,0.078,0.115,6
"Muy mala",0.038,0.032,0.043,0.05,0.038,0.023,0.032,0.036,0.039,0.037,0.015,0.087,0.065,0.021,0.042,0.034,6
"No sabe",0.011,0.019,0.004,0.019,0.011,0.005,0.004,0.007,0.021,0.003,0.009,0.011,0.021,0.002,0.004,0.016,6
"Positiva",0.569,0.557,0.58,0.549,0.537,0.605,0.648,0.591,0.526,0.603,0.68,0.366,0.45,0.669,0.6,0.551,4
"Neutra",0.281,0.292,0.271,0.305,0.277,0.265,0.267,0.266,0.313,0.253,0.23,0.36,0.302,0.25,0.276,0.284,4
"Negativa",0.139,0.132,0.145,0.127,0.175,0.125,0.081,0.136,0.14,0.141,0.081,0.263,0.227,0.079,0.12,0.149,4
"No sabe",0.011,0.019,0.004,0.019,0.011,0.005,0.004,0.007,0.021,0.003,0.009,0.011,0.021,0.002,0.004,0.016,4
