"var","categoria","El gobierno nacional","El gobierno provincial","No sabe"
"P09","Siempre",0.309,0.26,0.225
"P09","Casi siempre",0.276,0.35,0.366
"P09","Casi nunca",0.242,0.292,0.27
"P09","Nunca, pero esta es una excepción",0.173,0.098,0.139
"P10","Camau Espinola por Unión por la patria",0.199,0.127,0.058
"P10","German Brailard por Unión por la patria",0.07,0.048,0.03
"P10","Juan Pablo Valdes por Juntos por el cambio",0.229,0.143,0.299
"P10","Eduardo Tassano por Juntos por el cambio",0.105,0.058,0.067
"P10","Pitin Aragon por Unión por la patria",0.051,0.116,0.03
"P10","Tincho Ascua por Unión por la patria",0.05,0.071,0.031
"P10","Emiliano Fernandez por Unión por la patria",0.007,0.064,0.048
"P10","Ricardo Colombi por Juntos por el cambio",0.098,0.15,0.202
"P10","Noelia Bassi por Juntos por el cambio",0.09,0.029,0.046
"P10","No sabe",0.101,0.194,0.189
"P14","Lo votaría",0.239,0.197,0.135
"P14","Puede que lo vote",0.213,0.202,0.168
"P14","Nunca lo votaría",0.429,0.495,0.497
"P14","No sabe",0.119,0.106,0.2
"P15","Lo votaría",0.153,0.107,0.074
"P15","Puede que lo vote",0.232,0.288,0.197
"P15","Nunca lo votaría",0.499,0.479,0.461
"P15","No sabe",0.116,0.126,0.268
"P16","Lo votaría",0.428,0.158,0.313
"P16","Puede que lo vote",0.139,0.241,0.242
"P16","Nunca lo votaría",0.273,0.482,0.224
"P16","No sabe",0.16,0.119,0.221
"P17","Lo votaría",0.286,0.056,0.167
"P17","Puede que lo vote",0.269,0.225,0.289
"P17","Nunca lo votaría",0.322,0.574,0.323
"P17","No sabe",0.123,0.145,0.221
"P18","Lo votaría",0.126,0.079,0.036
"P18","Puede que lo vote",0.24,0.23,0.189
"P18","Nunca lo votaría",0.457,0.541,0.478
"P18","No sabe",0.177,0.15,0.297
"P19","Lo votaría",0.146,0.08,0.037
"P19","Puede que lo vote",0.188,0.256,0.138
"P19","Nunca lo votaría",0.566,0.517,0.529
"P19","No sabe",0.1,0.147,0.296
"P20","Lo votaría",0.139,0.088,0.032
"P20","Puede que lo vote",0.187,0.183,0.105
"P20","Nunca lo votaría",0.516,0.534,0.516
"P20","No sabe",0.158,0.195,0.347
"P21","Lo votaría",0.314,0.176,0.299
"P21","Puede que lo vote",0.2,0.207,0.158
"P21","Nunca lo votaría",0.366,0.495,0.344
"P21","No sabe",0.12,0.122,0.199
"P22","Lo votaría",0.215,0.101,0.116
"P22","Puede que lo vote",0.21,0.225,0.172
"P22","Nunca lo votaría",0.392,0.489,0.406
"P22","No sabe",0.183,0.185,0.306
"P23","Muy buena",0.223,0.051,0.109
"P23","Buena",0.302,0.171,0.284
"P23","Ni buena ni mala",0.3,0.351,0.404
"P23","Mala",0.15,0.3,0.174
"P23","Muy mala",0.025,0.122,0.015
"P23","No sabe",0,0.005,0.014
"P24","Muy buena",0.191,0.054,0.094
