"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad","opciones"
"Muy buena",0.057,0.08,0.035,0.092,0.038,0.049,0.054,0.077,0.041,0.05,0.056,0.063,0.079,0.053,0.054,0.059,6
"Buena",0.098,0.094,0.102,0.061,0.115,0.102,0.115,0.126,0.089,0.064,0.081,0.134,0.221,0.038,0.097,0.099,6
"Ni buena ni mala",0.461,0.404,0.515,0.427,0.476,0.472,0.468,0.427,0.512,0.436,0.494,0.393,0.42,0.478,0.529,0.42,6
"Mala",0.192,0.233,0.153,0.218,0.177,0.179,0.206,0.175,0.188,0.226,0.212,0.178,0.106,0.238,0.146,0.22,6
"Muy mala",0.056,0.066,0.047,0.068,0.066,0.041,0.029,0.064,0.026,0.092,0.046,0.075,0.05,0.067,0.057,0.055,6
"No sabe",0.136,0.123,0.148,0.134,0.128,0.157,0.128,0.131,0.144,0.132,0.111,0.157,0.124,0.126,0.117,0.147,6
"Positiva",0.155,0.174,0.137,0.153,0.153,0.151,0.169,0.203,0.13,0.114,0.137,0.197,0.3,0.091,0.151,0.158,4
"Neutra",0.461,0.404,0.515,0.427,0.476,0.472,0.468,0.427,0.512,0.436,0.494,0.393,0.42,0.478,0.529,0.42,4
"Negativa",0.248,0.299,0.2,0.286,0.243,0.22,0.235,0.239,0.214,0.318,0.258,0.253,0.156,0.305,0.203,0.275,4
"No sabe",0.136,0.123,0.148,0.134,0.128,0.157,0.128,0.131,0.144,0.132,0.111,0.157,0.124,0.126,0.117,0.147,4
