"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad","opciones"
"Muy buena",0.194,0.21,0.18,0.216,0.204,0.15,0.198,0.281,0.155,0.116,0.137,0.354,0.491,0.048,0.205,0.188,6
"Buena",0.101,0.116,0.087,0.027,0.141,0.136,0.074,0.152,0.072,0.064,0.073,0.157,0.176,0.061,0.08,0.114,6
"Ni buena ni mala",0.216,0.227,0.206,0.228,0.216,0.198,0.219,0.227,0.253,0.138,0.227,0.15,0.156,0.239,0.279,0.177,6
"Mala",0.236,0.192,0.277,0.285,0.197,0.245,0.239,0.175,0.234,0.339,0.284,0.153,0.072,0.303,0.225,0.242,6
"Muy mala",0.207,0.213,0.2,0.194,0.18,0.246,0.241,0.109,0.228,0.33,0.238,0.155,0.045,0.324,0.169,0.23,6
"No sabe",0.046,0.042,0.05,0.05,0.062,0.025,0.029,0.056,0.058,0.013,0.041,0.031,0.06,0.025,0.042,0.049,6
"Positiva",0.295,0.326,0.267,0.243,0.345,0.286,0.272,0.433,0.227,0.18,0.21,0.511,0.667,0.109,0.285,0.302,4
"Neutra",0.216,0.227,0.206,0.228,0.216,0.198,0.219,0.227,0.253,0.138,0.227,0.15,0.156,0.239,0.279,0.177,4
"Negativa",0.443,0.405,0.477,0.479,0.377,0.491,0.48,0.284,0.462,0.669,0.522,0.308,0.117,0.627,0.394,0.472,4
"No sabe",0.046,0.042,0.05,0.05,0.062,0.025,0.029,0.056,0.058,0.013,0.041,0.031,0.06,0.025,0.042,0.049,4
